date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-03-01,18.772609056831598,7.5739756616568785,5.260488216027815,6.48852781547204,1.7267434345271688,0.9778618607504926,0.7391063873927598,0.6973676357778622,1.0808781827281198,1.4320172784135772,44.74957552957831
2024-03-04,18.69677973228687,7.369450089117224,5.329033459156417,6.4627572049616235,1.7857757383980968,0.9025325631217764,0.7459921949429674,0.6780462073727395,1.1105386142746894,1.7169552377341757,44.79786104136658
2024-03-05,18.990824686683425,7.399791528195621,5.27584341151661,6.3751191865127925,1.8078643060471695,0.8603846632691944,1.0491506496200171,0.6656183539262283,1.0161721753884392,1.4349753017190567,44.875744262878555
2024-03-06,19.138890909386,7.418870225088116,5.219464842726932,6.393003450177953,1.831166531259378,0.8576175240252446,0.9097748947177308,0.6566372879590229,1.0733111734608751,1.445754231453989,44.944491070255246
2024-03-07,19.25870318401877,7.5492170473689075,5.177676185513039,6.391510457190086,1.8544202101690606,0.8971342142809482,0.7511741243671373,0.6645503352706688,1.053504282030498,1.396467694907647,44.994357735116765
2024-03-08,19.240109950151528,7.589559024767543,5.1558206401160875,6.3767984031171485,1.87781952798632,0.8994207451298961,0.7492808185686454,0.6682398542626017,1.0593783846360756,1.4136961951182934,45.03012354385414
2024-03-11,19.231288213149213,7.737965071587795,5.164130796182391,6.384192975917823,1.9189051376470405,0.911042729954485,0.7886518699167724,0.6774151054399088,1.0531887310640826,1.5003643555352701,45.36714498639478
2024-03-12,19.23895852894823,7.707672178811924,5.188093251108946,6.386499799121226,1.9435997679082835,0.8931291443225998,0.8005132851054167,0.675764531154044,1.0500318621034586,1.5311736838774066,45.415436032461535
2024-03-13,19.137626278205214,7.696312344020972,5.14551814379414,6.310367642741344,1.9647174095068474,0.891621781629185,0.878377185188986,0.6685796783802797,1.0908947413281924,1.6568057863495325,45.44082099114469
2024-03-14,18.9797537023925,7.690778065533073,5.144350605218404,6.268106338726062,1.9887963755594626,0.8709138708239359,0.8820258281941926,0.6498408056054622,1.035736335306189,1.6602527680140484,45.17055469537333
2024-03-15,18.903390368519993,7.66689328469056,5.162498184028461,6.449982925100291,2.013312258334807,0.8942160960361443,1.03658754617467,0.6467338422438343,1.0415618916092413,1.337463547892184,45.15263994463019
