date,BNP PARIBAS,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,62.44462831809637,0.0,18.852032483135627,0.0,8.72070175401316,5.424872326627979,0.0,4.557765118126861,0.0,0.0
2024-03-04,55.44955772018887,0.0,16.742083481513927,11.192955602780778,7.745598176638153,4.817426320900829,0.0,4.0523786979774385,0.0,0.0
2024-03-05,53.90312742713876,0.0,16.275164246643993,10.880795752917757,7.529581527441585,4.684376730181016,2.7875922301869,3.939362085489985,0.0,0.0
2024-03-06,53.904714771088265,0.0,16.266809093189032,10.882081682557292,7.532265312327098,4.684562951662679,2.7900880970109023,3.9394780921647317,0.0,0.0
2024-03-07,51.86410076668929,0.0,15.654357043208952,10.468735879343326,7.2620155093949545,4.5006349073629925,2.6844426298577786,3.794538208169703,3.7711750559730035,0.0
2024-03-08,51.86410076668929,0.0,15.654310595590271,10.468735879343326,7.2620619570136355,4.5006349073629925,2.6844426298577786,3.794538208169703,3.7711750559730035,0.0
2024-03-11,51.86378760326339,0.0,15.651754363526774,10.468672667504226,7.265083631888153,4.500607731836464,2.6844264207798583,3.7945152961637607,3.7711522850373713,0.0
2024-03-12,51.85359981032107,0.0,15.649840787696434,10.466616267953668,7.282138934347669,4.499723661046314,2.6838991091081192,3.793769925685817,3.7704115038409065,0.0
2024-03-13,51.85492423787037,0.0,15.647639904341077,10.466883602815354,7.282371371739793,4.4998385915044254,2.6839676603742344,3.7938668249063854,3.7705078064483657,0.0
2024-03-14,51.853782216539344,0.0,15.647995979281804,10.46712178537715,7.282583528558799,4.499940989039744,2.6840287362701156,3.7939531574723873,3.7705936074606523,0.0
2024-03-15,49.917289106485406,0.0,15.057850371084811,10.076224374367985,7.010658240913789,4.333811874861272,2.583792978475846,3.6522669807797774,3.617485614587885,3.7506204584432274
2024-03-18,49.91704363074362,0.0,15.057776321851454,10.076174823026216,7.010892000390564,4.334014092224415,2.583780272287081,3.652249020210156,3.6174678250608383,3.7506020142056555
2024-03-19,49.91188604677221,0.0,15.061230190308278,10.075494667503277,7.010463458521306,4.335956684803452,2.5853939791460236,3.6520024884274234,3.6172236410561456,3.750348843461885
2024-03-20,49.90947540908778,0.0,15.06380720804296,10.075125349993803,7.010295892307722,4.336378866453399,2.5852992114649425,3.652315636685376,3.617091051632955,3.7502113743310646
2024-03-21,49.90947540908778,0.0,15.06380720804296,10.075125349993803,7.010340593557789,4.336378866453399,2.5852992114649425,3.651645117934378,3.6177168691338863,3.7502113743310646
2024-03-22,49.896583190581524,0.0,15.060403408670867,10.072549888125641,7.008772018827873,4.336387621765557,2.5846383423138786,3.652275807084086,3.6391369990414715,3.7492527235891027
2024-03-25,49.89656089189664,0.0,15.060396678206207,10.072545386722908,7.008813576424745,4.336385683842458,2.584637187244087,3.652274174889212,3.6391353727183042,3.7492510480554353
2024-03-26,49.902647693535265,0.0,15.068273685069894,10.0752683844323,7.009819997382034,4.33327094495875,2.586422112104786,3.634896953055909,3.639634722216978,3.7497655072440885
2024-03-27,49.90262538909001,0.0,15.075239512985725,10.075263881198858,7.009861560194315,4.33326900816363,2.5864209560797446,3.627922765586732,3.639633095448918,3.7497638312520656
2024-03-28,49.90797886330632,0.0,15.079342311762458,10.07765911243691,7.010670826085949,4.339239834735385,2.586703056829227,3.6283184628644047,3.6199147142532544,3.750172817726093
2024-04-02,49.9109907953086,0.0,15.07819598522765,10.075629790430263,7.011093918030353,4.33726653218856,2.586859163606033,3.6294315005911697,3.6201331750529446,3.750399139564426
2024-04-03,49.91188171371608,0.0,15.097332559045995,10.077241878389302,7.011344663280891,4.339701609924599,2.5869516802170884,3.6295613038318004,3.5954513224941356,3.7505332691001105
2024-04-05,49.911837087455744,0.0,15.097319060506772,10.082776294142443,7.011383099478014,4.339697729793312,2.5869493672211608,3.630005109107352,3.5895023365504084,3.7505299157447913
2024-04-08,49.897828387151236,0.0,15.11632181242688,10.077801132449304,7.009415222311148,4.332043991664055,2.5884579159762984,3.628986279574225,3.5996679997998347,3.749477258647023
2024-04-09,49.89780608657442,0.0,15.117655830958283,10.076455854039624,7.009456782109356,4.332042055566174,2.5884567591302705,3.6289846576902693,3.5996663910189457,3.7494755829126607
2024-04-10,49.87102476166272,0.0,15.116047442591315,10.07222579741222,7.008993390973914,4.328025432825066,2.5882196275263833,3.629992853647919,3.6363386043677117,3.749132088992751
2024-04-11,49.8818180142146,0.0,15.116542180126727,10.074044576267918,7.010080244868491,4.324247921895541,2.588686991863436,3.631095299356795,3.623586294934142,3.7498984764723478
2024-04-12,49.35932676535854,0.0,14.959662235786944,9.968523159021538,6.936431435290458,4.280456989073348,3.6098702238647555,3.5895228275818996,3.5855865108252267,3.710619853197287
2024-04-15,49.35965366280407,0.0,14.959774715450102,9.968598110989667,6.93573170299173,4.282302546285701,3.60989736598738,3.5922035333578974,3.5811906092907937,3.7106477528426542
2024-04-16,49.36646590263618,0.0,14.968607259883493,9.969973900244305,6.935759990336024,4.280947229301664,3.610395576262403,3.5926993016662037,3.5639909717584066,3.71115986791132
2024-04-17,49.366706112074404,0.0,14.968768564626028,9.970022412565086,6.935705268790314,4.280968059715796,3.610413143877935,3.592230198943979,3.564008313576451,3.7111779258300044
2024-04-18,49.378129677399855,0.0,14.951746858977256,9.97396656901794,6.93739869671014,4.282002930389208,3.6112486014899408,3.597485965592594,3.5559839997869434,3.7120367006361232
2024-04-19,49.38128412164639,0.0,14.950067448609513,9.973850212604145,6.937306159229295,4.282218923325022,3.61143076021334,3.595455060204638,3.5561633708514453,3.712223943316209
