date,PHILLIP SECURITIES (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,REALINK FINANCIAL TRADE LTD,FUTU SECURITIES INTERNATIONAL,EVER-LONG SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,0.0,0.0,48.45502963967102,51.54497036032899,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,48.50463431850847,51.49536568149152,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,48.49222362968446,51.50777637031554,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,48.5170513615318,51.482948638468194,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,48.49222362968446,51.50777637031554,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,48.54190452970627,51.45809547029373,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,34.96751681226416,37.06821633632919,0.0,27.964266851406645,0.0,0.0,0.0
2024-04-09,0.0,0.0,34.96751681226416,37.086666717589715,0.0,27.945816470146124,0.0,0.0,0.0
2024-04-11,0.0,0.0,26.753386738774726,28.374732551775892,0.0,21.381136091837607,0.0,23.49074461761177,0.0
2024-04-18,0.0,0.0,26.844332648959927,27.989606056752102,0.0,21.595461846667693,0.0,23.57059944762028,0.0
2024-04-22,0.0,0.0,26.83293060984112,28.020192227004063,0.0,21.586289247594948,0.0,23.560587915559868,0.0
2024-04-26,0.0,0.0,26.829132082264547,28.03038184396235,0.0,21.583233445894596,0.0,23.557252627878515,0.0
2024-04-29,0.0,0.0,26.829132082264547,28.12947535492712,0.0,21.583233445894596,0.0,23.458159116913738,0.0
2024-05-02,0.0,0.0,26.828803939955105,28.130354390442147,0.0,21.582969465231848,0.0,23.457872204370904,0.0
2024-05-21,0.0,0.0,26.859221562963253,28.048870929950454,0.0,21.6074395321815,0.0,23.484467974904796,0.0
2024-05-27,0.0,0.0,27.288251650279964,27.613449470059415,0.0,21.61050219251375,0.0,23.487796687146872,0.0
2024-05-29,0.0,0.0,27.28438433405005,27.623708158863657,0.0,21.6074395321815,0.0,23.484467974904796,0.0
2024-06-03,0.0,0.0,27.34639323178688,27.459219415984194,0.0,21.65654650457646,0.0,23.537840847652465,0.0
2024-06-04,0.0,52.619355826573475,12.967949310831294,12.981037702171813,0.0,10.269763728569679,0.0,11.16189343185374,0.0
2024-06-05,0.0,52.548457951412516,12.967075870640175,13.054252520291953,0.0,10.269072021332176,0.0,11.161141636323178,0.0
2024-06-07,0.0,52.23682273809865,12.956603758334614,13.39366672422333,0.0,10.260778796510014,0.0,11.152127982833385,0.0
2024-06-12,0.0,51.854218937406436,13.04116142140313,13.539968749148972,0.0,10.386192296815182,0.0,11.178458595226276,0.0
2024-06-14,0.0,51.527561582627925,13.04556157619023,13.854949925265775,0.0,10.389696651395102,0.0,11.182230264520967,0.0
2024-06-18,0.0,51.524084684512026,13.04468130770727,13.860762689407894,0.0,10.38899559130993,0.0,11.181475727062876,0.0
2024-06-28,0.0,51.520608255582125,13.04380115801112,13.866574669153295,0.0,10.388294625828495,0.0,11.180721291424968,0.0
2024-07-03,0.0,51.51713229574324,13.042921127077737,13.872385864660744,0.0,10.387593754931654,0.0,11.179966957586633,0.0
2024-07-05,0.0,51.527561582627925,13.025317268287345,13.875194233168662,0.0,10.389696651395102,0.0,11.182230264520967,0.0
2024-07-11,0.0,51.56932099112741,13.035873357648759,13.805396229236559,0.0,10.39811675848586,0.0,11.191292663501416,0.0
2024-07-12,0.0,51.53103895002479,13.0261962893823,13.869382050669888,0.0,10.39039780610317,0.0,11.182984903819856,0.0
2024-07-16,0.0,51.520608255582125,13.02355958195289,13.886816245211525,0.0,10.388294625828495,0.0,11.180721291424968,0.0
2024-07-17,0.0,51.51713229574324,13.103641758314847,13.811665233423634,0.0,10.387593754931654,0.0,11.179966957586633,0.0
2024-07-18,0.0,51.5032331453995,13.10010643950471,13.834918558471307,0.0,10.38479121680743,0.0,11.17695063981705,0.0
2024-07-19,0.0,51.496286382306565,13.098339495366067,13.846540516377676,0.0,10.383390514755405,0.0,11.175443091194287,0.0
2024-07-30,0.0,51.506707229823434,13.100990090354452,13.829106403601765,0.0,10.38549170955728,0.0,11.177704566663067,0.0
2024-08-09,0.0,51.511193660962576,13.102131236683856,13.850548848869208,0.0,10.357448066014822,0.0,11.178678187469542,0.0
