date,THE HONGKONG AND SHANGHAI BANKING,SHANGHAI COMMERCIAL BANK LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-06,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,63.302649421035795,36.697350578964205,0.0,0.0,0.0
2024-04-03,0.0,58.32635425494698,33.8125290120223,0.0,7.86111673303072,0.0
2024-04-05,0.0,58.32079901580497,33.80930856927293,0.0,7.869892414922107,0.0
2024-04-10,0.0,13.181682169758316,7.64158872066665,0.0,1.7849979872172148,0.0
2024-04-12,0.0,58.29248374860092,33.79289384892824,0.0,7.91462240247084,0.0
2024-04-17,0.0,58.264195962683154,33.77649505983455,0.0,7.959308977482296,0.0
2024-04-25,0.0,13.181682169758316,7.64158872066665,4.414062032458544,1.8076014302597674,0.0
2024-04-29,0.0,48.71550128157736,28.240995369238885,16.313035152109027,6.7304681970747255,0.0
2024-04-30,0.0,13.181682169758316,7.64158872066665,4.405451197013762,1.8366629998859063,0.0
2024-05-03,0.0,13.181682169758316,7.641158178894412,4.405451197013762,1.8370935416581455,0.0
2024-05-07,0.0,13.181682169758316,7.641158178894412,4.405451197013762,1.8424753138111343,0.6346187875513152
2024-05-08,7.515655252286716,13.181682169758316,7.640512366236053,4.405451197013762,1.8444127517862101,0.6346187875513152
2024-05-09,21.336321231041413,37.42170119549878,21.69078021056862,12.506710160576121,5.242857157306148,1.8016300450089264
2024-05-10,7.515655252286716,13.181682169758316,7.640512366236053,4.405451197013762,1.8523777745726333,0.6346187875513152
2024-05-14,21.331758417830883,37.413698492936966,21.686141595625593,12.50403557662498,5.263121154012647,1.8012447629689325
2024-05-20,21.393718176390536,37.5223695026137,21.74913068780621,12.540354524654196,4.987950489456186,1.8064766190791681
2024-05-30,7.5226854675179995,13.195146285908843,7.6483165861090345,4.40995104049718,1.7549285971335415,0.6352670038378906
2024-06-03,21.391224429883486,37.52121988959712,21.748464336398516,12.53997031238335,4.992699759617066,1.8064212721204613
2024-06-07,21.3904379957768,37.519840446959684,21.74766476860481,12.539509288734013,4.999256334127767,1.8032911657969202
2024-06-11,21.388079040371203,37.51570272755174,21.74526641793171,12.538126421154299,5.009733095653214,1.8030922973378323
2024-06-21,21.402754684188476,37.5414445012634,21.691571151755706,12.546729581688048,5.0131705739977,1.8043295071066696
2024-06-28,21.388079040371203,37.51570272755174,21.74526641793171,12.538126421154299,5.009733095653214,1.8030922973378323
2024-07-08,21.386899757768326,37.51363421006227,21.744067440953312,12.537435101735984,5.014970609924195,1.8029928795559167
2024-07-12,21.392404189476196,37.52328924374934,21.749663798332623,12.540661911422799,4.990523933993169,1.803456923025877
2024-07-17,21.390569064112235,37.520070347022234,21.74779802582102,12.53958612365483,4.9986742240587905,1.8033022153308962
2024-07-18,7.5201985513274465,13.196454394400133,7.649074806416227,4.410388223555045,1.761352424834756,0.6342524207400255
2024-07-22,66.65082846999336,15.915609162143115,9.225181357999917,5.319157185827684,2.1242824741135573,0.7649413499223678
2024-07-25,66.65654581595601,15.91697441214638,9.225972699302082,5.319613466155463,2.1158866394137728,0.7650069670262964
2024-08-01,66.65741252689887,15.91656067529044,9.225732884571043,5.319475191123204,2.1158316402497954,0.7649870818666477
2024-08-16,66.65914522712517,15.91697441214638,9.225972699302082,5.319613466155463,2.1158866394137728,0.7624075558571317
2024-08-28,55.26951805904591,13.197392979839561,7.649618839686364,4.410701908280134,1.7545808206423579,0.6321422567449319
2024-08-30,66.65801892801368,15.916767541029763,9.22585279037814,5.319544327740761,2.117418765905322,0.7623976469323378
2024-09-02,66.64987626350354,15.914823215346876,9.224725798827835,5.318894514477419,2.1293756922165454,0.7623045156277759
2024-09-03,66.65082982836982,15.914244146323519,9.224390152437877,5.318700983766448,2.129558110316198,0.7622767787861289
2024-09-09,66.64961728807742,15.913954627613844,9.22214320399724,5.3186042236921525,2.1334177454971313,0.7622629111222059
2024-09-20,66.64849047617516,15.914492313602087,9.22245479324695,5.318783923775193,2.133489827443804,0.762288665756818
