date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,26.934861967006,0.0,0.0,63.46955819638245,0.0,9.595579836611554,0.0,0.0,0.0
2024-03-12,0.0,11.737217110727878,56.44888597456017,0.0,27.657687104001365,0.0,4.156209810710588,0.0,0.0,0.0
2024-03-13,0.0,7.4841945741022045,35.994430548513364,36.2353571251433,17.635825409311767,0.0,2.6501923429293637,0.0,0.0,0.0
2024-03-14,0.0,7.505895009171446,36.09879646193779,36.34042160559199,17.68696051548759,0.0,2.3679264078111806,0.0,0.0,0.0
2024-03-18,0.0,7.527721651075406,35.91297602544713,36.446097127039465,17.73839301661761,0.0,2.3748121798203905,0.0,0.0,0.0
2024-03-20,78.29068128318865,1.6574285461652123,7.7901698443457486,7.905813391292852,3.8477761984217866,0.0,0.508130736585755,0.0,0.0,0.0
2024-03-21,77.19774847536779,1.5928257987556804,7.543202404625034,7.702152157539717,3.7940614934852444,0.0,0.47684925874404704,0.0,0.0,1.693160411482486
2024-03-22,74.40799333888425,1.5485868442964197,7.233971690258119,7.440466278101582,3.6569525395503746,3.593794504579517,0.4862614487926728,0.0,0.0,1.6319733555370524
2024-03-25,74.40799333888425,1.5485868442964197,7.217318900915903,7.440466278101582,3.6569525395503746,3.593794504579517,0.5029142381348876,0.0,0.0,1.6319733555370524
2024-03-26,74.4005594778207,1.5484321300119888,7.226588517383775,7.4397229252697485,3.6565871852937257,3.593435460237112,0.5028639936059678,0.0,0.0,1.6318103103769817
2024-03-27,74.39312710199461,1.6148752955279546,7.132629616063402,7.472278645399753,3.6562219040325,3.593076487629449,0.5061436515600547,0.0,0.0,1.6316472977922813
2024-03-28,72.91211122352404,1.5435631996344767,7.166867922065206,7.323520772820731,3.583433961032603,3.5215456414607873,0.5123853660128586,1.837407395319996,0.0,1.599164518129304
2024-04-02,72.89307970896277,1.543160298867826,7.217201213742699,7.302032692746908,3.5824986133315933,3.5206264478449545,0.5057261248327841,1.8369277953603707,0.0,1.5987471043100918
2024-04-03,72.94782211193103,1.5998275974662053,7.180173708613596,7.1964997061320455,3.585189055051264,3.5232704238228956,0.5289623195977274,1.8383073205772875,0.0,1.5999477568079408
2024-04-05,71.09081652135175,1.8168497422516388,6.933749124928404,7.003754852669763,3.4907401514669383,3.4717647807547887,1.2219181569401134,1.7978743715394894,1.5942213453828042,1.578310952714313
