date,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA GALAXY INTERNATIONAL SECURITIES,VALUABLE CAPITAL LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,HANTEC SECURITIES CO LTD
2024-12-30,1.459146628798202,0.5988915635416372,0.45550622487196146,0.0,0.00011393352297948011,0.0017659696061819417,0.07046788396280845,0.0,0.0
2025-01-03,0.0,0.6092025473712802,0.45254395327449504,0.0,0.0006836011378768806,0.014526524179883715,0.07815270008777439,0.0,0.0017090028446922016
2025-01-06,0.0,0.5904604828411557,0.45134765128321047,0.0,0.0007975346608563609,0.02751494579954445,0.08784297408422513,0.0,0.0029622715974664832
2025-01-07,0.0,0.6087468132793623,0.4375047282412036,0.0,0.0007405678993666208,0.022615804311426804,0.08163359708184346,0.00045573409191792044,0.004386440634709984
2025-01-08,0.0,0.613418087721521,0.42633924298921455,0.0,0.001025401706815321,0.031217785296377552,0.09152872355261131,0.0003418005689384403,0.004557340919179205
2025-01-09,0.0,0.0,0.39665956025306,0.0,0.0006836011378768806,0.035433325646618316,0.08509147950427068,0.0011963019912845413,0.0050130750110971255
2025-01-10,0.0,0.6168360934109054,0.3474402783259246,0.0,0.0006266343763871407,0.034350957178313254,0.09910530283074674,0.0011393352297948012,0.0
2025-01-13,0.0,0.0,0.3411739345620532,0.0,0.0,0.024723574486547186,0.09204142440601898,0.0024495707440588227,0.0
2025-01-14,0.0,0.5976382947888629,0.3671507778013747,0.0,0.0,0.017260928731391238,0.08440787836639381,0.0013102355142640212,0.0
2025-01-15,0.0,0.6166651931264361,0.34276900388376597,0.0,0.0,0.016691261116493838,0.08138864000743759,0.001936869890651162,0.0
2025-01-16,0.0,0.6057275749204061,0.3718220522435334,0.0,0.0,0.017602729300329675,0.07922390307082747,0.0,0.0
2025-01-17,0.0,0.6217922016605127,0.3364456933584048,0.0,0.02272107888665984,0.018058463392247596,0.08859493533588969,0.0023926039825690826,0.0
2025-01-20,0.0,0.631362617590789,0.34328170473717357,0.0,0.0,0.02102073498971408,0.07845485179071597,0.0018799031291614218,0.0
2025-01-21,0.0,0.5999169652484525,0.37757569515399714,0.0,0.0,0.01908386509906292,0.07987902082795947,0.0029622715974664832,0.0
2025-01-22,0.0,0.5848207734536714,0.3910198508655757,0.0,0.0,0.01714699520841176,0.07805608446028779,0.0030192383589562233,0.0
2025-01-23,0.0,0.5737692217246619,0.3587196971008932,0.0,0.022835012409639324,0.014982258271801637,0.08272735890244648,0.0035889059738536235,0.0
2025-01-24,0.0,0.561236534196919,0.33798379591862776,0.0,0.033557296257238196,0.014925291510311895,0.08557569697693347,0.0027913713129972626,0.0
2025-01-27,0.0,0.0,0.3386104302950149,0.0,0.0,0.014868324748822156,0.0928674424476202,0.0033040721664049236,0.0
2025-02-03,0.0,0.5750224904774361,0.3575233951096086,0.0,0.03350032949574845,0.015950693217127214,0.09617151461402514,0.0034749724508741434,0.005183975295566345
2025-02-04,0.0,0.5835105379394074,0.35558652521895745,0.0,0.0,0.013672022757537613,0.10266572542385549,0.0038167730198125837,0.0
2025-02-05,0.0,0.0,0.36669504370945677,0.0,0.03389909682617664,0.013330222188599175,0.09662724870594304,0.0037028394968331036,0.0
2025-02-06,0.0,0.5764466595146797,0.353934489135755,0.0,0.046756722761456926,0.014070790087965794,0.0962854481370046,0.0033610389278946632,0.005354875580035565
2025-02-07,0.0,0.5538878219647426,0.3526812203829807,0.0,0.04681368952294667,0.014868324748822156,0.09901985268851213,0.0026204710285280424,0.0
2025-02-10,0.0,0.5530902873038862,0.33547725841307924,0.0,0.0,0.018571164245655258,0.10198212428597861,0.0,0.0
2025-02-11,0.0,0.0,0.3387813305794841,0.0,0.046984589807415884,0.018001496630757858,0.10272269218534523,0.002905304835976743,0.0
2025-02-12,0.0,0.0,0.3204380333797878,0.0,0.06518524223634187,0.02962271597466483,0.09850715183510447,0.0026774377900177825,0.005183975295566345
2025-02-13,0.0,0.5566222265162502,0.30967131545822696,0.0,0.0653561425208111,0.0318444196727647,0.1029505592313042,0.0025065375055485627,0.0
2025-02-14,0.0,0.557761561746045,0.31861509701211616,0.0,0.07133765247723381,0.035262425362149095,0.09412071120039449,0.0033040721664049236,0.0
2025-02-17,0.0,0.0,0.310753683926532,0.0,0.09234118350497798,0.037484129060248964,0.08796830095950256,0.0034180056893844033,0.005696676148974005
2025-02-18,0.0,0.5589008969758397,0.30556970863096566,0.0,0.10090887049951192,0.042952938163264,0.0857465972614027,0.004272507111730505,0.005753642910463746
2025-02-19,0.0,0.0,0.3101840163116346,0.0,0.09131578179816266,0.037541095821738694,0.08842403505142048,0.006380277286850887,0.005696676148974005
2025-02-20,0.0,0.0,0.31422865637740616,0.0,0.09125881503667292,0.041186968557082065,0.08272735890244648,0.008146246893032828,0.0
2025-02-21,0.0,0.0,0.31041188335759357,0.0,0.08989161276091916,0.052352453809071116,0.0722454747883343,0.027799779606993147,0.0
2025-02-24,0.0,0.0,0.30237956998754023,0.0,0.09444895368009837,0.06209377002381666,0.06666273216233978,0.034521857462782475,0.005753642910463746
2025-02-25,0.0,0.0,0.2989045975366661,0.0,0.10720324191003626,0.07098058481621611,0.05954188697612227,0.027008511289900658,0.005696676148974005
2025-02-26,0.0,0.0,0.3109245842110012,0.0,0.09443129398403655,0.08288663796757179,0.062447191812099005,0.01920406496580627,0.005810609671953486
2025-02-27,0.0,0.0,0.3132602214320806,0.0,0.10777040298742813,0.07701906153412856,0.06324472647295537,0.007619532216298692,0.005696676148974005
2025-02-28,0.0,0.0,0.31690609416742394,0.0,0.11783950594778562,0.07303138822984676,0.05726321651653266,0.006949944901748287,0.0
2025-03-03,0.0,0.0,0.31422865637740616,0.0,0.11801040623225485,0.08408293995885632,0.05287677588182268,0.012076953435824893,0.0
2025-03-04,0.0,0.0,0.3143425899003856,0.0,0.12441517922654632,0.09587505958723253,0.056465681855676304,0.01048188411411217,0.0
2025-03-05,0.0,0.0,0.31263358705569344,0.0,0.12024521228549735,0.11336385536458271,0.05059810542223308,0.007405678993666207,0.0
2025-03-06,0.0,0.0,0.32858428027282066,0.0,0.11184831164190968,0.11854783066014905,0.04250882529068999,0.007177811947707247,0.005354875580035565
