date,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,UOB KAY HIAN (HONG KONG) LTD,TIGER BROKERS (HK) GLOBAL LTD,CHINA MERCHANTS BANK CO LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.46425,0.0,0.0,0.1550502,0.0,0.6193002000000001
2024-03-04,47.555575100000006,0.0,0.0,0.0,0.0,0.46325000000000005,0.0,0.0,0.1548002,0.0,48.1736253
2024-03-05,47.4843251,0.0,0.0,0.0,0.0,0.6479999999999999,0.0,0.715,0.1553002,0.0,49.002625300000005
2024-03-06,47.4843251,0.0,0.0,0.0,0.0,0.64825,1.4707599999999998,0.715,0.1550502,0.0,50.4733853
2024-03-07,47.4828251,17.766975,0.0,0.0,0.0,0.64825,1.4707599999999998,0.715,0.1550502,0.0,68.2388603
2024-03-08,47.487825099999995,17.766975,0.0,0.0,0.0,0.64825,1.4707599999999998,0.715,0.1548002,0.0,68.2436103
2024-03-11,47.4883251,17.766975,0.0,0.0,0.0,0.64825,1.4707599999999998,0.715,0.1548002,0.0,68.2441103
2024-03-12,47.4833251,17.766975,0.0,0.0,0.0,0.635,1.4707599999999998,0.715,0.1548002,0.0,68.2258603
2024-03-13,47.4875751,17.766975,0.0,0.0,0.0,0.864,1.4707599999999998,0.7272500000000001,0.1538002,0.0,68.4703603
2024-03-14,47.4788251,17.766975,0.0,0.0,0.0,0.864,1.47851,0.7272500000000001,0.1540502,0.0,68.4696103
2024-03-15,47.5088251,17.766975,0.0,0.0,0.0,0.9255,1.47851,0.7275,2.0732500000000003,1.03525,71.5158101
2024-03-18,47.512075100000004,17.766975,0.0,0.0,0.0,1.1265,1.47851,0.72775,1.9285,1.04525,71.5855601
2024-03-19,47.5033251,17.766975,0.0,0.0,0.0,1.1764999999999999,1.47851,0.72775,0.1548002,1.04525,69.8531103
2024-03-20,47.5143251,17.747725,0.0,0.0,0.0,1.16825,1.4830100000000002,0.73425,0.9912967,1.04525,70.6841068
2024-03-21,47.5380751,17.747725,0.0,0.0,0.0,1.16825,1.47851,0.73425,0.1555544,1.04525,69.8676145
2024-03-22,47.536075100000005,17.747725,0.0,0.0,0.0,1.165,1.47851,0.73425,0.9908089,1.04525,70.697619
2024-03-25,47.5313251,17.747725,0.0,0.0,0.647775,1.165,1.4982600000000001,0.73425,1.87125,1.03525,72.23083510000001
