date,KINGSTON SECURITIES LTD,BOCI SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,GLOBAL MASTERMIND SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,90.2472178698352,0.0,0.0,0.0,9.75278213016481,0.0
2024-03-07,0.0,0.0,0.0,89.77411947564929,0.0,0.0,0.0,10.225880524350721,0.0
2024-03-11,0.0,0.0,0.0,49.03822456327195,0.0,45.37598937233432,0.0,5.585786064393734,0.0
2024-03-12,0.0,0.0,0.0,49.03819870606203,0.0,45.31296557039801,0.0,5.648835723539956,0.0
2024-03-13,0.0,0.0,0.0,48.837743492500124,0.0,45.30108807575522,0.0,5.861168431744655,0.0
2024-03-14,0.0,37.54463663246303,0.0,30.551549637704746,0.0,28.101378109514663,0.0,3.8024356203175653,0.0
2024-03-15,0.0,29.333050972562546,0.0,23.869458947931143,0.0,21.95517736807487,21.626085199832975,3.2162275115984595,0.0
2024-03-20,0.0,28.72821271401173,0.0,23.336695726621606,0.0,22.175290513638764,21.304693536346814,4.455107509381085,0.0
2024-03-21,0.0,28.130662859014578,0.0,23.082853674835015,0.0,22.470143360872356,20.96898272597499,5.347357379303062,0.0
2024-03-22,0.0,27.70355666081813,0.0,23.14476424522582,0.0,22.460131064896128,20.7755743740995,5.915973654960427,0.0
2024-03-25,0.0,27.723291320853072,0.0,23.16647629743959,0.0,22.068437836155617,20.79506389452849,6.246730651023231,0.0
2024-03-26,0.0,25.52037259640364,0.0,21.342917480889312,0.0,20.291830921190172,19.142668617964713,5.734239870270451,7.967970513281711
2024-03-27,0.0,25.606867912958553,0.0,21.313283309505803,0.0,20.29650483096202,19.14707783595299,5.666460298425361,7.969805812195273
2024-04-02,0.0,25.649701002665726,0.0,21.34893443947037,0.0,20.105503336030026,19.179105513268517,5.733618652249845,7.983137056315516
2024-04-03,0.0,25.665985545621545,0.0,21.338824704141064,0.0,20.095181334005833,19.214945786644133,5.6910855623928285,7.993977067194599
