date,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA CITIC BANK INTERNATIONAL LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,DBS BANK LTD,THE CORE SECURITIES COMPANY LTD
2024-07-09,0.0,0.27285598713152964,0.04249151891479523,0.0,0.3417601446693934,0.0001492239470229859,0.0013803215099626193,0.0,0.0
2024-07-11,0.0,0.13418963436042003,0.0386116962921976,0.0,0.0,0.000559589801336197,0.0007461197351149294,0.0,0.0
2024-07-12,0.0,0.10680704008170215,0.03730598675574647,0.0,0.0,0.0002611419072902253,0.0005968957880919435,0.0,0.0
2024-07-15,0.0,0.09662250569738336,0.03353808209341608,0.0,0.0,0.00011191796026723942,0.0,0.0,0.0
2024-07-16,0.0,0.09218309327344952,0.03391114196097354,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17,0.0,0.09001934604161624,0.03529146347093616,0.0,0.0,0.0,0.000559589801336197,0.0,0.0
2024-07-18,0.0,0.0902431819621507,0.034396119788798245,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.08919861433298981,0.034843791629867206,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,0.08606491144550711,0.03424689584177526,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,0.08718409104817951,0.034694567682844214,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,0.0,0.08942245025352429,0.03499301557689019,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,0.0,0.08796751677005017,0.034918403603378695,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26,0.0,0.08901208439921107,0.03454534373582123,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,0.0,0.08904939038596682,0.034172283868263764,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,0.0,0.08770637486275995,0.03424689584177526,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,0.0,0.0876690688760042,0.034172283868263764,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.08636335933955308,0.03372461202719481,0.0,0.0,0.0004849778278247041,0.0,0.0,0.0
2024-08-02,0.0,0.08621413539253009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,0.0,0.08636335933955308,0.03383652998746205,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,0.0,0.08737062098195823,0.033276940186125856,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,0.0,0.08770637486275995,0.03271735038478966,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,0.0,0.08904939038596682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.08856441255814211,0.0327546563715454,0.0,0.0,0.0,0.0,0.0,0.0
