date,BANK OF CHINA (HONG KONG) LTD,CENTRAL WEALTH SECURITIES INVESTMENT LTD,CNI SECURITIES GROUP LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,60.833947950690124,39.166052049309876
2024-03-05,0.0,0.0,0.0,0.0,0.0,60.84632399410154,39.15367600589846
2024-03-08,0.0,0.0,0.0,0.0,46.417389243987614,32.55546967995983,21.027141076052555
2024-03-11,0.0,0.0,0.0,0.0,46.423936716431385,32.54595619350689,21.030107090061726
2024-03-12,0.0,0.0,0.0,0.0,46.409534714505696,32.50765698943533,21.082808296058978
2024-03-13,0.0,0.0,0.0,0.0,46.418043908121845,32.495282260453074,21.08667383142508
2024-03-14,0.0,0.0,0.0,0.0,46.418043908121845,32.467074550157534,21.114881541720614
2024-03-15,46.9105975828446,0.0,0.0,0.0,24.6322924057492,17.21482266509794,11.242287346308256
2024-03-18,46.910948682215334,0.0,0.0,0.0,24.632476764568082,17.214203064726902,11.242371488489686
2024-03-21,46.910246488729356,0.0,0.0,0.0,24.632108049689926,17.2154422561944,11.242203205386318
2024-03-26,46.90987644895154,0.0,0.0,0.0,24.635058077825335,17.211515861930618,11.243549611292503
2024-03-28,46.90461007876562,0.0,0.0,0.0,24.6322924057492,17.198357028880725,11.264740486604456
2024-04-02,46.90776975897176,0.0,0.0,0.0,24.633951734472234,17.192779182441058,11.26549932411495
2024-04-08,27.843482927817536,0.0,40.64206618458536,0.0,14.622204766669213,10.20527848814375,6.686967632784135
2024-04-09,27.84719457399613,0.0,40.647483932430895,0.0,14.624153964281653,10.19330849732681,6.687859031964509
2024-04-10,27.84719457399613,0.0,40.647483932430895,0.0,14.624153964281653,10.182199835058583,6.6989676942327385
2024-04-11,27.848184513441073,0.0,40.64892890914391,0.0,14.624673838081492,10.179006903612487,6.699205835721039
2024-04-12,27.84880326133616,0.0,40.64983207176077,0.0,14.624998777976561,10.177011206177127,6.699354682749384
2024-04-15,27.852640112068322,0.0,40.655432575900335,0.0,14.627013727658333,10.164635902395318,6.700277681977693
2024-04-16,27.8588621794302,0.0,40.655432575900335,0.0,14.627013727658333,10.15841383503344,6.700277681977693
2024-04-17,27.859357444569284,0.0,40.65615533400651,0.0,14.627273761608805,10.156816662637064,6.700396797178332
2024-04-18,27.859728904979853,0.0,40.65669741945061,0.0,14.627468793139156,10.155618746072198,6.700486136358181
2024-04-19,27.856757499024543,0.0,40.65236114061432,0.0,14.625908686505268,10.165201184236604,6.699771489619264
2024-04-22,27.857005091978245,0.0,40.6527224618546,0.0,14.626038682680608,10.159514284469955,6.704719479016588
2024-04-23,27.857005091978245,0.0,40.6527224618546,0.0,14.626038682680608,10.150181805576912,6.714051957909631
2024-04-24,27.85836693189979,0.0,40.65470984349112,0.0,14.626753702953119,10.145789335210587,6.7143801864453785
2024-04-29,27.859728904979853,0.0,40.65669741945061,0.0,14.627468793139156,10.141396435355597,6.7147084470747815
2024-04-30,5.628166652941628,0.0,8.21338461028558,0.0,2.955011958633043,2.048834389213755,1.356491956362742
2024-05-09,27.859605083742373,0.0,40.656516722696395,0.0,14.627403782051168,10.129351341069052,6.7271230704410145
