date,CHINA SECURITIES DEPOSITORY AND CLEARING,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,SDICS INTERNATIONAL SECURITIES (HONG,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-01,92.3174665352875,1.101392749086121,0.41580425801703536,0.23064019714148554,0.0,0.0,0.0,0.0,0.23350700020488216,0.07506841635328615,94.37387915609031
2024-03-04,92.3068632910804,1.101314206536439,0.41631478458996907,0.23798392553676184,0.0,0.0,0.0,0.0,0.23350700020488216,0.07746396411859019,94.37344717206706
2024-03-05,92.29229364811438,1.101274935261598,0.41470466232148595,0.25322118017508916,0.0,0.0,0.0,0.005830802532024871,0.2339389842281337,0.08696761263012423,94.38823182526284
2024-03-06,92.28762036640829,1.101274935261598,0.4141155931988702,0.2600151107225908,0.0,0.0,0.0,0.005830802532024871,0.2338604416784516,0.08751741047789893,94.39023466027973
2024-03-07,92.27996246781429,1.1012356639867569,0.41651114096417424,0.2706968974793563,2.727514134939407,0.0,0.0,0.005830802532024871,0.2325252183338559,0.08736032537853473,97.1216366514284
2024-03-08,92.2726972819687,1.1012356639867569,0.4162362420402869,0.28114305658707556,2.7261396403199702,0.0,0.24914423277746559,0.00587007380686592,0.2325252183338559,0.08657489988171374,97.3715663097027
2024-03-11,92.27073371822665,1.1012356639867569,0.4166682260635384,0.2918248433438411,2.7245295180514875,0.0,0.24914423277746559,0.00587007380686592,0.2325252183338559,0.0865356286068727,97.37906712319733
2024-03-12,92.11616198045228,1.1012356639867569,0.4845682602637136,0.36365200502812123,2.7100384176351398,0.0,0.24839807855548562,0.00587007380686592,0.23173979283703494,0.10947005311404578,97.37113432567945
2024-03-13,92.07991459377398,1.1012356639867569,0.4792666381601719,0.4160791569409228,2.7100384176351398,0.0,0.24776973815802883,0.00587007380686592,0.2311507237144192,0.1006868361394708,97.37201184231577
2024-03-14,92.02681983018888,1.101314206536439,0.4875528771516334,0.46878120777761156,2.7100384176351398,0.0,0.24776973815802883,0.00587007380686592,0.23173979283703494,0.08874836858779164,97.36863451267944
2024-03-15,92.01036516603048,1.1012356639867569,0.48625692508187873,0.4805233189550855,2.7100384176351398,0.0,0.24776973815802883,0.006459142929481667,0.23173979283703494,0.08605082471895993,97.36043899033285
2024-03-18,91.99720928895874,1.101196392711916,0.43913139527261896,0.5151605833648913,2.7100384176351398,0.000101712601838319,0.24776973815802883,0.02882786472256943,0.23173979283703494,0.08605082471895993,97.35722601098173
2024-03-19,91.97502101867354,1.101196392711916,0.41344798152657236,0.5631500812206542,2.7100384176351398,6.24413269972692e-05,0.24776973815802883,0.028923490276807393,0.23173979283703494,0.08605082471895993,97.35740017908566
2024-03-20,91.96697040733113,1.101196392711916,0.41572571546735326,0.5738318679774198,2.7100384176351398,0.000101712601838319,0.24776973815802883,0.02833442115419164,0.23173979283703494,0.08874836858779164,97.36445683446185
2024-03-21,91.96265056709862,1.1011571214370748,0.41749292283520056,0.5730071712057577,2.7100384176351398,0.000101712601838319,0.24776973815802883,0.02833442115419164,0.23173979283703494,0.08874836858779164,97.36104023355067
2024-03-22,91.95943032256164,1.1011571214370748,0.4185139759810678,0.5746565647490818,2.7100384176351398,0.000101712601838319,0.24776973815802883,0.02833442115419164,0.23173979283703494,0.08874836858779164,97.3604904357029
2024-03-25,91.95353963133549,1.1012356639867569,0.41270182730459243,0.5868306599498073,2.7100384176351398,0.000101712601838319,0.24776973815802883,0.00587007380686592,0.23173979283703494,0.08874836858779164,97.33857588620334
2024-03-26,91.95118335484503,1.1012356639867569,0.42106660884573605,0.5852205376813243,2.7100384176351398,0.000101712601838319,0.24776973815802883,0.00587007380686592,0.23173979283703494,0.08953379408461265,97.34375969448237
2024-03-27,91.94654934441378,1.1012356639867569,0.4174536515603595,0.5839638568864106,2.7100384176351398,0.0035183135130096525,0.24776973815802883,0.00587007380686592,0.23173979283703494,0.08953379408461265,97.337672646882
2024-03-28,91.94313274350262,1.1012356639867569,0.4275463691945093,0.5889905800660651,2.7100384176351398,0.0037146698872149017,0.24776973815802883,0.00587007380686592,0.2325252183338559,0.09562084168497535,97.35644431625602
2024-04-02,91.94101209466119,1.1012356639867569,0.4339475869936004,0.5812148676475372,2.7100384176351398,0.004657180483400097,0.24776973815802883,0.00587007380686592,0.2325252183338559,0.09562084168497535,97.35389168339135
2024-04-03,91.94003031279017,1.1012356639867569,0.43367268806971304,0.5829820750153843,2.7100384176351398,0.004657180483400097,0.24776973815802883,0.00587007380686592,0.2325252183338559,0.09566011295981641,97.35444148123914
2024-04-05,91.94003031279017,1.1012356639867569,0.41682531116290267,0.5938994894211963,2.7100384176351398,0.004657180483400097,0.24776973815802883,0.00587007380686592,0.2325252183338559,0.09507104383720066,97.34792244961551
