date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HANG SENG SECURITIES LTD
2024-04-29,100.0,0.0,0.0,0.0
2024-05-10,90.51265336601877,0.0,0.0,9.487346633981227
2024-05-30,75.5598834040092,16.506675606716296,0.0,7.9334409892745
2024-07-03,75.175110948158,16.931847404589675,0.0,7.89304164725233
2024-07-17,69.84040250643996,15.730299869190137,7.096375880837656,7.3329217435322445
2024-08-29,69.5115491193664,16.127095639562945,7.062961593969172,7.298393647101478
2024-09-13,69.58316011001736,16.089216466902016,7.046372175285555,7.281251247795073
2024-09-20,69.42010680701392,16.285843501245456,7.02986050413473,7.264189187605888
2024-11-26,69.09628199117903,16.676345944382636,6.997068228412296,7.230303836026039
2024-11-28,69.91157542991049,17.1091041673058,7.079629310609296,5.899691092174414
2024-12-19,70.07694836913456,17.14957504535767,7.096375880837656,5.677100704670125
2025-03-20,70.91568901091799,16.157950549490007,7.1813113553288925,5.745049084263114
2025-04-09,71.77475039430553,15.142301290608623,7.26830461949214,5.814643695593712
2025-04-10,72.65488006160624,14.10174346598782,7.357431373558863,5.88594509884709
2025-04-11,73.55686267693935,13.035349384607361,7.448771076918494,5.959016861534795
