date,CITIBANK N.A.,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,YUANTA SECURITIES (HONG KONG) CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCOM INTERNATIONAL SECURITIES LTD,HANG SENG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD
2024-10-08,188326945.0,170956265.0,58970797.0,21456000.0,8612000.0,0.0,0.0,0.0,61501000.0,0.0
2024-10-09,188376945.0,170400265.0,58812797.0,21578000.0,8826000.0,522000.0,0.0,0.0,61573000.0,0.0
2024-10-10,188362945.0,170292265.0,58776797.0,21602000.0,0.0,0.0,0.0,0.0,61613000.0,0.0
2024-10-14,188340945.0,170294265.0,58742797.0,21640000.0,0.0,0.0,0.0,0.0,61625000.0,9958000.0
2024-10-16,188284945.0,170164265.0,58974797.0,21698000.0,8838000.0,524000.0,0.0,0.0,61585000.0,0.0
2024-10-17,188270945.0,170176265.0,58968797.0,21726000.0,0.0,562000.0,0.0,0.0,61607000.0,9844000.0
2024-10-18,188262945.0,170138265.0,58962797.0,21730000.0,0.0,614000.0,0.0,0.0,61609000.0,9758000.0
2024-10-21,188248945.0,170142265.0,58910797.0,21826000.0,8864000.0,566000.0,0.0,0.0,0.0,0.0
2024-10-22,188236945.0,170118265.0,58898797.0,21896000.0,8918000.0,570000.0,0.0,0.0,0.0,9684000.0
2024-10-23,188130945.0,0.0,58770797.0,22014000.0,8978000.0,618000.0,0.0,0.0,0.0,9644000.0
2024-10-25,188102945.0,170122265.0,58746797.0,22158000.0,0.0,600000.0,0.0,0.0,0.0,9564000.0
2024-11-01,188078945.0,170074265.0,58654797.0,22308000.0,0.0,526000.0,0.0,0.0,0.0,0.0
2024-11-07,188042945.0,170010265.0,58618797.0,22416000.0,8988000.0,532000.0,0.0,0.0,61615000.0,0.0
2024-11-15,187978945.0,170020265.0,58578797.0,22508000.0,0.0,0.0,0.0,0.0,61661000.0,0.0
2024-11-19,187948945.0,0.0,61403797.0,22544000.0,0.0,528000.0,0.0,0.0,61719000.0,0.0
2024-11-22,187908945.0,169984265.0,61257797.0,22576000.0,0.0,542000.0,0.0,0.0,0.0,0.0
2024-11-25,187904945.0,169940265.0,61223797.0,22586000.0,0.0,552000.0,0.0,0.0,61791000.0,9754000.0
2024-11-26,187880945.0,169968265.0,61265797.0,22624000.0,0.0,0.0,0.0,0.0,61851000.0,9748000.0
2024-11-28,187866945.0,169972265.0,61269797.0,22648000.0,8932000.0,554000.0,0.0,0.0,0.0,9780000.0
2024-11-29,187834945.0,169784265.0,61273797.0,22654000.0,0.0,0.0,0.0,0.0,0.0,9940000.0
2024-12-02,187792945.0,0.0,61271797.0,22686000.0,8914000.0,0.0,0.0,0.0,61887000.0,0.0
2024-12-03,187782945.0,0.0,61265797.0,22706000.0,0.0,0.0,0.0,0.0,61925000.0,9860000.0
2024-12-04,187772945.0,169662265.0,61225797.0,22752000.0,8902000.0,0.0,0.0,0.0,61995000.0,9878000.0
2024-12-05,187640945.0,169672265.0,61285797.0,22780000.0,0.0,0.0,0.0,0.0,62051000.0,0.0
2024-12-06,187618945.0,0.0,61259797.0,22798000.0,8838000.0,0.0,0.0,0.0,62157000.0,9896000.0
2024-12-09,187614945.0,0.0,61207797.0,22812000.0,8740000.0,0.0,0.0,0.0,62241000.0,9978000.0
2024-12-11,187550945.0,169652265.0,61199797.0,22840000.0,0.0,0.0,0.0,0.0,62317000.0,0.0
2024-12-13,187478945.0,0.0,61155797.0,22878000.0,8706000.0,560000.0,0.0,0.0,62421000.0,0.0
2024-12-16,187450945.0,169638265.0,61013797.0,22912000.0,8746000.0,508000.0,0.0,0.0,62577000.0,9956000.0
2024-12-18,187378945.0,169646265.0,60933797.0,22928000.0,0.0,514000.0,0.0,0.0,62757000.0,0.0
2024-12-20,187200945.0,169520265.0,60845797.0,23110000.0,0.0,516000.0,0.0,0.0,62843000.0,0.0
