date,THE HONGKONG AND SHANGHAI BANKING,CENTRAL CHINA INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,92.36366540922008,0.0,7.636334590779921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,90.59982107975942,0.0,7.454858390045649,0.0,0.0,0.0,0.0,0.0,1.9453205301949286,0.0
2024-03-14,90.5999286883696,0.0,7.454748470909511,0.0,0.0,0.0,0.0,0.0,1.9453228407208887,0.0
2024-03-15,90.55578444297957,0.0,7.511458750871487,0.0,0.0,0.0,0.0,0.0,1.932756806148948,0.0
2024-03-19,83.95680806192564,0.0,6.909044595831274,0.0,5.193457055216919,0.0,0.0,2.148777233626443,1.7919130533997338,0.0
2024-03-20,83.95690048088638,0.0,6.908942122076593,0.0,5.193462772131541,0.0,0.0,2.1487795989826703,1.79191502592282,0.0
2024-03-21,80.40204774044115,0.0,6.617195016475409,0.0,4.974156009237215,4.232312149841219,0.0,2.058042085554255,1.716246998450747,0.0
2024-03-25,80.40452463073677,0.0,6.603860010426306,0.0,4.984819967519143,4.232414782032066,0.0,2.0580919924043695,1.7162886168813476,0.0
2024-03-27,80.40460940402303,0.0,6.6037615396282,0.0,4.9848252231881744,4.232419244414148,0.0,2.058094162322324,1.7162904264241177,0.0
2024-03-28,80.40456595098824,0.0,6.603846085111854,0.0,4.984809456214327,4.2324058572961345,0.0,2.058087652582187,1.716284997807254,0.0
2024-04-03,80.37042826122035,0.0,6.603452201445421,0.0,4.984830478868289,4.232423706805638,0.0,2.058096332244854,1.7507690194154373,0.0
2024-04-05,77.45969467877097,0.0,6.364298441801703,0.0,4.804297491903228,4.079140240671634,3.621647470869399,1.983559338480053,1.687362337503013,0.0
2024-04-15,77.46857807048067,0.0,6.361790199113317,0.0,4.802404063402492,4.077532604924014,3.6202201382463626,1.982777595094946,1.6866973287381972,0.0
2024-04-17,77.46991580304072,0.0,6.36190005492972,0.0,4.802486991635359,4.077603016028311,3.6185558457956373,1.982811833830371,1.6867264547398848,0.0
