date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,TIGER SECURITIES ASSET MANAGEMENT CO LTD,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,KGI ASIA LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-04,47.122666094367965,33.93629089125303,0.0,18.941043014379005,0.0,0.0,0.0,0.0
2024-03-05,44.002411091018686,31.771864864089096,0.0,17.73300037314504,0.0,6.49272367174718,0.0,0.0
2024-03-08,43.95194816365148,31.73542819461567,0.0,17.712663780498296,0.0,6.599959861234554,0.0,0.0
2024-03-12,44.002411091018686,31.771864864089096,0.0,17.618186515112374,0.0,6.607537529779845,0.0,0.0
2024-03-15,44.11722494905135,31.771864864089096,0.0,17.503372657079712,0.0,6.607537529779845,0.0,0.0
2024-03-19,43.9886072671826,31.844989786817802,0.0,17.54365775770304,0.0,6.622745188296557,0.0,0.0
2024-03-20,44.29444653668994,32.06639821547553,0.0,16.97036414728121,0.0,6.668791100553319,0.0,0.0
2024-03-26,44.500129612028,31.881678619775915,0.0,16.872605777816183,0.0,6.745585990379907,0.0,0.0
2024-03-27,44.37195069141719,31.955310488178064,0.0,16.911573659747685,0.0,6.761165160657062,0.0,0.0
2024-03-28,44.43611407480031,31.91845208916059,0.0,16.892067245306958,0.0,6.753366590732143,0.0,0.0
2024-04-09,44.69129423921467,31.771864864089096,0.0,16.814489508883725,0.0,6.722351387812509,0.0,0.0
2024-04-10,43.885115138532655,33.00262126891964,0.0,16.511175625017614,0.0,6.601087967530088,0.0,0.0
2024-04-11,43.83569357245418,32.96545510853346,0.0,16.379965652186154,0.0,6.818885666826207,0.0,0.0
2024-04-12,43.11346693500383,33.1897162617988,0.0,16.831542844184927,0.0,6.865273959012444,0.0,0.0
2024-04-15,42.82215152453616,32.96545510853346,0.0,17.39350770010417,0.0,6.818885666826207,0.0,0.0
2024-04-16,41.21809521187257,35.10283873454665,0.0,17.010380241746745,0.0,6.668685811834026,0.0,0.0
2024-04-18,41.17274952556451,35.06422068813774,0.0,16.881652410682364,0.0,6.881377375615391,0.0,0.0
2024-04-24,36.53308996377112,40.1255565695954,0.0,16.421914322851848,0.0,6.919439143781631,0.0,0.0
2024-04-25,36.39236120735054,40.21452922752848,0.0,16.45832755896782,0.0,6.934782006153164,0.0,0.0
2024-04-26,36.15187642831576,39.948787136209695,0.0,16.34956909606542,0.0,7.549767339409125,0.0,0.0
2024-04-30,35.46295018628398,40.03035738926452,0.0,16.939423209603973,0.0,7.567269214847523,0.0,0.0
2024-05-02,23.951440295042488,27.377119107926813,0.0,11.585022894481543,0.0,5.175323033018636,7.382101913472827,24.528992756057693
2024-05-03,26.43483948329427,30.323549018703538,0.0,12.112648892503909,0.0,5.748162558540277,8.19920255250282,17.181597494455183
2024-05-06,26.88573243899007,30.84077079539979,0.0,12.319251548967852,0.0,5.84620764057976,8.339054457999838,15.768983118062692
2024-05-07,27.288878663547937,30.814491012351358,0.0,11.967909471648113,0.0,5.84122601838005,8.33194865174619,15.755546182326349
2024-05-09,27.21990356864233,30.77319873300621,0.0,11.975052329571858,0.0,5.929974293497491,8.336921443827242,15.764949631454868
