date,CMB WING LUNG BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),DEUTSCHE BANK AG,THE CORE SECURITIES COMPANY LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-11,59.406050026880564,40.298598155041915,0.0,0.0,0.0,0.0,0.0,0.0,0.2953518180775229
2024-03-12,58.675987821469434,39.79382319567585,0.0,0.0,0.0,0.0,1.238466848952136,0.0,0.29172213390258966
2024-04-05,58.676686885763665,39.794297298319194,0.0,0.0,0.0,0.0,1.238481604016104,0.0,0.2905342119010381
2024-04-08,58.63281794768488,39.764545557777545,0.0,0.0,0.0,0.0,1.2375556677425705,0.06881129520886618,0.2962695315861322
2024-04-10,58.63281794768488,39.76478365914505,0.0,0.0,0.0,0.0,1.2375556677425705,0.06881129520886618,0.29603143021862743
2024-04-11,58.63267834247594,39.76468897887681,0.0,0.0,0.0,0.0,1.2380289227137848,0.0688111313686214,0.2957926245648386
2024-04-17,57.18863165744435,38.78487188296214,0.0,2.46333454149051,0.0,0.0,1.2075378789416475,0.06711640261061162,0.28850763655073636
2024-04-18,57.18478034029988,38.78109884528827,0.0,2.471064166047263,0.0,0.0,1.207456558385429,0.06711188271662993,0.2884882072625238
2024-04-19,57.17933625970252,38.77601363033782,0.0,2.481277869155284,0.0,0.0,1.2073416066310891,0.06710549356034787,0.2889251406129441
2024-04-22,57.174025960420984,38.76892980448613,0.0,2.493585008778673,0.0,0.0,1.2072294796690493,0.0670992614094075,0.28913048523576174
2024-04-23,57.149478650927186,38.74880344223573,0.0,2.538929941936854,0.0,0.0,1.2067111632627847,0.06707045276231725,0.2890063488751338
2024-04-24,57.14311306288781,38.74170278917124,0.0,2.5525702539966124,0.0,0.0,1.2065767538800716,0.0670629821277292,0.2889741579365438
2024-04-25,57.137014038204114,38.73687171094082,0.0,2.559490651197626,0.0,0.0,1.2064479729822477,0.06705582433107732,0.29311980234411755
2024-04-26,57.134230133675324,38.727791833447725,0.0,2.5679505277787977,0.0,0.0,1.207549269685357,0.06705255714926568,0.2954256782635294
2024-04-29,57.13091631530922,38.72368958064719,0.0,2.5717456244619226,0.0,0.0,1.2074792311298623,0.06867268424363818,0.2974965642081663
2024-04-30,24.6251496,16.6903792,0.0,1.1112,0.0,0.0,0.52046,0.029599999999999998,0.13152999999999998
2024-05-02,57.118592285043135,38.710001374363564,0.0,2.590210944534025,0.0,0.0,1.2072187590151147,0.0686578704739027,0.3053187665702639
2024-05-03,57.116605036156066,38.706335148395624,0.0,2.5956874875579334,0.0,0.0,1.2071767579076063,0.06865548175472687,0.3055400882280463
2024-05-06,57.11713495567186,38.70669426011746,0.0,2.595711569967168,0.0,0.0,1.2071879579171763,0.06865611873025482,0.3046151375960934
2024-05-08,57.11395558606439,38.70453968973448,0.0,2.599973817498278,0.0,0.0,1.2071207609769434,0.06865229705437022,0.30575784867154143
2024-05-09,57.10852498173071,38.696685115279024,0.0,2.612945551279656,0.0,0.0,1.2070059835084848,0.06864576934221871,0.3061925988599032
2024-05-10,57.09885841282212,38.6871207192243,0.0,2.632444269742708,0.0,0.0,1.2068016776449308,0.06863414990256687,0.3061407706633751
2024-05-13,57.091577542753924,38.6794054818543,0.0,2.6450917812303545,0.0,0.0,1.2066477942494087,0.06862539812816065,0.30865200178385227
2024-05-14,57.079402782613364,38.668607387022384,0.0,2.661912200344691,0.0,0.0,1.206390477004004,0.06861076378457232,0.3150763892309769
2024-05-16,57.0726559676007,38.660096720286035,0.0,2.674576441420328,0.0,0.0,1.2062478810239377,0.0686026539567086,0.3178203357122787
2024-05-17,57.0652839196258,38.65278565602204,0.0,2.6899890010780534,0.0,0.0,1.2048731403226367,0.06859379258434734,0.31847449036712344
2024-05-20,57.06012699901323,38.647670646674975,0.0,2.7004047928565686,0.0,0.0,1.2047642573958188,0.06858759384636558,0.3184457102130412
2024-05-21,57.054442243702255,38.641735051725,0.0,2.7121837298595683,0.0,0.0,1.204644229797373,0.06858076063885463,0.3184139842769524
2024-05-22,57.0541778640458,38.6415559931235,0.0,2.717731738552594,0.0,0.0,1.20463864770043,0.068580442848386,0.31331531372929866
2024-05-23,57.04241544931518,38.63358956499424,0.0,2.741493951543933,0.0,0.0,1.2006840100376621,0.06856630415352803,0.31325071995545933
2024-05-24,57.030789964072284,38.62478949339569,0.0,2.767568730102918,0.0,0.0,1.193491434275194,0.06855233005108483,0.31480804810283647
2024-05-27,57.02854467780571,38.621879326674396,0.0,2.773712609673157,0.0,0.0,1.192518100483792,0.06854963116500414,0.3147956541979396
2024-05-29,57.016264769542424,38.61356291008396,0.0,2.799510535069145,0.0,0.0,1.1885567289795589,0.06853487043093763,0.31357018589398256
2024-05-30,56.990829884976556,38.596494183933785,0.0,2.844559915591995,0.0,0.0,1.1880313397693445,0.06850457530023843,0.31158010042807766
2024-05-31,24.6250496,16.6742792,0.0,1.2479,0.0,0.0,0.513334,0.029599999999999998,0.13363
2024-06-03,56.955503568347055,38.56609362830339,0.0,2.913571708909239,0.0,0.0,1.1872949270629638,0.06846211207725131,0.3090740553001045
2024-06-04,56.93654034550498,38.542154855572605,0.0,2.954220144980001,0.0,0.0,1.1868996195532313,0.0684393177517477,0.3117457166374372
2024-06-05,56.914827170830904,38.51220221852602,0.0,3.007870330548262,0.0,0.0,1.1864469865234837,0.07211122968580434,0.3065420638855202
2024-06-06,56.89878322757475,38.49626253036922,0.0,3.039139851284972,0.0,0.0,1.1861125343416103,0.07324620488537491,0.30645565154407806
2024-06-07,56.88682191252773,38.4853976661984,0.0,3.060909125401284,0.0,0.0,1.185863188663202,0.07461687905695205,0.3063912281524319
2024-06-11,56.88603343111412,38.47585489475599,0.0,3.079347404184523,0.0,0.0,1.1858467519727367,0.07461584482757697,0.29830167314504685
2024-06-12,56.869743040824886,38.46044869644973,0.0,3.1124141449899736,0.0,0.0,1.1855071623538496,0.07459447717086604,0.29729247821069915
2024-06-13,56.857925212701545,38.45037836338945,0.0,3.1392438340180657,0.0,0.0,1.1852608078051114,0.07088466144774537,0.2963071206380835
2024-06-14,56.85136187468961,38.44547814620967,0.0,3.150886595029493,0.0,0.0,1.1851239884033338,0.07087647894739554,0.2962729167204974
2024-06-17,56.831418628807164,38.43153004170358,0.0,3.185784051180364,0.0,0.0,1.1847082513247038,0.07085161574271022,0.29570741124148076
2024-06-18,56.82355014605781,38.42597832441951,0.0,3.199188273817509,0.0,0.0,1.1845442248642795,0.07084180612103111,0.2958972247198638
2024-06-19,52.41441621079165,35.44394931752204,7.746145903901974,2.965000394623886,0.0,0.0,1.0926313801678806,0.06534494767764057,0.272511845314929
2024-06-20,52.4109579524705,35.441397920133056,7.745634819825005,2.972041188693882,0.0,0.0,1.0925592892845783,0.06534063627392021,0.27206819331906257
2024-06-21,52.38263972405498,35.42139765152667,7.740386161702298,3.0346770887453087,0.0,0.0,1.0919689672465893,0.06530533199529019,0.2636250747288701
2024-06-24,52.3692716745186,35.412358110927954,7.737985481842265,3.0594226389279013,0.0,0.0,1.0916902967686746,0.0650759994099776,0.26419579760462475
2024-06-25,52.3454489119651,35.39624904215993,7.734465475073371,3.1081974104561954,0.0,0.0,1.0911936872514845,0.0650463963616192,0.25939907673230034
2024-06-26,52.31053322350515,35.37221402627277,7.728881542085498,3.175375738633863,0.0,0.0,1.0904658345035292,0.06436572443176748,0.25816391056741594
2024-06-27,52.291760296157854,35.35951983328508,7.726107841977231,3.214583037279395,0.0,0.0,1.09007449389535,0.0643426252011928,0.25361187220390946
2024-06-28,52.2755531092651,35.34877287180867,7.719467508383815,3.25052449522403,0.0,0.0,1.089736638735196,0.06432268299718398,0.2516226935860138
