date,WATON SECURITIES INTERNATIONAL LIMITED,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FIRST SHANGHAI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG
2024-03-11,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,55.92972181551976,0.0,0.0,0.0,44.07027818448023,0.0,0.0,0.0,0.0
2024-03-13,0.0,55.707378599957956,0.0,0.0,0.0,44.292621400042044,0.0,0.0,0.0,0.0
2024-03-15,0.0,55.445125819412134,0.0,0.0,0.0,44.55487418058786,0.0,0.0,0.0,0.0
2024-03-18,0.0,55.331778672885314,0.0,0.0,0.0,44.66822132711469,0.0,0.0,0.0,0.0
2024-03-22,0.0,58.103002585006955,0.0,0.0,0.0,41.896997414993045,0.0,0.0,0.0,0.0
2024-03-25,0.0,51.77014766055862,10.745418964597047,0.0,0.0,37.484433374844336,0.0,0.0,0.0,0.0
2024-03-26,0.0,48.91652534388544,11.38119464857735,0.0,0.0,39.70228000753722,0.0,0.0,0.0,0.0
2024-03-28,0.0,48.52857414087716,11.467628631099297,0.0,0.0,40.003797228023544,0.0,0.0,0.0,0.0
2024-04-03,0.0,29.770116949872804,7.032127742558926,0.0,32.4380177316731,24.5309489297544,0.0,0.0,6.228788646140771,0.0
2024-04-12,0.0,29.60620364913673,7.048540403657305,0.0,32.51372656564537,24.58820303063898,0.0,0.0,6.24332635092162,0.0
2024-04-17,0.0,29.622629402122236,7.0468956907766165,0.0,32.506139782876275,24.582465596798563,0.0,0.0,6.241869527426308,0.0
2024-04-18,0.0,29.859944303297038,7.023133317442137,0.0,32.39652796753545,24.49957268187183,0.0,0.0,6.220821729853549,0.0
2024-04-22,0.0,30.24924405797772,6.984152680052959,0.0,32.21671687008204,24.363592213363553,0.0,0.0,6.18629417852373,0.0
2024-04-26,0.0,30.450297758023325,6.964021145719837,0.0,32.12385350189954,24.293365155681617,0.0,0.0,6.168462438675683,0.0
2024-05-03,0.0,30.466331994259466,6.962415635464517,0.0,32.11644755422097,24.287764476694928,0.0,0.0,6.167040339360126,0.0
2024-05-09,0.0,30.80135135910246,6.928870100893067,0.0,31.961707668217247,24.17074387844651,0.0,0.0,6.1373269933407135,0.0
