date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,SINO-RICH SECURITIES & FUTURES LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,62.8958287835772,37.1041712164228,0.0,0.0,0.0
2024-03-14,0.0,62.75756247259974,37.24243752740026,0.0,0.0,0.0
2024-03-15,92.07223390928215,3.382418985037937,1.9772141725955514,0.0,0.0,2.5681329330843594
2024-03-18,92.07985154892621,3.3850627016677106,1.9773777583415082,0.0,0.0,2.557707991064569
2024-03-19,92.08202824892146,3.385142722061344,1.9774245020979848,0.0,0.0,2.555404526919213
2024-03-20,92.08529349187963,3.385262759745632,1.9774946218765515,0.0,0.0,2.5519491264981915
2024-03-22,93.63927017476381,1.754849876198947,2.0108656458087935,0.0,0.0,2.595014303228443
2024-03-26,92.20190543819162,3.262914965382567,1.9799988164980176,0.0,0.0,2.5551807799278063
2024-04-09,92.20190543819162,3.2593644594354694,1.983549322445115,0.0,0.0,2.5551807799278063
2024-04-10,92.21063595582753,3.25020417342313,1.983737142992413,0.0,0.0,2.555422727756933
2024-04-11,92.19770855032667,3.26318530442193,1.9837136634788373,0.0,0.0,2.5553924817725595
2024-04-12,92.19770855032667,3.2549001041568033,1.9919988637439636,0.0,0.0,2.5553924817725595
2024-04-22,92.19552609776305,3.2571902000236714,1.9919517102615696,0.0,0.0,2.5553319919517103
2024-04-23,89.49962658700524,3.213649681162751,4.8061124834836555,0.0,0.0,2.4806112483483655
2024-04-24,89.5038606489567,3.190780402610534,4.824662193216288,0.0,0.0,2.480696755216472
2024-04-25,89.52443341148347,3.168528478830506,4.825771158001195,0.0,0.0,2.481266951684825
2024-04-29,89.5090029531065,3.1679823503050777,4.824939386627139,0.0,0.0,2.4980753099612762
2024-04-30,89.51003148484361,3.1668696711327646,4.824994829131524,0.0,0.0,2.498104014892101
2024-05-02,89.50694596054188,3.170207631938779,4.824828505440715,0.0,0.0,2.4980179020786175
2024-05-03,86.8268212474221,4.117942143693217,6.631737361351095,0.0,0.0,2.423499247533582
2024-05-06,86.8306930803447,4.1136665143086475,6.632033087702478,0.0,0.0,2.4236073176441733
2024-05-07,86.84521552973709,4.0842494926744415,6.646522311174542,0.0,0.0,2.424012666413933
2024-05-08,86.84134240160553,4.0829523915709665,6.646225889173821,0.0,0.0,2.4294793176496823
2024-05-13,84.07780824283772,3.9497830264038516,6.450916470562835,0.0,3.1693257626459985,2.352166497549602
2024-05-16,84.04696132596685,3.2350656077348066,7.165055248618785,0.0,3.2016142955801103,2.3513035220994474
2024-05-20,84.04877522391281,3.2588755800151072,7.174921765404123,0.0,3.1660731628358687,2.3513542678320922
2024-05-21,84.05149621763951,3.273009809317233,7.175154046208466,0.0,3.1489095362966317,2.3514303905381633
2024-05-22,84.05149621763951,3.2568228171841107,7.217240225754584,0.0,3.1230103488836374,2.3514303905381633
2024-05-23,84.05058920015539,3.2567876721198257,7.218241464151595,0.0,3.122976647818017,2.351405015755169
2024-05-27,84.07145555615521,3.2511198661557557,7.22003346106104,0.0,3.1172756219979494,2.340115494630039
2024-05-28,84.06238195456262,3.2518482542766174,7.22896767578652,0.0,3.1169391829906643,2.339862932383573
2024-05-31,84.0397065170479,3.244497194648252,7.260466119982737,0.0,3.1160984031074666,2.339231765213638
2024-06-03,83.01412203570477,3.470290434319211,8.286703970157209,0.0,3.0780708766320277,2.1508126831867838
2024-06-04,82.96195304844277,3.4681095820374077,8.344339823612117,0.0,3.0761365088833026,2.149461037024413
2024-06-11,82.96018575719489,3.470165945934431,8.34416206889206,0.0,3.076070979698784,2.1494152482798285
2024-06-12,82.96460412650057,3.4650248719123145,8.344606469892737,0.0,3.076234807895101,2.1495297237992776
2024-06-13,82.96548785683852,3.463996591393268,8.344695355773329,0.0,3.076267575628462,2.1495526203664252
2024-06-18,82.96813916081682,3.486476985843178,8.322592328259319,0.0,3.0763658830171394,2.1464256420635515
2024-06-19,82.93721782093874,3.5224465457023597,8.319490586932448,0.0,3.0752193542891217,2.14562569213732
