date,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,CHINA GALAXY INTERNATIONAL SECURITIES
2024-03-08,79.03676628682004,0.0,0.0,0.0,0.0,12.889701139539882,0.0,8.073532573640078,0.0
2024-03-12,53.10693641618497,0.0,0.0,32.80346820809248,0.0,8.663294797687861,0.0,5.426300578034682,0.0
2024-03-14,40.14419138128789,0.0,24.386913539789173,24.796548145720685,0.0,6.586924463378666,0.0,4.085422469823584,0.0
2024-03-22,38.593996840442344,0.0,23.507109004739338,23.9073196419168,0.0,6.361242759347024,0.0,3.9389152185360716,3.691416535018431
2024-03-25,38.59196461481755,0.0,23.505871202148388,23.90606076562582,0.0,6.366173450581855,0.0,3.93870780896214,3.6912221578642517
2024-04-12,38.490625492358596,0.0,23.44414684102726,23.843285541725752,0.0,6.349456436111549,0.0,3.928365106874639,3.9441205819022107
2024-04-15,38.29753879918483,0.0,23.326540210064273,23.723676647332393,0.0,6.5161728588598,0.0,4.21173642681716,3.924335057741548
2024-04-16,38.29687255260272,0.0,23.30705372526497,23.703858403383283,0.0,6.562940531509424,0.0,4.208218033728397,3.9210567535111993
2024-04-17,38.191190253045924,0.0,23.2427366447985,23.63844631885869,0.0,5.810684161199625,0.0,5.206706237634073,3.9102363844631887
2024-04-18,37.971734741419475,0.0,23.109178443857743,23.502614277579333,0.0,6.103432209970492,0.0,5.425273075529327,3.8877672516436297
2024-04-19,37.92853818708309,0.0,23.082889497905786,23.475877759966906,0.0,6.210248720202699,0.0,5.419101297895444,3.8833445369460677
2024-04-22,37.92265536138972,0.0,23.079309275152518,23.472236583600456,0.0,6.22479578120153,0.0,5.418260779650502,3.882742219005274
2024-04-24,37.90110060455743,0.0,23.066191288172377,23.45889526171653,0.0,6.27809641915982,0.0,5.41518110887201,3.880535317521831
2024-04-25,37.88739669421488,0.0,23.05785123966942,23.450413223140494,0.0,6.31198347107438,0.0,5.413223140495868,3.879132231404959
2024-04-26,37.83142473950274,0.0,23.026926648096566,23.41896213762509,0.0,6.442793768699061,0.0,5.405963066130197,3.873929639946353
2024-04-29,37.823059066288366,0.0,23.028114521537272,23.420170234717567,0.0,6.448284756254837,0.0,5.406241939644055,3.874129481557906
2024-04-30,37.79978338233019,0.0,23.02336376295838,23.415338594048173,0.0,6.4830574036825,0.0,5.4051266181855695,3.873330238795193
2024-05-02,37.74916301828483,0.0,22.99253154777234,23.383981457635848,0.0,6.608292557301056,0.0,5.3978882307494205,3.868143188256503
2024-05-03,37.72584547279559,0.0,22.97832912956195,23.36953724198281,0.0,6.665980336644877,0.0,5.394553971277088,3.8657538477376843
2024-05-06,37.38332058148431,0.0,22.769701606732976,23.157357816883447,0.0,7.513389441469013,0.0,5.345575108390717,3.8306554450395303
2024-05-07,36.82914572864321,0.0,22.4321608040201,22.814070351758794,0.0,8.884422110552764,0.0,5.266331658291457,3.773869346733668
2024-05-08,36.65233046609322,0.0,22.324464892978597,22.704540908181635,0.0,9.321864372874575,0.0,5.241048209641928,3.755751150230046
