date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,HAITONG INTERNATIONAL SECURITIES CO LTD,FULBRIGHT SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,EAST ASIA SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-03-07,0.0,6.205472951893064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.205472951893064
2024-03-13,3.451325294551662,6.205472951893064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.656798246444726
2024-03-26,3.451325294551662,6.205472951893064,0.0,0.0,0.0,1.8836144542002613,0.0,0.0,0.0,0.0,11.540412700644987
2024-03-28,3.4397590295137177,6.205472951893064,0.0,0.0,0.0,1.8836144542002613,0.0,0.0,0.0,0.0,11.528846435607043
2024-04-02,3.4397590295137177,6.205472951893064,0.0,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,12.109569326053842
2024-04-03,3.4397590295137177,6.085713915979347,0.0,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,11.989810290140126
2024-04-24,3.4397590295137177,3.8403163299463783,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,11.989810290140126
2024-05-03,3.816626498666744,3.8518825949843225,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,12.378244024331096
2024-05-06,3.816626498666744,3.8480271733050078,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,12.37438860265178
2024-05-09,3.816626498666744,3.838388619106721,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,12.364750048453493
2024-05-16,3.816867462521701,3.838388619106721,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5807228904467993,0.0,12.364991012308451
2024-05-20,3.8226505950406735,3.838388619106721,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5814457820116707,0.0,12.371497036392295
2024-06-07,3.8226505950406735,3.8354970528472343,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.0,0.5814457820116707,0.0,12.368605470132808
2024-06-14,3.7898795107664975,3.8354970528472343,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7595180708250254,0.5809638543017563,0.0,13.094870528973743
2024-06-17,3.7898795107664975,3.8439307877707356,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7595180708250254,0.5901204807901292,0.0,13.112460890385618
2024-06-21,3.810602402292815,3.8436898239157786,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7595180708250254,0.5886746976603862,0.0,13.131497034927234
2024-06-27,3.810602402292815,3.8436898239157786,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7604819262448541,0.5886746976603862,0.0,13.132460890347064
2024-07-04,3.8101204745829,3.8436898239157786,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7604819262448541,0.5886746976603862,0.0,13.13197896263715
2024-07-09,3.8101204745829,3.8436898239157786,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7556626491457106,0.5942168663244012,0.0,13.13270185420202
2024-07-10,3.8101204745829,3.8436898239157786,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7556626491457106,0.593975902469444,0.0,13.132460890347064
2024-07-11,3.8091566191630717,3.8436898239157786,2.2453975860329685,0.0,0.0,1.8836144542002613,0.0,0.7556626491457106,0.5915662639198723,0.0,13.129087396377662
