date,SINOLINK SECURITIES (HONG KONG) CO LTD,KAM FAI SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,ROOFER SECURITIES LTD,CELESTIAL SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,34.131873275999496,65.8681267240005,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,34.13794028985332,65.86205971014668,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,34.21091304997621,65.78908695002379,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,27.763958301499226,53.39131008008678,18.84473161841399,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,27.76572442315819,53.38834520685547,18.84593036998634,0.0,0.0,0.0
2024-03-20,0.0,43.33882092947378,0.0,15.732386835634497,30.25046588044708,10.678326354444646,0.0,0.0,0.0
2024-03-22,0.0,43.33991207360872,0.0,15.72980976910579,30.253700981634758,10.676577175650728,0.0,0.0,0.0
2024-03-26,0.0,40.61498080343524,0.0,14.594500630292007,28.349402421779512,10.004547312193129,6.4365688323001145,0.0,0.0
2024-03-27,0.0,40.629034826366976,0.0,14.59293266288468,28.338682725715262,10.003472468695024,6.435877316338061,0.0,0.0
2024-03-28,0.0,40.66727981450551,0.0,14.586441758821097,28.308206933942337,10.003441762274372,6.43462973045668,0.0,0.0
2024-04-02,0.0,40.70040233119603,0.0,14.584561485084357,28.294429552524996,9.986806360416166,6.433800270778447,0.0,0.0
2024-04-03,0.0,40.75228493906765,0.0,14.544533624548988,28.265786982552772,9.988615115305054,6.448779338525537,0.0,0.0
2024-04-05,0.0,40.762420459661506,0.0,14.523279953973208,28.272816980171093,9.991099388625104,6.450383217569093,0.0,0.0
2024-04-08,0.0,40.795428662733286,0.0,14.457434088450013,28.293580208693818,9.99843673601234,6.45512030411054,0.0,0.0
2024-04-09,0.0,40.79981653680961,0.0,14.420575535091368,28.276648354919836,9.982610178749846,6.520349394429341,0.0,0.0
2024-04-10,0.0,40.80219253558624,0.0,14.395344359297887,28.291080544782528,9.987705228333397,6.523677331999958,0.0,0.0
2024-04-11,0.0,40.80169073130124,0.0,14.394552395490923,28.29073260795457,9.98942716446236,6.523597100790907,0.0,0.0
2024-04-12,0.0,40.842886106600304,0.0,14.350326219600081,28.292646366422925,9.990102910513016,6.52403839686368,0.0,0.0
2024-04-16,0.0,38.878528744917645,0.0,13.660140690633174,26.93189854790905,9.509917017624927,6.195627080184588,4.823887918730616,0.0
2024-04-17,0.0,38.88330931371957,0.0,13.66038058922509,26.926517543830762,9.51008403023142,6.195735887425028,4.823972635568127,0.0
2024-04-18,0.0,38.88342312512005,0.0,13.660127873260953,26.926596357715844,9.510111866236153,6.19575402233666,4.823986755330339,0.0
2024-04-19,0.0,38.887943872618145,0.0,13.657809242551778,26.927878918906263,9.508497647275298,6.194702372917566,4.823167945730947,0.0
2024-04-22,0.0,38.88771626265933,0.0,13.657729303807539,26.927721310845737,9.509027291300475,6.194666115512016,4.8231397158749,0.0
2024-04-23,0.0,38.88991099170999,0.0,13.65593092942065,26.930027816233636,9.507775195088541,6.193850436080271,4.822504631466908,0.0
2024-04-24,0.0,44.32729289771295,0.0,15.55937756688647,16.655407615841465,10.906040338379972,7.05718694872499,5.494694632454155,0.0
2024-04-25,0.0,44.33182953258006,0.0,15.556991715137054,16.593185019994426,10.968036837909946,7.056104810204012,5.493852084174508,0.0
2024-04-26,0.0,44.32544744377079,0.0,15.558495753821228,16.59478923709634,10.970097350196088,7.056786989303189,5.494383225812367,0.0
2024-04-29,37.87797280125071,27.531300918087815,0.0,9.660744028651399,10.304210224798386,6.811667666753866,4.381774038253789,3.432330322204032,0.0
2024-04-30,37.68295988609565,27.389557343841663,0.0,9.611006154201792,10.766004670160578,6.776598124470514,4.359214686061571,3.4146591351682245,0.0
2024-05-02,37.62678118259961,27.348724303508348,0.0,9.610043843110706,10.736588421480938,6.766495401704116,4.352715859269193,3.5586509883270967,0.0
2024-05-03,37.62925726060335,27.35895544890028,0.0,9.610676244220423,10.727012727086246,6.7622108540753745,4.353002295250612,3.5588851698637116,0.0
2024-05-06,37.633126784953596,27.36176884868581,0.0,9.61166453759788,10.717832529994418,6.762906231594523,4.353449926950103,3.5592511402236666,0.0
2024-05-07,37.643113834047995,27.381579031957365,0.0,9.614215273447293,10.6610179298108,6.764700966242583,4.375177273048711,3.5601956914452497,0.0
2024-05-08,37.643888245285375,27.382142338239433,0.0,9.613590163280998,10.677900941061203,6.746942097541721,4.375267281183019,3.5602689334082513,0.0
2024-05-09,37.6438108027278,27.3839375236422,0.0,9.61192459285268,10.67787897404353,6.746928217454509,4.375258280202936,3.560261609076342,0.0
2024-05-10,37.64156510715659,27.382303895539522,0.0,9.611351179693155,10.683207613395442,6.746525719766466,4.374997267889538,3.560049216559289,0.0
2024-05-16,37.643655918568555,27.383824853377163,0.0,9.611885044920962,10.687915480650569,6.739288696354763,4.3731830456250504,3.5602469605029317,0.0
2024-05-17,37.64133280911422,27.403734521243344,0.0,9.611291864995234,10.68108457816089,6.72961581749769,4.372913162622697,3.56002724636593,0.0
2024-05-21,37.627709673663176,27.393816573089374,0.0,9.6170669759434,10.702923400285885,6.72841405450951,4.371330519717034,3.558738802791613,0.0
2024-05-22,37.63273979670665,27.397478615482818,0.0,9.618352598444103,10.690986046494888,6.729313517986697,4.371914885084169,3.5592145398006654,0.0
2024-05-27,37.63467481753486,27.39991572500024,0.0,9.618847160166462,10.685365535741418,6.729659529515146,4.372139682598446,3.5593975494434327,0.0
2024-05-29,37.63020649173882,27.40639803205522,0.0,9.62112279931196,10.687893493166273,6.720965498478036,4.373174048988268,3.5602396362614295,0.0
2024-06-03,37.62827124294182,27.41013138071247,0.0,9.620628003559851,10.687343835458984,6.720619852211163,4.372949145098378,3.560056540017337,0.0
2024-06-04,37.62618139780409,27.450777716324648,0.0,9.620093681307166,10.650341219132338,6.720040893327914,4.372706274878553,3.559858817225286,0.0
2024-06-06,37.62703278817091,27.473615055585483,0.0,9.620311360986152,10.624869023451712,6.721427184753108,4.372805218748513,3.5599393683041254,0.0
2024-06-07,37.61929429246077,27.48750274753172,0.0,9.618332817033027,10.623712194927574,6.720044834576096,4.371905893664417,3.5592072198063938,0.0
2024-06-12,37.609857637096034,27.48677596122782,0.0,9.610779805136744,10.63441203177419,6.718770360367747,4.381089798040573,3.558314406356894,0.0
2024-06-13,37.60212620364058,27.481125522949117,0.0,9.608804123515307,10.652782856339668,6.717389187207113,4.3801891803205395,3.5575829260276732,0.0
2024-06-14,37.59246638070755,27.47406574114012,0.0,9.606335663462579,10.675735768430144,6.71566351909544,4.379063928741255,3.5566689984229174,0.0
2024-06-17,37.59509336112111,27.480507322166325,0.0,9.607006959018939,10.68264772082945,6.698457156701116,4.3793699399258905,3.5569175402371673,0.0
2024-06-18,37.594552482199354,27.481139600993217,0.0,9.606868743440769,10.68249403005589,6.698771842159687,4.379306934127014,3.556866367024071,0.0
2024-06-20,37.59246638070755,27.48413605091261,0.0,9.606335663462579,10.68190126420922,6.699427713543874,4.379063928741255,3.5566689984229174,0.0
