date,CITIC SECURITIES BROKERAGE (HK) LTD,CANFIELD SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,DBS BANK LTD,CHINA INDUSTRIAL SECURITIES
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,62.59037008626285,0.0,0.0,37.40962991373715,0.0,0.0,0.0
2024-03-06,0.0,62.600012423556684,0.0,0.0,37.39998757644332,0.0,0.0,0.0
2024-03-08,0.0,39.13534687418064,37.488855067550666,0.0,23.3757980582687,0.0,0.0,0.0
2024-03-12,56.85797119832991,16.890133055919026,16.17953591265446,0.0,10.072359833096602,0.0,0.0,0.0
2024-03-13,52.3805627399607,15.560081648636762,14.90544207108708,0.0,9.270646963141543,7.883266577173916,0.0,0.0
2024-03-14,52.3783255816824,15.559417082170683,14.90480546408294,0.0,9.274521986864354,7.882929885199628,0.0,0.0
2024-03-15,52.37631230261335,15.563089827021996,14.904232564271123,0.0,9.273738419081885,7.882626887011648,0.0,0.0
2024-03-19,52.37966785371718,15.566222434865045,14.905187421759825,0.0,9.265790392725036,7.883131896932909,0.0,0.0
2024-03-20,52.37854928891083,15.568025513347997,14.904869122336306,0.0,9.265592522302008,7.882963553102851,0.0,0.0
2024-03-25,52.37631230261335,15.571631439295942,14.904232564271123,0.0,9.265196806807937,7.882626887011648,0.0,0.0
2024-03-27,52.37519388111609,15.573434286770798,14.903914305627714,0.0,9.264998961735813,7.8824585647495855,0.0,0.0
2024-04-02,52.3740755073824,15.575237057252824,14.903596060575936,0.0,9.264801125112909,7.882290249675932,0.0,0.0
2024-04-03,52.37204149647637,15.575902245432916,14.904232564271123,0.0,9.265196806807937,7.882626887011648,0.0,0.0
2024-04-05,52.36899015433899,15.57690013424324,14.905187421759825,0.0,9.265790392725036,7.883131896932909,0.0,0.0
2024-04-08,52.36899015433899,15.57903567411888,14.903051881884185,0.0,9.265790392725036,7.883131896932909,0.0,0.0
2024-04-09,52.3678718175543,15.580838478975839,14.902733628064999,0.0,9.265592522302008,7.882963553102851,0.0,0.0
2024-04-10,52.36675352853263,15.582641206836856,14.902415387838106,0.0,9.265394660329822,7.882795216462584,0.0,0.0
2024-04-15,52.32840718914016,15.63693917343993,14.894853819414402,0.0,9.260849135692622,7.878950682312881,0.0,0.0
2024-04-17,52.32729031169608,15.638739786239201,14.894535909369797,0.0,9.260651475682156,7.878782517012757,0.0,0.0
2024-04-18,52.316124158898205,15.656741687659235,14.891357555152965,0.0,9.258675339544217,7.877101258745374,0.0,0.0
2024-04-22,50.459873187784986,18.64936122257765,14.362990873420381,0.0,8.930164285513317,7.597610430703666,0.0,0.0
2024-04-23,50.45919813207568,18.65734438850376,14.362798724324884,0.0,8.92314996575523,7.597508789340453,0.0,0.0
2024-04-24,50.46101563090296,18.658016410707873,14.363316060525309,0.0,8.919869452503765,7.597782445360091,0.0,0.0
2024-04-25,50.46101563090296,18.660074649437178,14.361257821796002,0.0,8.919869452503765,7.597782445360091,0.0,0.0
2024-04-26,50.45478475137972,18.670118428163242,14.359484506967297,0.0,8.918768035276491,7.596844278213255,0.0,0.0
2024-05-02,50.4537464210584,18.669734207912132,14.35918899707194,0.0,8.920642434410654,7.596687939546877,0.0,0.0
2024-05-06,50.449593527102685,18.676428576381927,14.358007079108956,0.0,8.919908168183174,7.596062649223255,0.0,0.0
2024-05-07,50.446479305258116,18.681448629565708,14.357120768315069,0.0,8.919357547832703,7.595593749028405,0.0,0.0
2024-05-08,50.44751733648566,18.681833035520697,14.355358504936467,0.0,8.91954108039616,7.59575004266102,0.0,0.0
2024-05-09,50.44751733648566,18.683890723672256,14.353300816784909,0.0,8.91954108039616,7.59575004266102,0.0,0.0
2024-05-10,45.269877508703175,16.76628482636765,12.880161485201192,10.26341850134577,8.004091250915645,6.816166427466569,0.0,0.0
2024-05-13,45.07854573359916,17.11806961901728,12.825723870252572,10.2200404718797,7.970262200089566,6.787358105161724,0.0,0.0
2024-05-14,45.07856645503095,17.11807748774744,12.825729765903334,10.220045169765761,7.970219896419286,6.787361225133227,0.0,0.0
2024-05-16,45.07690880068333,17.122963896386764,12.823419502905207,10.219669352528413,7.969926811019685,6.787111636476609,0.0,0.0
2024-05-17,45.07727084340253,17.12538166422175,12.822476472301386,10.2189178009662,7.969340704880732,6.786612514227406,0.0,0.0
2024-05-20,45.072765198131926,17.12874373919664,12.811209982009023,10.231599143711959,7.969194191815148,6.786487745135304,0.0,0.0
2024-05-21,45.0429537327626,17.117414659461758,12.802736551523031,10.228506373368692,8.026389571705383,6.781999111178543,0.0,0.0
2024-05-22,45.0429537327626,17.119251902543294,12.800899308441494,10.228506373368692,8.026389571705383,6.781999111178543,0.0,0.0
2024-05-23,45.04047122393824,17.118308387733705,12.80019379641665,10.23345406233301,8.025947203226227,6.78162532635217,0.0,0.0
2024-05-27,45.05292790096331,17.12304273515519,12.783519749747366,10.227096041409897,8.029912677264994,6.783500895459239,0.0,0.0
2024-05-28,45.05375583126895,17.12335740251791,12.765377833554336,10.236472401510216,8.037410976400118,6.783625554748466,0.0,0.0
2024-05-29,45.25155764606221,16.774265842315785,12.806656312429956,10.281414111268727,8.072698034005816,6.8134080539175095,0.0,0.0
2024-05-30,45.284991587266326,16.786659444814532,12.742233842179479,10.28901049496849,8.078662516235106,6.818442114536066,0.0,0.0
2024-06-04,45.30507567694491,16.794104400899894,12.709078449475244,10.278790238096498,8.091485111471993,6.821466123111461,0.0,0.0
2024-06-05,45.31434965588063,16.79754216517092,12.685803624713618,10.286439252149284,8.093002820349996,6.822862481735549,0.0,0.0
2024-06-06,45.32021327152662,16.799715744441105,12.674505285625198,10.293315959900948,8.088504387580086,6.823745350926042,0.0,0.0
