date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,DEUTSCHE BANK AG,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,83.35331392361705,7.809556430895702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.837129645487241
2024-03-04,65.46629683347979,7.622516065511291,0.0,20.08268312565506,0.0,0.0,0.0,0.0,0.0,6.828503975353866
2024-03-05,57.88904933133252,6.323319837292487,0.0,17.997395169738667,0.0,0.0,11.702860594392064,0.0,0.0,6.087375067244259
2024-03-06,53.885065792087296,6.003169320273497,0.0,20.513182694981616,0.0,0.0,11.035237721090988,2.869161807483657,0.0,5.694182664082949
2024-03-07,45.5853317698011,5.020287205385944,0.0,17.41065574691758,15.049622167190549,0.0,9.51606679229873,2.4352139429110924,0.0,4.982822375495004
2024-03-08,45.50366393138149,5.027821865021743,0.0,17.43678639636496,15.072209277456972,0.0,9.530348908324797,2.4388688151224875,0.0,4.990300806327552
2024-03-11,44.89949946867831,5.519737756132729,0.0,17.487430393102958,15.121077512888775,0.0,9.537506054814376,2.4407003683580095,0.0,4.99404844602485
2024-03-12,40.39463949705591,14.965356719377604,0.0,15.699098362594041,13.63773026549151,0.0,8.648151964245297,2.2633835218923237,0.0,4.391639669343315
2024-03-13,38.24700291853056,15.483436286307525,0.0,15.118053103651564,13.109093441566225,0.0,8.13042365661755,2.1054881979288473,3.595525999540032,4.210976395857695
2024-03-14,38.193461474633686,15.358733815571544,0.0,15.18692425085498,13.136272968953882,0.0,8.16746226209419,2.11507986866981,3.6119056218822907,4.23015973733962
2024-03-15,38.128382094059226,15.423813196146,0.0,15.18692425085498,13.136272968953882,0.0,8.16746226209419,2.11507986866981,3.6119056218822907,4.23015973733962
2024-03-18,36.72917541170843,16.953178639645706,0.0,15.18692425085498,13.103733278666654,0.0,8.069843191232506,2.11507986866981,3.6119056218822907,4.23015973733962
2024-03-19,36.717227739519934,16.947663922294474,0.0,15.181984080255809,13.099470751454865,0.0,8.09974724885091,2.114391852109675,3.610730701294983,4.22878370421935
2024-03-20,36.196762052846786,17.468129608967622,0.0,15.181984080255809,13.099470751454865,0.0,8.09974724885091,2.114391852109675,3.610730701294983,4.22878370421935
2024-03-21,36.07673046835775,17.84806149321223,0.0,15.118053103651564,13.04430918932226,0.0,8.065639404373586,2.1054881979288473,3.595525999540032,4.146192143613731
2024-03-22,36.12082289698883,17.853844733115803,0.0,15.12295174925555,13.048535887524018,0.0,8.068252883023295,2.0413651872709537,3.5966910442392996,4.147535618582256
2024-03-25,35.77836394488299,18.136572609557554,0.0,15.142578118663149,13.06547010709987,0.0,8.078723756314545,2.0440144443687402,3.6013587829353995,4.152918236177758
2024-03-26,35.743573287695654,18.05411047041168,0.0,15.160266695190217,13.052765325735697,0.0,8.103281180615655,2.042026857515145,3.5978568441933505,4.246119338642603
2024-03-27,35.68573897228955,18.348505098425004,0.0,14.973933472915729,13.031645508175927,0.0,8.09016979648369,2.0387227887138892,3.592035389638758,4.239248973357452
2024-03-28,33.93665158371041,16.824561230558924,0.0,15.205197212117627,13.232911733488434,0.0,8.379420144126026,4.469024076867214,3.6475122980313293,4.304721721100037
2024-04-02,34.11566276044635,17.06190149031151,0.0,15.099131601311552,13.112266660588636,0.0,8.303024580208845,4.428279776111385,3.6142577584438507,4.265475372577877
2024-04-03,34.78383706276169,17.681585438246188,0.0,14.783964040035935,12.78343708434783,0.0,7.96782395870699,4.317227324239644,3.523619360225004,4.1585057314367155
2024-04-05,34.56672681935547,20.858550583565357,0.0,12.032223300265157,12.79008397146803,0.0,7.806154536576733,4.298125574795286,3.508028961781447,4.140106252192518
2024-04-08,32.41537918954884,25.606297252361323,0.0,11.401915137648666,11.994060761609521,0.0,7.320318774691257,4.0306208637976155,3.3489717471259595,3.882436273216821
2024-04-09,32.879825312502774,25.124660387476776,0.0,11.398536962582625,11.990507144825298,0.0,7.318149900597599,4.029426665916088,3.347979509180278,3.9109141169185553
2024-04-10,32.336051844407486,25.67317982787704,0.0,11.405295315682281,11.938325077004716,0.0,7.352134638930146,4.0318157697358865,3.349964573383494,3.9132329529789485
2024-04-11,31.70119085438087,29.24436711923686,0.0,11.422226312804876,12.015426774776808,0.0,4.334698070465564,4.037800942351485,3.3252478348776933,3.9190420911058523
2024-04-12,31.518544063797854,29.45381671141476,0.0,11.3884144374025,11.950257091857425,0.0,4.469875701933295,4.025848314324028,3.2858026683085817,3.9074410109615565
2024-04-15,31.518544063797854,29.305807582211667,0.0,11.447618089083734,12.00946074353866,0.0,4.499477527773913,4.025848314324028,3.2858026683085817,3.9074410109615565
2024-04-16,31.527876891006372,29.31448520506815,0.0,11.451007796468641,12.013016815854694,0.0,4.471199258550798,4.027040391807342,3.2867756139015802,3.90859802734242
2024-04-17,31.204695216398253,29.89933404702801,0.0,11.280654109918704,11.83430226622367,0.0,4.72555328353028,3.967131151605667,3.2378791016781547,3.850450823617265
2024-04-18,31.106162274493094,30.091910208775396,0.0,11.287239103722232,11.724462008598522,0.0,4.524002019747998,4.02782115306596,3.2689562981404894,3.9694469334563083
2024-04-19,31.164536494102745,30.062723098970572,0.0,11.22886488411258,11.724462008598522,0.0,4.553189129552824,4.02782115306596,3.2689562981404894,3.9694469334563083
2024-04-22,29.429927557101397,29.879926449411816,0.0,14.778517468264694,11.123972617913557,0.0,4.319989366180021,3.6553756175369414,3.1015308270010413,3.710760096590531
2024-04-23,28.624657017375938,31.933104169614445,0.0,13.371397815453848,11.144681098987075,0.0,4.383519078018317,3.662180495559606,3.1627922461651146,3.717668078825661
2024-04-24,28.386333958806553,30.478102950697348,0.0,15.329306163654518,11.019850544820093,0.0,4.361852717516542,3.621160746617506,3.127366099351483,3.676026818535954
2024-04-25,28.8094559173512,27.28090281966638,0.0,15.375736173106239,11.013807701165813,0.0,7.101260130948334,3.619175047433128,3.1256511773286104,3.674011033000296
2024-04-26,28.382622135019897,27.594786859729698,0.0,15.367309357564862,11.281801142155627,0.0,6.960353388650788,3.6171915248106457,3.1239381350637396,3.6719974570047462
2024-04-29,28.390401947240314,27.602350722540187,0.0,15.371521610420366,11.284893537705852,0.0,6.934850777361139,3.6181830142753766,3.1247944214196433,3.6730039690371243
2024-04-30,28.29679955327326,27.619318741719677,0.0,15.350483406510385,11.269448489559952,0.0,7.062224217407014,3.613230994952426,3.1205176774589134,3.6679769191183715
2024-05-02,28.23496957315008,28.924626629229444,0.0,14.169789470234129,11.244824157935563,0.0,7.0467928898406,3.605335897127749,3.113699183883056,3.6599621985993815
2024-05-03,28.71532197204357,28.3281332717586,0.0,13.454173753393182,11.593133665987091,0.0,7.208749619851094,3.7170115227357208,3.21014631508994,3.7733298791408068
