date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,42.63273843578453,13.33233181980907,17.758872974850874,11.030396885126567,5.42483824317258,2.8880220594589137,1.3285480406195478,0.0,1.559663225710964,4.044588315466952
2024-03-04,41.87942293906538,13.060240251786434,17.371434339716572,10.8865205324169,5.360060596032927,2.6684027926369716,1.3054816168218015,2.2109030410811554,1.4696284208005406,3.78790546964132
2024-03-05,41.90690997141215,13.061459623945124,17.342589030848828,10.908321008622433,5.341730134172862,2.6748796961117303,1.313223543581898,2.1611403283426216,1.4629500430924642,3.8267966198698877
2024-03-06,42.117647825145426,13.049584925455896,17.38053065332377,10.987502829260745,5.359045943560271,2.591386204819961,1.318628509966242,2.1661295773222786,1.4582312284035266,3.5713123027418865
2024-03-07,42.18887329977899,12.948556691550156,17.342895245422042,11.484546628117613,5.287121751962357,2.2569716752349858,1.3154928926710032,2.161914685891797,1.459708576058025,3.553918553313029
2024-03-08,42.55568593560757,12.944905989755023,17.372522926535993,11.396930624833871,5.225970609119519,2.1725989057104784,1.2624862424881749,2.1579188468679735,1.4574046264476916,3.453575292633703
2024-03-11,42.960364149632916,12.965285288888758,17.339063470591988,11.159789016335871,5.218755763577886,2.1438942176305193,1.2443996246866624,2.1554639372068287,1.471331723816242,3.3416528076323275
2024-03-12,43.04348302260095,13.00138782387997,17.289173868462164,11.102772247709863,5.107699386513378,2.178431597321776,1.2537686423697503,2.1556030945070113,1.4955842057265174,3.372096110908615
2024-03-13,43.14751337113966,13.032843392515261,17.315486990991367,11.058368875414713,5.111695990314806,2.273498151579027,1.245883615778437,2.1570570764654042,1.5251079949640685,3.1325445408372525
2024-03-14,43.32212204009723,13.208361068669728,17.36952455665304,10.989410859743748,5.00177233324839,2.300117247871823,1.2778983118289708,2.1431170116131897,1.4658543315210726,2.9218222387528066
2024-03-15,43.367756817981395,13.190992459892897,17.407726906542837,11.158690018124542,4.998324238787371,2.2816829723984435,1.2989340249957158,2.1396869203103694,1.3199915060077225,2.836214134958709
2024-03-18,43.280603705645326,13.072457277042496,17.250937483843696,11.301287011106574,4.983335559321795,2.1993856560567324,1.292765787306134,2.1364948131393313,1.561754195401391,2.920978511136523
2024-03-19,42.471240877994624,13.074250502772811,17.233936950672202,11.818948379548933,4.976726595802479,2.2347568298233424,1.2939801528783574,2.134098154191394,1.6927936507768575,3.069267905538997
2024-03-20,42.74482109122568,13.134954433703394,17.214772080698904,11.637858906475039,4.974630093556419,2.250578014961382,1.2896208259444808,2.1370893663081474,1.7455118913886525,2.8701632957379
2024-03-21,42.626233067782756,13.09333213205747,17.121670095875242,11.909900469740734,4.945456474108541,2.3151585238315624,1.2882576442188998,2.1521975695887585,1.7554903807603839,2.79230364203565
