date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),HAITONG INTERNATIONAL SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-05,75.13679719058942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.86320280941058
2024-03-06,27.6641118859457,40.01953088640319,2.1974080914959258,20.970048862694338,0.0,0.0,0.0,0.0,0.0,9.148900273460846
2024-03-07,27.66905933145446,40.0189991234046,2.1973788932447222,20.965783945243768,0.0,0.0,0.0,0.0,0.0,9.148778706652454
2024-03-08,25.256727825848824,36.512401629093034,2.004837263271805,19.113083658410115,0.0,0.0,0.0,0.0,8.76581726449553,8.347132358880694
2024-03-12,25.275551411360414,36.47658213436312,1.9968147767500575,19.09433328952643,0.0,0.0,0.0,0.0,8.757217798798953,8.399500589201022
2024-03-13,25.274646383360917,36.477023921874185,1.9968389612481288,19.09456455126988,0.0,0.0,0.0,0.0,8.757323862175202,8.399602320071688
2024-03-14,25.272197701896037,36.48317821308591,1.9966455016650115,19.092714614159483,0.0,0.0,0.0,0.0,8.75647542709532,8.398788542098238
2024-03-15,25.284445856228015,36.452394826334206,1.9976131746208472,19.10196788599477,0.0,0.0,0.0,0.0,8.760719247268792,8.402859009553373
2024-03-19,25.28352683285392,36.45106987726955,2.0011753046640464,19.101273579499846,0.0,0.0,0.0,0.0,8.760400818072917,8.40255358763972
2024-03-20,24.94652153554868,36.14452640565939,1.9745015465698286,18.84667182144118,0.0,0.0,0.0,1.1535900973052648,8.643633030820569,8.290555562655083
2024-03-21,24.946819757354184,36.14495849339189,1.974525150638851,18.846897122932226,0.0,0.0,0.0,1.152408443390631,8.643736360651339,8.29065467164088
2024-03-22,22.50107854174363,32.6121544050183,1.7809462660696682,16.76520210666258,0.0,10.027016404563044,0.0,1.0394283980529004,7.796320037459102,7.477853840430769
2024-03-26,22.463535681569823,32.56312353077879,1.7779747722134924,16.68448364507412,0.0,10.010286412081188,0.0,1.037694120518764,7.783311943091821,7.6795898946720005
2024-03-27,22.452049276133298,32.544887514157104,1.7781415261791125,16.675952274662844,0.0,10.005167796298934,0.0,1.037163510575773,7.779332058629971,7.727306043362956
2024-03-28,16.733750676784908,24.098879631596105,1.3877553576804584,12.433915434229545,14.30525729071375,7.448035080999182,11.254463780957776,0.7720840238539685,5.791081095196702,5.7747776279876035
