date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,THE CORE SECURITIES COMPANY LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD
2024-03-01,87.34324387568518,10.476046489893136,0.7271695630093576,0.0,0.0,0.0,0.0,1.1899267293063247,0.020909840167048714,0.2427035019389583
2024-03-04,86.91034348777173,10.474818330545252,1.143467993095718,0.0,0.0,0.0,0.0,1.1996569461472202,0.022051005920171847,0.24966223651991173
2024-03-05,77.49233108823726,10.41036982625819,10.69681009765063,0.0,0.0,0.0,0.0,1.1314076113165041,0.021837415702486162,0.24724396083492806
2024-03-06,77.60713377217343,10.396579564096164,10.53673407584523,0.0,0.0,0.0,0.0,1.1577154762799124,0.023673498949433002,0.2781636126558378
2024-03-07,78.55344058014076,11.56097049675063,8.151132960263698,0.0,0.0,0.0,0.0,1.4777241969763855,0.03241750889776781,0.22431425697076116
2024-03-08,36.907127273003496,57.9287777289873,4.364623160278139,0.0,0.0,0.0,0.0,0.6799313862311558,0.015226968199842091,0.10431348330006765
2024-03-11,15.439664623538418,37.28409912582183,4.40357325621421,33.844991065453705,0.0,0.0,0.0,8.976932837594594,0.006369842640432443,0.04436924873680529
2024-03-12,17.17791361253028,35.59877841074459,4.168561042801939,33.70940652551594,0.0,0.0,0.0,8.573941257595228,0.7262027830887785,0.045196367723244875
2024-03-13,13.09700063180659,51.181315600587816,2.7716864105896457,25.455846065423586,0.0,0.0,0.0,6.90544343500329,0.5489772417807885,0.03973061480828169
2024-03-14,11.814216495986026,55.21853855405487,2.2300858864091144,23.922307838429827,0.0,0.0,0.0,6.2808260280537365,0.49555965347321246,0.038465543593226965
2024-03-15,13.176135771009486,52.831946253362446,2.3693975087295813,24.12898719937089,0.0,0.0,0.0,6.931240581630564,0.21022724855235744,0.35206543734467177
