date,MONMONKEY GROUP SECURITIES LTD,CITIBANK N.A.,SUNHIGH FINANCIAL HOLDINGS LTD,FUTU SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD,SOOCHOW SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TOTAL_CCASS_PCT
2024-03-01,25.181603807175858,3.1716269515485833,0.0,1.8217451909060016,0.0,0.0,0.0,0.0,30.17497594963044
2024-03-04,25.188269889944458,3.175436141702072,2.130289593338592,1.801746942600186,0.0,0.9680104477553323,0.0,0.0,33.26375301534064
2024-03-05,25.174937724407247,3.1735315466253273,2.1340987834920804,1.8060322815228607,0.0,0.960868216217541,0.0,0.0,33.24946855226506
2024-03-06,25.15398717856306,3.175436141702072,2.1340987834920804,1.8388865465967013,0.0,0.9537259846797496,0.0,0.0,33.25613463503366
2024-03-07,25.15398717856306,3.175436141702072,2.1340987834920804,1.8117460667530938,0.0,0.9537259846797496,1.129901029278605,0.0,34.358895184468665
2024-03-08,25.13303663271887,3.1744838441636993,2.1340987834920804,1.8269828273670492,0.0,0.9661058526785881,1.129901029278605,0.0,34.36460896969889
2024-03-11,25.13303663271887,3.1740076953945136,2.1340987834920804,1.8241259347519325,0.0,0.9575351748332384,1.129901029278605,0.0,34.35270525046924
2024-03-12,25.14065501302585,3.1740076953945136,2.1340987834920804,1.8246020835211183,0.0,0.9575351748332384,1.129901029278605,0.0,34.3607997795454
2024-03-13,25.14065501302585,3.1740076953945136,2.1340987834920804,1.8331727613664681,0.0,0.9618205137559132,1.129901029278605,0.0,34.37365579631343
2024-03-14,25.13113203764213,3.1740076953945136,2.1340987834920804,1.8236497859827463,0.0,0.970391191601263,1.129901029278605,0.0,34.363180523391335
2024-03-15,25.1492256908712,3.1773407367788167,2.1340987834920804,1.8098414716763496,0.0,0.970391191601263,1.129901029278605,0.0,34.370798903698315
2024-03-18,25.138274269179917,3.181149926932305,2.1340987834920804,1.8084130253687911,0.0,0.9780095719082403,1.129901029278605,0.0,34.369846606159946
2024-03-19,25.14208345933341,3.186863712162538,2.1340987834920804,1.8260305298286768,0.0,0.9603920674483549,1.129901029278605,0.0,34.37936958154366
2024-03-20,25.151130285947943,3.187339860931724,2.1340987834920804,1.8212690421368158,0.0,0.9522975383721913,1.129901029278605,0.0,34.37603654015936
