date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,20.83974791319235,0.0,0.0,0.7875827375134583,1.113137176508967,0.0,0.44698685782789177,0.0,1.7542785225947197,0.0
2024-03-04,20.694998283066738,3.1260130121927308,2.9706374564692264,0.7930832234582316,1.123559149878011,0.8912854978999059,0.4519083452521626,0.0,1.756449767046604,51.278450879962826
2024-03-05,20.642019918440763,3.131802997397755,2.9717954535102313,0.7938069716088597,0.0,0.9021417201593267,0.4533558415534188,0.0,1.7592000100189904,51.278306130332695
2024-03-06,20.629860949510213,0.0,0.0,0.0,1.1177691646729866,0.9277624046915601,0.46609380900447267,0.0,0.0,0.0
2024-03-07,20.63651943249599,3.133684742589388,2.974111447592241,0.7945307197594876,1.120664157275499,0.9619233174012047,0.4753577853325119,0.0,0.0,51.260212426566994
2024-03-08,20.613504241306018,3.148014955971824,2.975848443153749,0.8084266842515465,1.0975042164554007,0.9888467486045686,0.4982282268923587,0.0,0.0,51.238934230938526
2024-03-11,20.614227989456644,3.14483046410906,2.9681767127570913,0.812334924264938,0.0,1.0046244582882604,0.49793872763210745,0.0,0.0,0.0
2024-03-12,20.53722118622982,3.151054698204461,2.968610961647468,0.8221778991134796,1.190143979735793,1.0082431990414007,0.5127031899049199,0.0,1.761226504840749,51.21418204418705
2024-03-13,20.539392430681705,0.0,0.0,0.0,0.0,0.0,0.5147296847266786,0.0,0.0,51.20651031379039
2024-03-14,20.539102931421453,3.1487387041224517,2.9713612046198543,0.8165326635385809,0.0,0.0,0.5154534328773066,0.0,0.0,0.0
2024-03-15,20.54185317439384,0.0,2.970492706839101,0.0,0.0,0.0,0.514150686206176,0.0,0.0,51.206799813050644
2024-03-18,20.54112942624321,0.0,0.0,0.8146509183469479,0.0,0.0,0.5135716876856736,0.0,0.0,0.0
2024-03-19,20.192913708903387,3.1425144700270504,3.1002760213326908,0.8136376709360685,1.1894202315851647,1.015625430177807,0.5496143455869512,0.0,1.761950252991377,51.34011422239632
2024-03-20,20.18943971778037,3.1367244848220253,3.105776507277464,0.8120454250046868,1.2001317042144601,1.0127304375752948,0.5626418122982563,0.0,1.7696219833880347,0.0
2024-03-21,20.186689474807988,3.1352769885207694,3.2401041640340327,0.0,0.0,0.0,0.564234058229638,0.0,0.0,51.19985183080461
2024-03-22,20.18611047628748,3.129776502575996,0.0,0.8184144087302139,0.0,1.0266264020673537,0.0,0.0,0.0,51.20014133006487
2024-03-25,20.186232572600492,0.0,0.0,0.0,0.0,0.0,0.5643788078597637,0.0,1.771648478209793,51.19608834042134
2024-03-26,20.186522071860747,0.0,3.2359064247603904,0.8221778991134796,0.0,1.0348771309845135,0.5396266211082839,0.0,0.0,51.195509341900845
2024-03-27,20.184350827408863,0.0,3.2289584425143603,0.824638642825615,0.0,1.0403776169292869,0.551206591518333,0.0,0.0,51.19536082878034
2024-03-28,20.183627079258233,3.131223998877252,0.0,0.83173137470177,1.196802462721571,0.0,0.5517855900388353,0.0,1.768029737456653,51.19550557841046
2024-04-02,20.16090138732851,3.1348427396303924,3.2331561817880035,0.8318761243318958,1.171037028559212,1.0633928081192592,0.5627865619283818,0.0,1.7686087359771552,51.1934790835887
2024-04-03,20.215182498625616,3.135132238890644,3.229682190664988,0.8420085984406886,1.1309413810144173,1.0687485444339069,0.5736427841878029,0.0,1.7732407241411747,51.18305711021966
2024-04-05,20.213879751954487,3.135855987041272,0.0,0.8402716028791813,1.1234144002478856,1.070196040735163,0.5814592642145859,0.0,0.0,51.18320185984978
2024-04-08,20.296064538950166,3.1474359574513207,3.229247941774612,0.0,1.120229908385122,1.0665772999820227,0.5959342272271472,0.0,1.7728064752507982,0.0
2024-04-09,20.27551009147233,3.138750979643784,3.343816550270884,0.0,1.1242828980286392,1.065274553310892,0.6046192050346839,0.0,1.762384501881754,0.0
2024-04-10,20.26393012106228,3.1365797351919,3.344540298421512,0.8485223317963413,0.0,1.063103308859008,0.623291907320888,0.0,1.7490675359101975,0.0
2024-04-11,20.263785371432157,0.0,3.343961299901009,0.8495355792072206,0.0,0.0,0.6256079014028978,0.0,0.0,0.0
2024-04-12,20.25596889140537,3.138027231493156,3.343816550270884,0.8486670814264667,1.1231249009876343,1.0703407903652886,0.616922923595361,0.0,1.7464620425679362,0.0
2024-04-15,20.24511266914595,3.127894757384363,3.3415005561888735,0.8574968088641293,0.0,1.0788810185426998,0.625897400663149,0.0,1.7428433018147962,0.0
2024-04-16,0.0,0.0,0.0,0.8629972948089025,1.1315203795349198,0.0,0.625173652512521,0.0,0.0,0.0
2024-04-17,20.23715143948904,0.0,3.3393293117369898,0.8705242755754343,0.0,0.0,0.6455833503602323,0.0,1.739224561061656,51.18305711021966
2024-04-18,20.240770180242183,3.1331057440688856,3.3384608139562357,0.8861572356290004,1.120664157275499,1.0748280288991825,0.6591898155920399,0.0,1.7393693106917814,0.0
2024-04-19,20.246560165447207,3.1258682625626046,0.0,0.8942632149160348,1.1238486491382622,1.0780125207619462,0.663242805235557,0.0,1.7176568661729397,0.0
2024-04-22,20.247862912118336,0.0,0.0,0.0,0.0,1.0771440229811924,0.0,0.0,0.0,51.18320185984978
2024-04-23,20.24974465730997,3.1244207662613483,3.338605563586362,0.0,0.0,1.0699065414749118,0.6777177682481184,0.0,1.7162093698716834,0.0
2024-04-24,20.203135276409522,0.0,0.0,0.0,1.1277568891516538,0.0,0.6794547638096257,0.0,1.7164988691319347,51.22995599038036
2024-04-25,0.0,3.1234075188504695,3.3391845621068637,0.0,1.1276121395215282,1.0678800466531533,0.6797442630698769,0.0,0.0,51.22981124075024
2024-04-26,20.202411528258892,0.0,3.3390398124767384,0.0,0.0,1.0686037948037812,0.6801785119602537,0.0,0.0,0.0
2024-04-29,20.198792787505752,0.0,3.338605563586362,0.8965792089980447,0.0,0.0,0.6822050067820123,0.0,0.0,51.22923224222973
2024-04-30,20.198503288245504,3.119788778097329,3.3341183250524673,0.889341727491764,0.0,1.07063028962554,0.6914689831100516,0.0,0.0,51.229087492599604
2024-05-02,20.236138192078162,3.122249521809464,3.2879431930423975,0.0,1.1239933987683879,1.0633928081192592,0.7072466927937433,0.0,1.718670113583819,51.1929000850682
2024-05-03,20.23830943653005,0.0,3.2882326923026484,0.8944079645461604,0.0,1.0554315784623505,0.7092731876155018,0.0,0.0,0.0
2024-05-06,20.153775652536687,3.137448232972654,2.9883685624114635,0.9096066757093497,1.132967875836176,1.1951149715335667,0.7311303817644694,0.0,1.7387903121712789,0.0
2024-05-07,20.11310100647139,3.1504756996839594,2.980696832014806,0.0,1.1402053573424564,1.1997469596975863,0.7506715818314271,0.0,0.0,51.156712677536795
2024-05-08,20.110061264238755,0.0,2.962024129728602,0.9078696801478424,1.133691623986804,1.206260693053239,0.7650017952138628,0.0,1.7521072781428355,0.0
2024-05-09,20.091243812322425,3.137448232972654,2.9628926275093557,0.8809462489444784,1.130651881754166,1.1771660173979908,0.7748447700624045,0.0,1.7570287655671062,51.156857427166926
2024-05-10,20.059109394434536,3.132381995918257,3.0565313079872447,0.8770380089310869,1.1371656151098186,0.0,0.8059659405394111,0.0,1.7548575211152222,0.0
2024-05-13,20.004683533507308,3.146133210780191,2.9625887980357217,0.8692215289043039,1.1416528536437127,1.2113269301076353,0.8664712859319171,0.0,1.7441460484859266,0.0
2024-05-14,19.99237981494663,3.144685714478934,2.962733547665848,0.0,1.1494693336704958,0.0,0.874432515588826,0.0,0.0,51.15656792790667
