date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,52.81332805693823,15.307146182601752,24.184386027526244,2.4886653561761687,0.0,1.3519247893715916,0.0,1.5408305996487623,1.5482398505961612,0.7654791371410836
2024-03-04,52.97461221681857,15.316607638701532,24.109077046437612,2.49071589883011,0.0,1.3632042374188458,0.0,1.4328484393550587,1.548699643670312,0.7642348787679587
2024-03-05,52.9610277220823,15.302105878409526,24.103967734652286,2.4954951846970728,0.0,1.391121653461833,0.0,1.4393933220410673,1.546570044015797,0.7603184606401213
2024-03-06,52.036737760668196,15.009540014210485,23.58305820383795,2.447865989638607,1.9744221149880756,1.348489415684889,0.0,1.3334642581403797,1.5169514170902374,0.7494708257411805
2024-03-07,52.0381928877052,15.008975711146045,23.538607026189812,2.447750751363308,1.9743478840356992,1.3500864562497639,0.0,1.3749828143167249,1.5166158942808727,0.7504405747125676
2024-03-08,52.04198573866605,15.011866988296763,23.521297511193232,2.451081635481487,1.9748625751222815,1.3460046042450091,0.0,1.385253480960732,1.5170112596006664,0.7506362064337743
2024-03-11,52.03802673296636,15.012001113757547,23.51991967225905,2.4554050134783534,1.9745870926460125,1.347650465605639,0.0,1.386819547617716,1.5150588648611816,0.7505314968081374
2024-03-12,51.4280895057703,14.835020861953357,23.231358687585463,2.4257615893635074,1.951320257363786,1.3319314704547376,1.1880620502538972,1.3696986044507653,1.497069093365672,0.7416878794385141
2024-03-13,51.41836841459006,14.830028837496185,23.245997354183203,2.424877079217833,1.9509592441207175,1.3318226461576308,1.1878422472092098,1.369697456191918,1.4967921210099278,0.7436145998233146
2024-03-14,51.42063529944711,14.831269258606705,23.244623283745703,2.424196047545742,1.951001748707018,1.3315076644489636,1.1878681261420785,1.3707134231992695,1.4968017977164754,0.7413833504409238
2024-03-15,51.41826226557976,14.83035853017946,23.238272991282177,2.428506265332683,1.9507612893171724,1.3359984158731733,1.1877217223548864,1.3722321567734423,1.4964338753976176,0.7414524879096226
2024-03-18,51.40879787324142,14.831248006461717,23.237635015562898,2.4289954970874112,1.9508963881537758,1.3420532405019971,1.1878039773308167,1.3745286548363969,1.4965375100538552,0.7415038367697121
2024-03-19,51.39473552429078,14.831583876431726,23.242482283441458,2.432139970857863,1.9462938924311564,1.3555030610499528,1.1879088040375287,1.3714214928339477,1.496433395609096,0.7414976990164907
2024-03-20,51.402718051107065,14.8307102177616,23.227589812484663,2.4341265153807035,1.9461220747906498,1.359923481056042,1.1878039361711494,1.3735016769385824,1.4960719942587266,0.7414322400508219
2024-03-21,51.41649733296691,14.827465213703075,23.21961123683751,2.4378956066599873,1.9457263402305878,1.3547180615316936,1.1875624019558968,1.369737774467627,1.4957677752171061,0.7450182564295975
2024-03-22,51.41731001674679,14.827692963851161,23.22125171299575,2.4371306637283077,1.9457562266242316,1.35063522314753,1.1875806429370088,1.371959652215771,1.4956531978292567,0.7450296999242058
2024-03-25,51.417912886464364,14.828335377237064,23.22314584397523,2.4332549382797093,1.9458284930415375,1.3499058938526525,1.187624750311382,1.373684223994886,1.495250222121117,0.7450573707220495
2024-03-26,51.41365944293742,14.82472250238268,23.217831411332025,2.4345415784681115,1.9453543983670778,1.35957040461073,1.1873353894702838,1.3772231231213354,1.493739875995771,0.7460218733145675
2024-03-27,51.41932391241231,14.822500830098132,23.212594649359627,2.4346874449555465,1.9451230099137893,1.3600274761175932,1.1871941629156082,1.3790531713915515,1.4935622044312418,0.7459331384046042
2024-03-28,51.42533792735004,14.823521082107455,23.214802596570422,2.436202555538548,1.9453080270990402,1.3499344660343633,1.1873070870449558,1.3778778979789843,1.493704269829498,0.7460040904466856
2024-04-02,51.38584917553185,14.896159152932395,23.216186811154767,2.4259299238682033,1.9450418558216724,1.3514817662049121,1.1869348594138804,1.376277365604141,1.492800639143312,0.7233384503248641
2024-04-03,51.39414659224785,14.913327323673245,23.214930660874185,2.420751904141269,1.9449500529218684,1.3497683249353118,1.1822964672226963,1.3758687296831515,1.4908055856018168,0.7131543586986053
2024-04-05,51.38168491860744,14.92278803447628,23.21359118058723,2.4213057275869914,1.9448243950415203,1.3492687333895526,1.182220082295592,1.3855396576701666,1.4882349484162838,0.7105423219289494
2024-04-08,51.27169784408512,14.964625725976738,23.27092031348387,2.4187417658848753,1.949627404422387,1.3461242557956543,1.185139736203673,1.3909595620050892,1.4919103478181022,0.7102530443244941
2024-04-09,51.28204003522514,14.982797881567064,23.287696582845285,2.4184411388403295,1.9504592681438215,1.3462161059969793,1.139691903144219,1.3888877509013604,1.4925469136004499,0.7112224197353458
2024-04-10,51.301434517039134,15.00005112024105,23.289931387143508,2.4155698101115615,1.950255828260817,1.3313950769196694,1.1395730291993877,1.3692376561158253,1.4906681588639987,0.7118834161050469
2024-04-11,51.142725272785086,15.027259114478372,23.304305671797685,2.4165971719958113,1.951697850582891,1.3311149886809728,1.1404156313451814,1.4839113221785154,1.4917703613180244,0.7102026148374603
2024-04-12,51.13744364046505,15.034508462210352,23.305113345091332,2.4132344853689736,1.9517674174693727,1.3288632189844891,1.1404562806520113,1.490263424155244,1.4917775500882224,0.7065721755149527
2024-04-15,51.28304109106187,15.023867522031912,23.281177557124366,2.409492674596766,1.9497628320218099,1.3237315524934001,1.1392849617523748,1.3964669297275114,1.4899697799997351,0.7032050991902559
2024-04-16,51.28047449569113,15.048558935378125,23.28128450458961,2.4094118685393333,1.9497717887076216,1.3213488932805744,1.1392901953209322,1.3793616970367306,1.4899306872107672,0.7005669342451688
2024-04-17,51.274284034715045,15.068046370784627,23.278106167262376,2.4090259519689408,1.9484915875527187,1.320799428879829,1.1391728723513406,1.379931606711932,1.4857811212908143,0.6963608584823752
2024-04-18,51.2518319692385,15.114777472151006,23.26304887263047,2.4029803053493164,1.9426313483955557,1.3157614265665738,1.1384303897344135,1.3938120281039525,1.4827930124203472,0.6939331754098567
2024-04-19,51.20845557143484,15.144033616587361,23.267349878204186,2.4023668705450296,1.9430633601825644,1.3162606397988756,1.1386835594093805,1.4074430070742434,1.4831227631265678,0.6892207336369524
2024-04-22,51.176117599513674,15.15760293697025,23.26346935075122,2.4026379633060477,1.9428370567774058,1.3162909684409954,1.1385509399734046,1.433593265923327,1.4829500277755534,0.6859498905681305
2024-04-23,51.15519487572991,15.183511583861147,23.263691635176535,2.4022554848389466,1.9429361376414516,1.318286310090276,1.1383794546147832,1.4336663763568462,1.48297974546383,0.67909839622627
2024-04-24,50.86702048673839,15.299334402070222,23.427128346078767,2.417838939841641,1.9474894512572407,1.32894458557738,1.146465261645456,1.3922965107937784,1.4934669814761843,0.680015034520943
2024-04-25,50.87618554921923,15.304052419792413,23.431732745524307,2.4148688909091303,1.9478722134642472,1.3239338454429563,1.1466905894763821,1.3900266783286996,1.4937373869819486,0.6708996808606869
2024-04-26,50.8859974355276,15.302073015450041,23.423459293341384,2.398795295823838,1.947737990000262,1.3012072369340595,1.146611573624123,1.439549125737864,1.4904206492471928,0.6641483843136361
2024-04-29,50.88095860552361,15.30146679525997,23.422584676628706,2.3969331197266834,1.9476902556693088,1.3012447085583558,1.1465834729572923,1.4477215707987041,1.490361002302471,0.6644557925749012
2024-04-30,18.767827776745072,5.64434436616182,8.638267893695803,0.8819641507200425,0.718927774281041,0.4769095761115035,0.42292351846455417,0.5352279770242675,0.549403653891812,0.24180480887956843
2024-05-02,50.893348600843666,15.305869719171069,23.427235896449126,2.3898542209000673,1.9460526718856057,1.2825686826109217,1.146980986831418,1.4795624255696753,1.4890274324568589,0.6394993632815916
2024-05-03,50.9083150107316,15.305826286776242,23.427075490029463,2.388591292376428,1.9460412684667392,1.2828618340714284,1.1469742657879367,1.4672110508513352,1.4889955788682214,0.6381079220406062
2024-05-06,50.92557173605392,15.325081567746018,23.443957254537562,2.3881978705486566,1.9471436286619257,1.287296287845421,1.147896833716588,1.4046515756914804,1.4901932513949223,0.6400099938035042
2024-05-07,50.94751165694231,15.334343050705836,23.457745037749188,2.3857228373499604,1.9529575459003343,1.2890892247274108,1.148566260987432,1.3521324874451224,1.4910622981350217,0.6408696000573809
2024-05-08,50.90990004269289,15.325649238419468,23.448241337701422,2.3845296929815496,1.9517913577538875,1.2916294086650786,1.1478804066728905,1.4093956266713927,1.490079339882742,0.6409035485586748
2024-05-09,50.91188223522644,15.328416721509283,23.448844234002706,2.3888967984078904,1.9518608092452299,1.2938743654322746,1.1479212522303879,1.410693465098181,1.4762439654980581,0.641366153349539
2024-05-10,45.37275619328406,20.865574104227242,23.4459728066327,2.388681461762453,1.9517605139963659,1.2982056466967846,1.1477928285402517,1.411593115227301,1.476075524995302,0.6415878046375333
2024-05-13,45.37077585467131,20.865230031045005,23.450615911484363,2.385692605296452,1.951663380193569,1.2995991726743186,1.1477357060185798,1.4115460090704155,1.4755854549853507,0.6415558745606383
2024-05-14,45.37738359907745,20.868392383605215,23.434080624406334,2.3872745677154428,1.9520674436227297,1.3016739184149113,1.1479733279516704,1.414500473560195,1.4749649623015402,0.6416886993445144
2024-05-16,45.38388608444782,20.871443947300193,23.436784313273908,2.3866479011186934,1.955109583572075,1.2966404152005895,1.1481284584706082,1.405530942066026,1.4740529410820775,0.6417754134680066
2024-05-17,45.38693367592765,20.86445329646609,23.437388676670416,2.388443005751511,1.9552333988274213,1.2994084374530366,1.148224322741221,1.4062914298296187,1.4718076998302987,0.6418160565027303
2024-05-20,45.382213792985,20.861810590528528,23.421636080379933,2.3874002071794993,1.9614115571093695,1.2997619852929676,1.1480457626587628,1.423360021134247,1.4711158039372143,0.6432441987944842
