date,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,NANYANG COMMERCIAL BANK LTD
2024-03-08,65.76007770762506,0.0,0.0,0.0,34.23992229237494,0.0,0.0,0.0,0.0,0.0
2024-03-19,27.77151061429597,0.0,57.76843400676853,0.0,14.460055378935493,0.0,0.0,0.0,0.0,0.0
2024-03-20,23.636204940211226,0.0,49.11407872916121,0.0,12.306886619533909,14.942829711093655,0.0,0.0,0.0,0.0
2024-04-02,18.668866097683427,0.0,40.357168471634516,17.27031485333142,11.109517320519258,12.594133256831386,0.0,0.0,0.0,0.0
2024-04-03,16.977563266370986,0.0,36.17923297678059,15.705713540307853,10.103052439342552,11.453169840855727,9.58126793634229,0.0,0.0,0.0
2024-04-09,11.06659356416853,29.593859390156467,23.394205221205347,10.15562397199612,6.532832862384547,7.4564548100037955,6.1954367171355065,5.604993462949686,0.0,0.0
2024-04-19,11.097057087444135,29.58512522135087,23.38730078421452,10.152626697023358,6.53090479804368,7.454254152963993,6.19360823003626,5.599123028923181,0.0,0.0
2024-04-22,10.641652852464318,28.33057049286378,22.42752597743905,9.735980269275867,6.2628876399951485,7.148344317308859,5.9394331459992715,5.369344600331541,4.144260704322161,0.0
2024-04-23,10.469787978837662,27.8730259755758,22.065316838378614,9.57874219340467,7.77676120768527,7.032897092167549,5.843510083933331,5.282628585067027,4.077330044950077,0.0
2024-04-24,10.65630187456982,28.369569618203165,20.67695048382526,9.749382566095793,7.915300214583586,7.158184541884287,5.947609214947973,5.376735900238876,4.14996558565124,0.0
2024-05-07,10.65802794087872,28.374164810690424,20.68029965580077,9.750961733144361,7.900384693257745,7.159343996760478,5.948572585543632,5.377606802996558,4.150637780927314,0.0
2024-05-08,10.659322857605702,28.37761218208327,20.682812246881582,9.752146444192451,7.901344565041309,7.160213834440304,5.949295318321724,5.378260165235703,4.138992386197959,0.0
2024-05-09,10.659589984604164,28.389109472490077,20.691191961753503,9.75609756097561,7.985576533506198,7.163114820516976,5.951705696458958,5.2669961915566,4.136617778137914,0.0
2024-05-13,10.636749545178896,28.328279765514452,20.646856680816654,9.735193046290682,8.182737012330705,7.1477663230240545,5.938952900747927,5.2557105316353345,4.127754194461289,0.0
2024-05-14,10.657431036577956,28.383359662980517,20.687001255721636,9.754121602462835,8.004212743549237,7.161664033701948,5.950500263296472,5.26592943654555,4.135779965163851,0.0
2024-05-16,10.658294510836539,28.38565930727162,20.68867733441361,9.754911889811627,8.004861251772331,7.16224427790156,5.950982377962325,5.266356086692324,4.12801296333806,0.0
