date,SILVERBRICKS SECURITIES CO LTD,LEEDS SECURITIES INVESTMENT LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,BRIGHT SMART SECURITIES INTERNATIONAL,KGI ASIA LTD,YUE XIU SECURITIES CO LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,26.071623839328616,37.26521286442591,26.105693907686224,0.0,0.0,0.0,0.0014635219538013746,10.556005866605444
2024-03-04,0.0,0.0,23.089526073450727,33.13171204241313,23.34436753866578,0.0,10.988227645556954,0.0,0.09730792294518263,9.348858776968225
2024-03-05,0.0,0.0,16.03259904838514,23.387075587983148,16.0161728030986,30.326331012689383,7.67777678301575,0.0,0.027740085599486257,6.532304679228498
2024-03-06,0.0,0.0,16.08294966188276,23.39771274876432,15.842149348900858,30.421571301990742,7.701888954108906,0.0,0.000908506047361708,6.552819478305051
2024-03-08,0.0,0.0,16.077179305488272,23.36689374936108,15.827495708703331,30.41065643175963,7.699125614975828,0.0,0.0009081800870254486,6.617741009624835
2024-03-11,0.0,0.0,16.136532942936622,23.373225197352955,15.727808586848276,30.5655586829769,7.738342522142578,0.0,0.0009128060687206026,6.4576192616739485
2024-03-12,0.0,0.0,16.22128816708964,23.232214136307572,15.550809040378388,30.724834678203045,7.7786667386700366,0.0,0.0009175626673665457,6.491269676683949
2024-03-13,0.0,0.0,20.04612127846377,22.826480654601788,18.406262517046663,20.89023427935955,8.731915678546361,1.647758210635526,0.0010094266843753506,7.450217954661967
2024-03-14,0.0,0.0,20.011153805930327,22.453614410588255,19.05654385618181,20.75480979066763,8.74906369397784,1.5807128018242373,0.0010016877919901363,7.3930999530379085
2024-03-15,0.0,0.0,17.79116348354429,30.303387992085472,17.108778608425055,18.618000278824002,7.684123482736337,1.4224079912958063,0.0008985591185206932,7.071239603970518
2024-03-18,63.08461736859827,0.0,6.821523879370038,9.894228086202531,6.709170638292443,6.70605345362066,3.5383679369838985,0.6307881595077883,0.0003356534595533553,2.6149148239648112
2024-03-19,62.85229442615403,0.0,6.796402121234468,9.887516406721232,6.90740754031804,6.648328067369416,3.647543952008862,0.6614940170227313,0.013545966657834635,2.58546750251339
2024-03-20,62.542335708807116,0.0,6.849980253620207,10.25779707899504,6.8306175842597465,6.45121160948766,3.6428666624911523,0.7732627966961227,0.0003327681489538202,2.6515955374939995
2024-03-21,62.68552111775379,0.0,6.822839102242143,10.282928502972217,6.7408437592036785,6.465981115007997,3.680853809376504,0.7091506488571555,0.00033352999359797,2.6115484145929284
2024-03-22,62.832475446095806,0.0,6.847088570518969,10.165055509526173,6.650987323391654,6.481139382736892,3.6746245674982294,0.7108131182031524,0.020145386942142043,2.6176706950869875
2024-03-25,62.70308441512012,0.0,7.0273960829042625,10.101286989745434,6.6784790124066005,6.467792760617111,3.6818851149932295,0.7258143565353758,0.026693994199426776,2.5875672734784474
