date,ZHONGTAI INTERNATIONAL SECURITIES LTD,HANG SENG BANK LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHIEF SECURITIES LTD,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,3.730183575189762,2.176860144157298,0.0,0.0,1.8028462610396498,1.0102833175309753,0.0,8.720173297917686
2024-03-04,0.0,0.0,3.7410500877356103,2.176860144157298,0.0,0.0,1.7875413137919764,1.0105894164759286,0.0,8.716040962160813
2024-03-05,0.0,0.0,3.7398256919557964,2.176860144157298,1.9117713410271304,0.0,1.7875413137919764,1.0105894164759286,0.0,10.62658790740813
2024-03-06,0.0,0.0,3.739978741428273,2.176860144157298,1.910240846302363,0.0,1.7875413137919764,1.0105894164759286,0.0,10.62521046215584
2024-03-07,0.0,0.0,3.7402848403732265,2.176860144157298,1.9100877968298864,0.0,1.5328669915906967,1.0105894164759286,0.0,10.370689189427036
2024-03-11,0.0,0.0,3.74059093931818,2.176860144157298,1.9099347473574095,0.0,1.5328669915906967,1.0105894164759286,0.0,10.370842238899513
2024-03-12,0.0,0.0,3.7401317909007497,2.176860144157298,1.909781697884933,0.0,1.5328669915906967,1.0105894164759286,0.0,10.370230041009606
2024-03-13,0.0,0.0,3.735693356198924,2.176860144157298,1.909781697884933,0.0,1.5328669915906967,1.0119668617282194,0.0,10.36716905156007
2024-03-14,0.0,0.0,3.735540306726448,2.176860144157298,1.909781697884933,0.0,1.7875413137919764,1.012119911200696,0.0,10.621843373761351
2024-03-15,0.0,0.0,3.5635126996626028,2.176860144157298,1.909781697884933,0.0,1.7875413137919764,1.0122729606731729,0.0,10.449968816169983
2024-03-19,0.0,0.0,3.548513851359883,2.176860144157298,1.909781697884933,0.0,1.4993491571182926,1.0122729606731729,0.0,10.146777811193578
2024-03-22,0.0,0.0,3.5465242082176855,2.176860144157298,1.909781697884933,0.0,1.4993491571182926,1.014415653287847,0.0,10.146930860666057
2024-03-25,0.0,0.0,3.5463711587452087,2.176860144157298,1.909781697884933,0.0,1.4993491571182926,1.014415653287847,0.0,10.146777811193578
2024-03-26,0.0,0.0,3.5390247840663256,2.176860144157298,1.9151384294216183,1.7466771046406895,1.4993491571182926,1.014874801705277,0.0,11.8919244211095
2024-03-27,0.0,0.0,3.5224954410388385,2.176860144157298,1.9151384294216183,1.7466771046406895,1.7540234793195726,1.017323593264905,0.0,12.132518191842923
2024-03-28,0.0,0.0,3.5232606884012223,2.176860144157298,1.9151384294216183,1.7466771046406895,1.7540234793195726,1.017170543792428,0.0,12.13313038973283
2024-04-02,0.0,0.0,3.5231076389287455,2.176860144157298,1.9151384294216183,1.7466771046406895,1.7540234793195726,1.017170543792428,0.0,12.132977340260352
2024-04-03,0.0,0.0,3.5223423915663616,2.1765540452123444,1.9151384294216183,1.7466771046406895,1.4993491571182926,1.019007137462149,0.0,11.879068265421457
2024-04-24,0.0,0.0,3.5223423915663616,2.1765540452123444,1.9149853799491416,1.7466771046406895,1.4993491571182926,1.019007137462149,0.0,11.878915215948979
2024-05-20,0.0,0.0,3.5224954410388385,2.1765540452123444,1.9149853799491416,1.7466771046406895,1.4993491571182926,1.019007137462149,0.0,11.879068265421457
2024-06-07,0.0,5.743542651444366,3.5224954410388385,2.1765540452123444,1.9149853799491416,1.7466771046406895,1.4993491571182926,1.019007137462149,0.0,17.62261091686582
2024-07-03,0.0,5.743542651444366,2.7572480786551847,2.1765540452123444,1.9149853799491416,1.7466771046406895,1.4993491571182926,1.019007137462149,0.0,16.85736355448217
