date,BOCI SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,TAI FUNG KUENTAI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,KGI ASIA LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,61.45131659522352,0.0,0.0,0.0,0.0,38.54868340477648,0.0,0.0
2024-03-06,66.23403378656778,0.0,20.797280593325095,0.0,0.0,0.0,0.0,12.968685620107129,0.0,0.0
2024-03-08,66.165877752624,0.0,20.878781642313232,0.0,0.0,0.0,0.0,12.955340605062771,0.0,0.0
2024-03-12,66.08427543679343,0.0,20.976361767728672,0.0,0.0,0.0,0.0,12.939362795477905,0.0,0.0
2024-03-15,66.11527792047673,0.0,20.949347580396587,0.0,0.0,0.0,0.0,12.93537449912668,0.0,0.0
2024-03-18,66.10848572015615,0.0,20.957468666529692,0.0,0.0,0.0,0.0,12.934045613314158,0.0,0.0
2024-03-19,45.72585802600725,30.22099054927876,15.106942371917857,0.0,0.0,0.0,0.0,8.946209052796135,0.0,0.0
2024-03-20,45.7226090663635,30.21884325706977,15.112974278811993,0.0,0.0,0.0,0.0,8.945573397754725,0.0,0.0
2024-04-02,39.55618391935087,26.14334890582739,13.068600934349645,13.492746496188838,0.0,0.0,0.0,7.739119744283256,0.0,0.0
2024-04-15,39.553752535496955,26.141741963242975,13.073944311266828,13.491917143032762,0.0,0.0,0.0,7.738644046960477,0.0,0.0
2024-04-16,39.553752535496955,26.141741963242975,13.086237629848178,13.479623824451412,0.0,0.0,0.0,7.738644046960477,0.0,0.0
2024-04-17,39.568345323741006,26.077599458894422,13.12795917112464,13.484596937834347,0.0,0.0,0.0,7.741499108405583,0.0,0.0
2024-04-23,39.568345323741006,26.077599458894422,13.14025702514911,13.472299083809874,0.0,0.0,0.0,7.741499108405583,0.0,0.0
