date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-03-01,0.0,0.0,46.57709882693794,0.0,0.0,20.01485895177301,19.045796879620127,14.362245341668926,0.0
2024-03-04,0.0,0.0,36.12174995807641,0.0,22.474898853317555,15.487633986827321,14.774451090109695,11.14126611166902,0.0
2024-03-05,0.0,0.0,36.12871384477763,0.0,22.479231773218096,15.490619836861699,14.873694093514375,11.027740451628203,0.0
2024-03-06,0.0,0.0,33.55109918342282,0.0,20.911250718376657,14.385436602924354,13.81252562433869,10.178300638616706,7.161387232320774
2024-03-07,0.0,0.0,33.735741461870205,0.0,20.812054714149514,14.36362693206881,13.979046634385773,9.954547975050577,7.154982282475123
2024-03-11,0.0,0.0,34.984168087241535,0.0,21.582226707054893,14.895168066837197,14.496355970402577,10.332201201630122,3.7098799668336726
2024-03-12,0.0,0.0,26.63649934821079,23.847152253156906,16.36181574491103,11.340990973814034,11.037340530555003,7.951545863221717,2.8246552861305187
2024-03-13,0.0,0.0,26.58580971833984,23.8017707897226,16.34477538091996,11.319408909770354,11.15730031392682,7.9716549596067665,2.8192799277136626
2024-03-14,0.0,0.0,26.583936029408655,23.80009331158882,16.343623449681512,11.318611151439633,11.156513980528606,7.978140844117494,2.819081233235276
2024-03-18,0.0,0.0,25.876345096597248,23.063698890445373,15.908601346502921,11.01734099287783,10.996760654784037,7.786365114406099,5.350887904386494
2024-03-19,0.0,0.0,25.874570071930208,23.06211680324214,15.90751007338445,11.016585242714717,10.996006316358462,7.7926906397439435,5.350520852626077
2024-03-20,0.0,0.0,25.871020753057948,23.05895327989948,15.905327976230485,11.015074053396361,10.994497949934225,7.805339087326354,5.349786900155143
2024-03-21,0.0,0.0,25.869246458752542,23.057371843670747,15.90423715213339,11.014318614198459,10.993743921892982,7.811662009927975,5.349419999423908
2024-03-22,0.0,0.0,25.878361407684043,23.071612583567685,15.914059958742852,11.021121299586467,11.000533899898572,7.761586931667676,5.352723918852705
