date,CEPA ALLIANCE SECURITIES LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SBI CHINA CAPITAL FINANCIAL SERVICES LTD
2024-03-01,0.0,97.41772056579254,0.0,0.0,0.0,2.5822794342074684,0.0,0.0,0.0
2024-03-04,0.0,65.37189458275384,0.0,0.0,32.89527387514272,1.7328315421034362,0.0,0.0,0.0
2024-03-05,0.0,65.33921829486567,0.0,0.0,32.886978361093234,1.7738033440410934,0.0,0.0,0.0
2024-03-06,0.0,65.31866206919847,0.0,0.0,32.866696880051315,1.814641050750207,0.0,0.0,0.0
2024-03-07,0.0,54.62026765441487,16.33977074999477,0.0,27.553383618178877,1.4865779774114858,0.0,0.0,0.0
2024-03-08,0.0,54.62027713202049,16.33977358524091,0.0,27.55337104737891,1.4865782353596873,0.0,0.0,0.0
2024-03-11,0.0,51.04046903015057,15.48018961111724,0.0,25.829581170423676,1.426107649454383,6.223652538854133,0.0,0.0
2024-03-12,0.0,51.04164799393632,15.480547181948678,0.0,25.827867936994675,1.4261405905559292,6.2237962965643945,0.0,0.0
2024-03-14,0.0,51.04166459944902,15.48055221827554,0.0,25.827843806381157,1.4261410545259736,6.223798321368305,0.0,0.0
2024-03-18,0.0,51.21940739747397,15.465457964734725,0.0,25.802660465546207,1.2947443417500513,6.217729830495045,0.0,0.0
2024-03-19,0.0,51.21940739747397,15.432956424893021,0.0,25.802660465546207,1.3272458815917552,6.217729830495045,0.0,0.0
2024-03-21,0.0,51.22365275883097,15.4342355977722,0.0,25.796510559991713,1.3273558914232475,6.218245191981868,0.0,0.0
2024-03-22,0.0,50.88665753275523,15.765645129265963,0.0,25.799047618366306,1.3278921807375057,6.220757538874999,0.0,0.0
2024-03-27,0.0,50.902664073879166,15.76053303127127,0.0,25.79060086683343,1.3274616043228613,6.218740423693274,0.0,0.0
2024-03-28,0.0,50.903491429258175,15.75916383031904,0.0,25.791020058888364,1.327483180452888,6.218841501081536,0.0,0.0
2024-04-03,0.0,51.094818749791585,15.442533811212433,0.0,25.887958925420694,1.3324726967480949,6.242215816827194,0.0,0.0
2024-04-05,0.0,51.11203816296032,15.435432861124045,0.0,25.880123519057506,1.3320710814558903,6.240334375402242,0.0,0.0
