date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA RISE SECURITIES ASSET MANAGEMENT,CITIC SECURITIES BROKERAGE (HK) LTD,CONSTANCE CAPITAL LTD,FIRST SECURITIES (HK) LTD,GET NICE SECURITIES LTD,KINGSTON SECURITIES LTD
2024-03-08,0.0,2.9853302829639845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.29497488954258194,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.2951035316852982,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,6.03581523837088,0.0,0.0,0.2966472373978928,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,2.9851501839641816,0.0,0.30127835453567675,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,2.9832205518234383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,2.9827059832525737,0.0,0.3028220602482714,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,0.0,0.30436576596086606,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,2.984249688965168,0.0,0.3028220602482714,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,6.033676176821795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,2.9838637625370192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,6.0305887653966055,0.0,0.0,0.30436576596086606,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,6.056831762510715,0.0,0.0,0.28584129740973024,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,2.9833491939661547,0.0,0.27349165170897305,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,2.983194823394895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,6.0460258225225525,0.0,0.0,0.2842975916971356,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,6.0455112539516875,2.9815353397538558,0.0,0.28584129740973024,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,6.040365568243038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,3.0571769196709937,0.0,0.2719479459963784,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,6.024877054260005,0.0,0.0,0.27349165170897305,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.732005638704145,0.0
