date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANTEC SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-07-09,89.80428094267535,0.00022016236357859302,0.005393977907675529,0.49690645459688443,0.2503246073888603,0.01772307026807674,0.009356900452090203,0.0,0.13451920414652035,0.00011008118178929651,90.71883540098084
2024-07-11,89.80428094267535,7.953255303094885,0.0158516901776587,0.5359852741320847,0.24823306493486366,0.015961771359447995,0.07870804497934701,0.0,0.08388186052344394,0.003412516635468192,98.73957046851255
2024-07-12,89.80428094267535,7.951494004186255,0.032143705082474584,0.4883201224173193,0.24823306493486366,0.02344729172112016,0.08509275352312622,0.0,0.11261304897045034,0.003412516635468192,98.74903745014643
2024-07-15,89.80428094267535,7.951494004186255,0.03896873835341097,0.4762111924204967,0.24823306493486366,0.02487834708438101,0.08046934388797575,0.0,0.11855743278707234,0.003412516635468192,98.74650558296528
2024-07-16,89.80428094267535,7.955787170276038,0.0284009449016385,0.4769817606930218,0.25021452620707096,0.024217859993645233,0.08146007452407941,0.0012108929996822618,0.05537083444001615,0.003412516635468192,98.68133752334602
2024-07-17,89.80428094267535,7.955897251457827,0.014310553632608546,0.49987864650519553,0.24823306493486366,0.016952501995551664,0.07859796379755771,0.0007705682725250755,0.04513328453361157,0.003412516635468192,98.66746729444057
2024-07-18,89.80428094267535,7.955677089094248,0.014310553632608546,0.5053827055946603,0.24823306493486366,0.019154125631337594,0.07760723316145404,0.00011008118178929651,0.04502320335182228,0.003412516635468192,98.6731915158936
2024-07-19,89.80428094267535,7.955677089094248,0.012989579451136988,0.5209041522269511,0.24823306493486366,0.019044044449548297,0.07507536598030022,0.00011008118178929651,0.0379780077173073,0.003412516635468192,98.67770484434698
2024-07-22,89.80428094267535,7.955567007912459,0.01199884881503332,0.5268485360435732,0.24823306493486366,0.013429904178294174,0.07408463534419656,0.00011008118178929651,0.0346755722636284,0.0035225978172574884,98.67275119116645
2024-07-23,89.80428094267535,7.955567007912459,0.014090391269029954,0.5249771559531551,0.24823306493486366,0.014640797177976436,0.07397455416240727,0.00033024354536788955,0.03566630289973207,0.003412516635468192,98.67517297716581
