date,HAITONG INTERNATIONAL SECURITIES CO LTD,FULBRIGHT SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ABCI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-07,0.0,0.0,0.0,71.09660072978683,0.0,0.0,28.903399270213175
2024-03-08,0.0,0.0,0.0,71.09845090257329,0.0,0.0,28.901549097426702
2024-03-11,0.0,64.47850110279907,0.0,25.255235453284524,0.0,0.0,10.266263443916415
2024-03-13,0.0,64.51517495563543,0.0,25.212722391591207,0.0,0.0,10.272102652773354
2024-03-15,0.0,64.55776892430279,0.0,25.163346613545816,0.0,0.0,10.278884462151394
2024-04-03,0.0,52.402335809587164,0.0,20.423550282736443,0.0,18.830616845917877,8.343497061758509
2024-04-09,0.0,36.17287257790874,30.97087750181776,14.098197543147986,0.0,12.998609569731991,5.759442807393517
2024-05-21,34.22623539078089,23.774670087361873,20.355651692741084,9.272766906450695,0.0,8.551738014990693,3.818937907674766
2024-05-22,34.2515923566879,23.765504525645323,20.347804223935636,9.269192088501509,0.0,8.548441166610795,3.8174656386188404
2024-05-23,31.331406536288437,21.73933042524973,18.613012779724166,8.478929171042846,8.525693608604657,7.819627264433729,3.492000214656435
2024-05-24,31.333808680451735,21.74099715558418,18.614439818754743,8.479579241131326,8.526347264070658,7.812559897570363,3.4922679424369973
2024-05-27,31.334289153485805,21.741330532320266,18.614725252819543,8.479709267110842,8.526478007191653,7.811146294152374,3.4923214929195194
2024-05-29,31.381688064377418,21.774218318078507,18.642883469500585,8.415750353215799,8.539375883039499,7.748479636341299,3.4976042754468946
2024-06-06,31.382410983728665,21.77471991645486,18.643312933371213,8.413640586966038,8.539572599037081,7.748658132981133,3.497684847461011
2024-06-11,31.3819290337938,21.774385514969556,18.643026621925653,8.415047108599335,8.539441454031682,7.7485391343075,3.4976311323724767
2024-06-21,31.384338931508744,21.776057625114227,18.644458267099775,8.415693321353698,8.540097219342503,7.749134164228503,3.4902204713525466
2024-06-27,31.3819290337938,21.774385514969556,18.643026621925653,8.422725771897628,8.539441454031682,7.7485391343075,3.489952469074183
2024-06-28,31.388436607170288,21.778900801818686,18.646892568584683,8.426776443120026,8.541212251543731,7.750145924856379,3.4676354029062084
2024-07-02,31.370125882714156,21.770801350936445,18.636014737488487,8.475591034694505,8.536229659195579,7.745624808105618,3.465612526865213
2024-07-15,31.371570689469884,21.767198366519796,18.636873052182324,8.47598139306385,8.536622810384268,7.7459815465864255,3.465772141793451
2024-07-23,31.366755184429064,21.763857123121554,18.634012310620594,8.490030239304955,8.535312447234714,7.744792546088078,3.465240149201038
2024-08-27,31.366755184429064,21.763857123121554,18.634012310620594,8.492332724453927,8.535312447234714,7.742490060939107,3.465240149201038
2024-09-02,31.366995924570006,21.764024160929594,18.634155326840276,8.492397903187431,8.535377955837996,7.74178198368293,3.4652667449517622
2024-09-30,31.36723666840635,21.764191201301692,18.634298345255274,8.492463082921438,8.535443465446843,7.741073895557671,3.465293341110736
2024-10-02,31.37421984753921,21.769036487720996,18.638446834481012,8.489747664340603,8.537343681628705,7.725140676938194,3.4660648073512816
2024-10-04,31.375665031437848,21.770039230137346,18.639305373223706,8.485532447392464,8.537736935443009,7.725496518421275,3.4662244639443562
2024-10-08,31.37759215041958,21.77137636373408,18.64045021458898,8.48605363572849,8.538261330221346,7.719828943024515,3.466437362283012
2024-10-09,31.377065290829805,21.771543516982987,18.640593329648055,8.486118788772188,8.538326884098028,7.7198882132547135,3.4664639764142255
2024-11-18,31.296090668912967,21.71535781291879,18.5924876517211,8.722288164796876,8.51629207029904,7.6999655396867945,3.4575180916644332
2024-11-21,31.27188043419974,21.723009981691295,18.59903936754533,8.725361769279678,8.519293084825225,7.702678892897907,3.4587364695608214
2024-11-22,31.270203606391618,21.721845173348857,18.598042069462107,8.73025600171587,8.518836272271843,7.702265867969911,3.4585510088397964
2024-12-06,31.324912905354594,21.75984898479105,18.63058057981246,8.570573520158382,8.533740542365598,7.715741493884192,3.464601973633727
2024-12-13,31.325153280078577,21.76001596107952,18.630723543359654,8.57063928727641,8.533806026842239,7.715033341774288,3.464628559589309
2024-12-27,31.354846627649213,21.751336590753937,18.623292347107057,8.56722073499068,8.530402166159133,7.709654902622557,3.4632466307174252
2025-01-08,31.379495437466453,21.744498121309714,18.61743731308949,8.564527260179435,8.5277202668507,7.704163791120313,3.462157809983897
2025-01-10,31.379736061161424,21.74466486208774,18.617580074994823,8.563826116295655,8.527785658965255,7.704222868053585,3.462184358441519
