date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,CHINA SECURITIES (INTERNATIONAL),FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,NANYANG COMMERCIAL BANK LTD
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,91.05751834016907,0.0,0.0,7.0789614692398946,0.0,0.0,0.0,1.863520190591033,0.0
2024-03-11,91.05208802578744,0.0,0.0,7.08451836217386,0.0,0.0,0.0,1.8633936120386982,0.0
2024-03-15,90.07243426560004,0.0,0.0,7.0210444586220335,0.0,0.0,1.0631611345254972,1.8433601412524245,0.0
2024-03-18,88.57109741880747,0.0,0.0,6.938464837410365,1.5575029193768835,0.0,1.1203150292972401,1.812619795108051,0.0
2024-03-19,88.5625610680781,0.0,0.0,6.933449104878103,1.5705792793367714,0.0,1.1202163402905225,1.813194207416508,0.0
2024-03-20,88.55671032059782,0.0,0.0,6.83169378200086,1.6578260705214058,0.0,1.1421634817656967,1.8116063451142281,0.0
2024-03-21,88.4665314165633,0.0,0.0,6.8232138058724425,1.7536510091303334,0.0,1.1483237850613912,1.8082799833725356,0.0
2024-03-22,88.45031660137339,0.0,0.0,6.814631692995373,1.7789898459047844,0.0,1.1481133115901836,1.807948548136266,0.0
2024-03-25,88.43799731658781,0.0,0.0,6.812949508745179,1.7934030327194526,0.0,1.1479534033457017,1.807696738601852,0.0
2024-03-26,88.42762584337845,0.0,0.0,6.81068460288456,1.8063860325541974,0.0,1.1478187783165326,1.8074847428662637,0.0
2024-03-28,88.42827398918573,0.0,0.0,6.810734522992987,1.8063992727777378,0.0,1.1478271914557703,1.8067650235877863,0.0
2024-04-02,88.43281127588939,0.0,0.0,6.80888496875121,1.8064919597774058,0.0,1.1478860868838834,1.8039257086981082,0.0
2024-04-05,88.42762584337845,0.0,0.0,6.800423132324897,1.8203123140280248,0.0,1.1478187783165326,1.8038199319520987,0.0
2024-04-09,88.43929392180425,0.0,0.0,6.787392333193121,1.8227516820258156,0.0,1.1479702336948294,1.8025918292819834,0.0
2024-04-11,88.44132363468606,0.0,0.0,6.785292636883029,1.822778406104396,0.0,1.1479870645374701,1.8026182577890415,0.0
2024-04-12,88.42771066388296,0.0,0.0,6.777651627033763,1.8444865466726608,0.0,1.1478103653006242,1.802340797109984,0.0
2024-04-15,76.14259839346383,13.851890443722217,0.0,5.8492491631318355,1.6159914039111163,0.0,0.9883388206154999,1.5519317751555008,0.0
2024-04-16,76.14148672380068,13.851803021789511,0.0,5.850474485692945,1.6159812050799645,0.0,0.9883325830199732,1.5519219806169313,0.0
2024-04-17,76.14485067692118,13.85241499849242,0.0,5.86020016680345,1.616052599601551,0.0,0.9883762478421327,1.5381053103392577,0.0
