date,CHINA INTERNATIONAL CAPITAL CORPORATION,ADVENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,BRADBURY SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,KOALA SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,23.60011898362054,76.39988101637945,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,23.598207916971127,76.40179208302888,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,23.594385496837422,76.40561450316258,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,23.589382446477618,76.41061755352239,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,13.11863141542789,42.471290427840074,0.0,0.0,0.0,44.410078156732034,0.0
2024-03-18,0.0,0.0,12.11149846774445,39.24975171749401,0.0,7.594584185079015,0.0,41.044165629682524,0.0
2024-03-19,0.0,0.0,12.01364861663145,39.301220517726485,0.0,7.584452115084166,0.0,41.1006787505579,0.0
2024-03-20,0.0,0.0,22.27911697922825,39.31589221021559,0.0,7.587283496595094,0.0,30.81770731396107,0.0
2024-03-21,0.0,0.0,31.955933057599246,56.27548339636568,0.0,10.860189669693247,0.0,0.908393876341834,0.0
2024-03-22,0.0,0.0,29.55919409104899,52.00376941022529,0.0,10.035823155106149,0.0,8.401213343619569,0.0
2024-03-25,0.0,0.0,29.460366073655305,51.925212054446604,0.0,10.22535012217712,0.0,8.389071749720971,0.0
2024-03-26,0.0,0.0,22.35798132642072,39.24355436541449,0.0,7.66041652412886,0.0,30.73804778403593,0.0
2024-03-27,0.0,0.0,22.531494726435188,39.15650146459845,0.0,7.6421413936691165,0.0,30.66986241529725,0.0
2024-03-28,0.0,0.0,22.47682296568007,39.18413533816449,0.0,7.647534673485941,0.0,30.6915070226695,0.0
2024-04-02,0.0,0.0,20.584813533016767,35.78363117001282,0.0,7.1197886393015235,0.0,28.028015876144362,8.483750781524527
2024-04-03,0.0,0.0,22.738673184117182,35.80041137819009,0.0,7.123127359594555,0.0,25.850058966270563,8.487729111827614
2024-04-05,0.0,0.0,22.79606453240211,35.772732467495224,0.0,7.1199630127410085,0.0,25.830073121246993,8.48116686611466
2024-04-08,0.0,0.0,22.80282600415254,35.772313419208906,0.0,7.114022517374825,0.0,25.82977054307836,8.481067516185368
2024-04-09,0.0,0.0,22.920134955327327,35.73656141947893,0.0,7.106447112048954,0.0,25.764820107540565,8.47203640560422
2024-04-10,0.0,0.0,19.194746844346355,37.435348429948405,0.0,7.424649188083905,14.79536333171087,12.280028985673528,8.869863220236939
2024-04-11,0.0,0.0,19.194052706104106,37.42204560469672,0.0,7.451419465386815,14.790105730507952,12.275665220234355,8.866711273070054
2024-04-12,0.0,0.0,19.181648681026648,37.42892519576165,0.0,7.450338146569611,14.792824712797369,12.277921953007793,8.868341310836932
2024-04-15,0.0,0.0,18.18870617732442,35.7219311535364,0.0,7.110555939032487,14.118179007093618,16.3967384690504,8.46388925396267
2024-04-16,0.0,0.0,19.08148434363596,37.47531371310077,0.0,7.459571918004052,14.811158586989457,12.293138916691,8.879332521578766
2024-04-17,0.0,0.0,19.07651926282979,37.47761316161775,0.0,7.460029630025236,14.81206738516279,12.293893211645472,8.879877348718969
2024-04-18,0.0,0.0,19.08644881521191,37.473014546732976,0.0,7.459114262145497,14.810249900328367,12.29238471429077,8.878787761290479
2024-04-19,0.0,0.0,19.0794983844274,37.476233458646746,0.0,7.45975499607243,14.811522092876169,12.293440623565326,8.879550444411928
2024-04-22,0.0,0.0,19.077512327734823,37.47715324933992,0.0,7.4599380831274935,14.811885616606158,12.29374234524942,8.879768377942183
2024-04-23,0.0,0.0,19.02584061331039,37.501083664924565,0.0,7.464701503053687,14.821343500881397,12.301592310839258,8.885438406990703
2024-04-25,0.0,0.0,19.024846279782366,37.50154416473225,0.0,7.464793166900987,14.82152550164417,12.301743369964482,8.885547516975743
2024-04-26,0.0,0.0,18.996995023020695,37.51444275260156,0.0,7.467360668926144,14.826623338367916,12.305974532209591,8.888603684874088
2024-04-29,0.0,0.0,19.00196986678182,37.51213878262498,0.0,7.466902056895067,14.8257127532034,12.305218754067244,8.888057786427488
2024-04-30,0.0,0.0,3.6698224852071006,7.228310532544378,0.0,1.4388165680473373,2.856804733727811,2.3711242603550295,1.7126627218934911
2024-05-02,0.0,0.0,18.9950049144032,37.51536441983877,0.0,7.467544129512841,14.826987603753903,12.306276869462023,8.888822063029266
2024-05-03,0.0,0.0,19.04572215696867,37.491876043162705,0.0,7.4628686987374335,14.817704424043562,12.298571907213622,8.883256769874004
2024-05-07,0.0,0.0,19.041746629316197,37.493717205778495,0.0,7.463235187595949,14.818432096444004,12.299175869277217,8.883693011588138
2024-05-08,0.0,0.0,19.058639925767658,37.48589351327708,0.0,7.461677858487898,14.81533998222552,12.296609440094056,8.881839280147794
2024-05-09,61.94604078146065,0.0,7.252567064959882,14.26486663024754,0.0,2.8394638492877644,5.637823434924053,4.679346741596451,3.3798914975236496
2024-05-10,61.94517275508128,0.0,7.255267961647315,14.264666742080722,0.0,2.838022798877814,5.637744434242135,4.6792811716849805,3.3798441363857576
2024-05-13,61.94575143663121,0.0,7.25533573915963,14.26480000023616,0.0,2.8371151277702693,5.63779710111741,4.679324884755113,3.3798757103302055
2024-05-14,61.92261260476134,0.0,7.289979005943711,14.259471615299212,0.0,2.836055369378217,5.635691193347888,4.677576998753865,3.3786132125157686
2024-05-16,61.923190864879686,0.0,7.251759510971858,14.259604776407844,0.0,2.8360818536889485,5.635743821867897,4.677620679989444,3.4159984921943276
2024-05-20,61.92347999898891,0.0,7.2513264473728825,14.259671357894801,0.0,2.836095096029806,5.635770136496503,4.677642520913171,3.4160144423039287
2024-05-22,61.89804652900719,0.0,7.252082008428949,14.253814566199049,0.0,2.834930243222901,5.633455389479818,4.713059861057763,3.414611402604337
2024-05-23,61.88938080243304,0.0,7.250133383600925,14.251819032145946,0.0,2.8345333529860977,5.6326667057198225,3.9657333608290846,4.175733362285085
2024-05-27,61.88995844204918,0.0,7.286601392133429,14.251952050366004,0.0,2.8345598088778305,5.63271927776678,3.928436692646292,4.175772336160493
2024-05-28,61.89024726590077,0.0,7.286168723546233,14.252018560407173,0.0,2.834573037008891,5.6327455641582675,3.9284550256076467,4.175791823371018
2024-05-29,61.89053609244811,0.0,7.286669401683072,14.252085071069118,0.0,2.833652914501064,5.6327718507951,3.9284733587401117,4.175811310763426
2024-05-31,31.389372970414204,0.0,3.6930177514792897,7.228310532544378,0.0,1.4371597633136095,2.856804733727811,1.9924260355029584,2.117869822485207
2024-06-03,61.89284680187798,0.0,7.2813411389210785,14.254483949932284,0.0,2.8337587101351613,5.632982152722562,3.92862002996011,4.175967216450827
2024-06-04,31.342363134867302,0.0,3.68937761279709,7.218430486628695,0.0,1.435007422003967,2.8525262818820627,1.989442107778227,2.114698025706768
2024-06-05,61.89746873840427,0.0,7.285151977035387,14.255548423832517,0.0,2.823235589024733,5.6334028036912756,3.9289134052587533,4.176279062753068
2024-06-17,61.89631318955834,0.0,7.286882848068038,14.255282290453156,0.0,2.8231828827235996,5.633297635059323,3.9288400573263784,4.1762010968111705
2024-06-18,61.899202142574424,0.0,7.282555549306208,14.255947642533853,0.0,2.8233146521664585,5.633560564002175,3.929023432292486,4.176396017124396
2024-06-19,61.89949105270841,0.0,7.28212279721293,14.256014181157955,0.0,2.8233278297872717,5.633586858246383,3.9290417707305756,4.176415510156473
2024-06-24,61.899779965539345,0.0,7.281690041079952,14.256080720403189,0.0,2.8233410075310963,5.633613152736045,3.9290601093398525,4.176435003370516
2024-06-25,61.89949105270841,0.0,7.2802558255946215,14.256014181157955,0.0,2.82519480140558,5.633586858246383,3.9290417707305756,4.176415510156473
2024-06-27,61.904691896334896,0.0,7.272465440207972,14.257211982613702,0.0,2.825432176481313,5.634060196618114,3.9293718918915728,4.176766415852435
2024-06-28,61.902380302386675,0.0,7.2759279953254525,14.256679601562642,0.0,2.825326671523285,5.633849814189005,3.9292251645271787,4.176610450485767
2024-07-04,61.90006888106727,0.0,7.2793902918608335,14.256147260269561,0.0,2.8252211744443207,5.633639447471164,3.929078448120319,4.176454496766526
2024-07-05,61.89486881417261,0.0,7.287179513774666,14.254949637702193,0.0,2.824983834819909,5.6331661797912265,3.9287483762620172,4.176103643477374
2024-07-08,61.89226910834479,0.0,7.291073633987696,14.254350901872254,0.0,2.8248651799607964,5.6329295757685145,3.9285833611283643,4.175928238937586
2024-07-10,61.89949105270841,0.0,7.2802558255946215,14.256014181157955,0.0,2.82519480140558,5.633586858246383,3.9290417707305756,4.176415510156473
2024-07-12,61.90006888106727,0.0,7.2793902918608335,14.256147260269561,0.0,2.8252211744443207,5.633639447471164,3.929078448120319,4.176454496766526
2024-07-15,61.90035779929223,0.0,7.2789575189341305,14.256213800757084,0.0,2.8252343611483353,5.633665742451744,3.9290967870719786,4.176473990344507
2024-07-16,61.888514363225944,0.0,7.2971645569565435,14.253486150018071,0.0,2.8242271470679157,5.632587849489383,3.9283450304060996,4.17567490283604
2024-07-17,61.885337627013385,0.0,7.301922991657878,14.2527545188572,0.0,2.8240821795445727,5.632298728866985,3.9281433885337433,4.175460565526246
2024-07-18,61.899779965539345,0.0,7.279356315664569,14.257014210569341,0.0,2.8247412427803265,5.633613152736045,3.9290601093398525,4.176435003370516
2024-07-19,61.88504884898358,0.0,7.3014222843966206,14.253621278668934,0.0,2.8240690014167793,5.632272446645824,3.9281250584809064,4.17544108140736
2024-07-22,61.882738721764184,0.0,7.304882659908356,14.253089200580558,0.0,2.823963580821806,5.632062197706411,3.927978424216451,4.175285215002234
2024-07-23,61.89689095858809,0.0,7.283683804135109,14.256348802498723,0.0,2.824609405525162,5.633350218884453,3.9288767309502344,4.176240079418235
2024-07-25,61.898335428353754,0.0,7.28152011039451,14.256681498769813,0.0,2.8246753226144206,5.633481682742243,3.9289684180053195,4.176337539119933
2024-07-26,61.89862433039713,0.0,7.281087359527895,14.256748039887409,0.0,2.824688506401463,5.633507976250109,3.9289867559298606,4.176357031606129
2024-07-29,61.882738721764184,0.0,7.304882659908356,14.253089200580558,0.0,2.823963580821806,5.632062197706411,3.927978424216451,4.175285215002234
2024-07-30,61.88331623739973,0.0,7.304484211191727,14.260221530494213,0.0,2.8165240001758822,5.632114758469665,3.928015081756226,4.175324180512558
2024-07-31,31.342363134867302,0.0,3.7007215449868442,7.222448129279233,0.0,1.4264994728616511,2.8525262818820627,1.989442107778227,2.114698025706768
2024-08-05,61.89429108289299,0.0,7.288044902092677,14.262750543764877,0.0,2.8170235033959656,5.633113599401806,3.928711705034334,4.176064663417346
2024-08-06,61.894002221297605,0.0,7.288477590193512,14.26268397929173,0.0,2.8170103563045426,5.6330873095751866,3.92869336967721,4.176045173660213
2024-08-08,36.39686835231164,0.0,12.165276510339682,23.805999571313635,0.0,4.701902351054001,9.402246749042709,6.557424451817856,6.970282014120476
2024-08-09,36.38241441832486,0.0,12.200157458963538,23.79654572646736,0.0,4.700035130348731,9.398512926326903,6.554820365685159,6.967513973883441
2024-08-12,37.22147638645657,0.0,12.44407971055617,22.076560573312555,0.0,4.808428726260614,9.615264202446257,6.70598956555034,7.12820083541749
2024-08-13,37.266334942108344,0.0,12.4415027952722,20.188596647865218,0.0,4.807432998672493,9.613273077199633,8.556134808577035,7.12672473030508
2024-08-14,37.2925631750877,0.0,12.439624186069386,20.170719230053674,0.0,4.806399410262118,9.611206242853507,8.554295256829109,7.1251924988445055
2024-08-15,37.31768692208487,0.0,12.44401625684819,20.14791239068635,0.0,4.805328010129593,9.609063797591814,8.552388408835524,7.123604213823658
2024-08-16,37.32433595250848,0.0,12.460553781099701,20.13861349518637,0.0,4.803110200058612,9.604628912310709,8.548441212493445,7.120316446342686
2024-08-19,37.331189840598206,0.0,12.450902651448608,20.139735320197968,0.0,4.803377758158238,9.605163939855855,8.548917404916754,7.120713084824372
2024-08-21,37.36361604032839,0.0,12.436776404108715,20.12095664308008,0.0,4.803454208804722,9.605316815817263,8.549053469639384,7.120826418221447
2024-08-22,37.38220944987023,0.0,12.416974910388788,20.12001027739054,0.0,4.803798266831607,9.606004817869035,8.549665814493865,7.1213364631559335
2024-08-23,37.39813957843936,0.0,12.415393968095191,20.109491010863252,0.0,4.803186642188346,9.60478177124144,8.548577262058203,7.120429767114202
2024-08-26,37.41465016886382,0.0,12.414000025400954,20.09389567649982,0.0,4.803263086751293,9.60493463503779,8.54871331595352,7.120543091492804
2024-08-27,37.463400936647076,0.0,12.417006614840462,20.050273920375165,0.0,4.80196386001903,9.602336612065887,8.546400988549019,7.118617067503361
2024-08-28,37.54431823324087,0.0,12.408517000002194,19.998404891817735,0.0,4.798680715787625,9.59577141145736,8.540557740260866,7.113750007433343
2024-08-29,37.557225318075815,0.0,12.405952657142358,19.994272023498947,0.0,4.797689020919482,9.59378835031447,8.538792749467827,7.112279880581101
2024-08-30,33.74982461161777,0.0,11.149001255482254,17.96733300490362,10.13688422178257,4.31131857121474,8.621208607448958,7.673164224695639,6.391265502854456
2024-09-02,33.384511986852324,0.0,11.028322971697884,17.772852184467098,11.109574630468162,4.264652281194723,8.527891490063007,7.590108866766017,6.322085588490786
2024-09-03,58.54943448132265,0.0,6.854148755602315,11.061492356803154,6.91439244454294,2.6542401930336545,5.307600916155768,4.7239424683007645,3.934748384238758
2024-09-04,58.55235063816407,0.0,6.85366654812129,11.060714151579434,6.913905998759169,2.654053460220704,5.307227512402898,4.723610126462359,3.934471564290069
2024-09-05,58.561762089340355,0.0,6.852401076237488,11.056913392413554,6.912629404167466,2.6535634115717897,5.3062475774803675,4.722737951581496,3.933745097207484
2024-09-09,58.56570643604224,0.0,6.852039598671411,11.054571720032522,6.91226474943923,2.653423430909132,5.305967662536982,4.722488817912733,3.933537584455751
2024-09-10,58.57771356519612,0.0,6.851798634814004,11.043632946491165,6.912021667659933,2.653330118671798,5.305781068980883,4.722322743402254,3.933399254783839
2024-09-11,58.5681361137948,0.0,6.853895294168957,11.045424244704344,6.913693200251006,2.653971772876817,5.30706416478184,4.72346474161214,3.9343504678100993
2024-09-13,58.56427359070809,0.0,6.860038207427515,11.044695807554412,6.913237247554331,2.653796745499742,5.306714168022181,4.723153232781156,3.9340910004525664
2024-09-17,58.562213786700724,0.0,6.871227724995616,11.038152302675424,6.912994097372261,2.6519448229044436,5.306527521958991,4.722987111537609,3.933952631854934
2024-09-19,58.56633353961921,0.0,6.871711104271144,11.031893986809502,6.913480414841606,2.6521313827476836,5.306900827215607,4.723319365711053,3.9342293787841958
2024-09-20,58.570453872213804,0.0,6.865159225383994,11.032670116535007,6.913966800738995,2.6523179688411105,5.307274184998707,4.723651666634826,3.934506164653557
2024-09-23,58.57071141225082,0.0,6.8647497023437145,11.032718628268864,6.913997202129936,2.652329631343664,5.307297521604448,4.723672436995044,3.934523465063512
2024-09-24,58.572909961348415,0.0,6.862551153246114,11.032718628268864,6.913997202129936,2.652329631343664,5.307297521604448,4.723672436995044,3.934523465063512
2024-09-25,58.57419774384434,0.0,6.860503435684892,11.032961193337618,6.914149213095067,2.6523879453949024,5.307414207711616,4.723776291536074,3.9346099693954883
2024-09-26,58.57574315758814,0.0,6.8589255179296105,11.032372823322758,6.914331635076626,2.6524579256411984,5.307554237813207,4.723900923013495,3.934713779614961
2024-09-27,58.5839867416703,0.0,6.859890800249088,11.019852075387087,6.915304714906827,2.652831215995801,5.308301189832447,4.7245657353121615,3.935267526646291
2024-09-30,31.481326304191796,0.0,3.686305297829031,5.920329200912146,3.716083119827138,1.4255541451791716,2.8525262818820627,2.538843868970966,2.114698025706768
2024-10-02,58.592493964905124,0.0,6.860451280353281,11.010370321310765,6.915426369143855,2.652877884677928,5.308394573617803,4.724648850006815,3.9353367559844323
2024-10-03,58.62946512419762,0.0,6.851076410066634,10.989733318610305,6.913510811955316,2.6517033647228767,5.306924160538074,4.723340133149048,3.9342466767601225
2024-10-04,58.62873239376019,0.0,6.86177155593985,10.982924484998295,6.909227455532671,2.6500604670769228,5.303636185975537,4.731838294155717,3.9318091625608202
2024-10-07,58.63053452381576,0.0,6.863305116568526,10.981862874627717,6.90855960904702,2.649804312017462,5.303123536072088,4.731380914282821,3.931429113568604
2024-10-08,58.6661050931373,0.0,6.805041476488201,10.990283985200122,6.912750964293589,2.651411922262442,5.306340889024652,4.734251396603423,3.933814272990272
