date,QUAM SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GET NICE SECURITIES LTD,GLORY SUN SECURITIES LTD,SILVERBRICKS SECURITIES CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,SUCCESS SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,XIN YONGAN INTERNATIONAL SECURITIES,TOTAL_CCASS_PCT
2024-03-08,6.859999999999999,0.0,3.102,0.2,0.0,0.1005,0.38,0.0,0.7645,0.0,11.407
2024-03-12,6.8115,0.0,3.102,0.2,0.0,0.0005,0.8415,0.0,0.792,0.0,11.747499999999999
2024-03-13,6.687,0.0,5.382,0.2,0.0,0.0005,0.8250000000000001,0.0,0.675,0.0,13.7695
2024-03-14,6.494,0.0,5.3885000000000005,0.2,0.0,0.0005,0.941,0.0,0.6735,0.0,13.697500000000002
2024-03-15,6.522,0.0,5.3885000000000005,0.22999999999999998,0.0,0.0005,0.844,0.0,0.6735,0.0,13.658500000000002
2024-03-18,6.522,0.0,5.383,0.2,0.0,0.0005,0.8354999999999999,0.0,0.6479999999999999,0.0,13.589
2024-03-19,6.84,0.0,5.383,0.2,0.0,0.0005,0.844,0.0,0.33,0.0,13.597500000000002
2024-03-20,6.84,0.0,5.383,0.2,0.0,0.0005,0.4795,0.0,0.33,0.0,13.233
2024-03-21,6.84,0.0,5.383,0.2,0.0,0.0005,0.5235,0.0,0.33,0.0,13.277
2024-03-22,6.84,0.0,5.008,0.2,0.0,0.0005,0.902,0.0,0.33,0.0,13.2805
2024-03-25,6.522,0.0,5.008,0.2,0.0,0.0005,1.331,0.0,0.33,0.0,13.3915
2024-03-26,6.522,0.0,5.008,0.2,0.0,0.0005,1.3335,0.0,0.33,0.0,13.394
2024-03-27,6.522,0.0,5.008,0.2,0.0,0.0005,1.341,0.0,0.33,5.228,18.6295
2024-03-28,6.522,0.0,5.008,0.2,0.0,0.0005,1.3995,0.0,0.33,5.228,18.688
2024-04-02,6.522,0.0,4.577,0.2,0.0,0.0005,1.8685,0.0,0.33,5.228,18.726000000000003
2024-04-03,6.522,0.0,4.577,0.2,0.0,0.0005,1.9025,0.0,0.33,5.228,18.759999999999998
2024-04-05,6.522,0.0,4.5765,0.2,0.0,0.0005,1.773,0.0,0.338,5.228,18.637999999999998
2024-04-08,6.522,0.0,4.5760000000000005,0.2,0.0,0.0005,1.7919999999999998,0.0,0.335,5.228,18.6535
2024-04-09,6.522,0.0,4.5760000000000005,0.2,0.0,0.0005,1.7854999999999999,0.0,0.335,5.228,18.647
2024-04-10,6.522,0.0,4.5760000000000005,0.2,0.0,0.0005,1.8704999999999998,0.0,0.335,5.152,18.656
2024-04-11,6.522,0.0,4.5760000000000005,0.2,0.0,0.0005,1.924,0.0,0.335,5.152,18.709500000000002
2024-04-12,6.522500000000001,0.0,4.5760000000000005,0.2,0.0,0.0005,1.923,0.0,0.335,5.152,18.709
2024-04-15,6.5235,0.0,4.5760000000000005,0.2,0.0,0.0005,1.918,0.0,0.335,5.152,18.705
2024-04-16,6.5235,0.0,4.5760000000000005,0.2,0.0,0.0005,1.9195,0.0,0.335,5.152,18.706500000000002
2024-04-17,6.523,0.0,4.5760000000000005,0.382,0.0,0.0005,1.918,0.0,0.335,5.152,18.8865
2024-04-18,6.522,0.0,4.5760000000000005,0.382,0.0,0.0005,1.917,0.0,0.335,5.152,18.884500000000003
2024-04-19,6.522,0.0,4.5760000000000005,0.382,0.0,0.0005,1.9224999999999999,0.0,0.32299999999999995,5.152,18.878
