date,CONSTANCE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,INTERACTIVE BROKERS HONG KONG LTD,HING WAI ALLIED SECURITIES LTD,TAI YIP STOCK CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,1.0123208092489846,0.0,0.0,1.0123208092489846
2024-03-06,0.0,6.571627177842992,0.0,0.0,0.0,1.0082661197593359,0.7698449715153333,0.0,8.349738269117662
2024-03-07,0.0,6.571627177842992,0.0,0.0,0.0,1.0082661197593359,0.7657902820256844,0.0,8.345683579628012
2024-03-08,0.0,6.571627177842992,0.0,2.3750586966987246,0.0,1.0082661197593359,0.7657902820256844,0.0,10.720742276326737
2024-04-03,0.0,6.583760160359185,0.0,2.3750586966987246,0.0,1.0082661197593359,0.7725480978417658,0.0,10.739633074659011
2024-04-12,0.0,6.583760160359185,0.0,2.3750586966987246,0.0,1.0082661197593359,0.7657902820256844,0.0,10.73287525884293
2024-04-15,0.0,6.584368363782632,0.0,2.3750586966987246,0.0,1.0082661197593359,0.7657902820256844,0.0,10.733483462266378
2024-04-17,0.0,6.584368363782632,0.0,2.3750532904460715,0.0,1.0082661197593359,0.7657902820256844,0.0,10.733478056013725
2024-05-07,0.0,6.5816625343298725,0.0,2.3750532904460715,0.0,1.0082661197593359,0.7657902820256844,0.0,10.730772226560966
2024-05-09,0.0,6.5816625343298725,0.0,2.3750532904460715,0.0,1.0082661197593359,0.7725480978417658,0.0,10.737530042377047
2024-05-10,0.0,6.595178165962036,0.0,2.3750167982406647,0.0,1.0082661197593359,0.7725480978417658,0.0,10.751009181803802
2024-05-21,0.0,6.595178165962036,0.0,2.375011391988012,0.0,1.0082661197593359,0.7725480978417658,0.0,10.75100377555115
2024-05-27,0.0,6.595178165962036,0.0,2.3750424779407657,0.0,1.0082661197593359,0.7725480978417658,0.0,10.751034861503904
2024-05-28,0.0,6.595178165962036,0.0,2.375049235756582,0.0,1.0082661197593359,0.7725480978417658,0.0,10.75104161931972
2024-05-31,0.0,6.595178165962036,0.0,2.3750289623091336,0.0,1.0082661197593359,0.7725480978417658,0.0,10.751021345872273
2024-06-17,0.0,6.608693797594199,0.0,2.3750289623091336,0.0,1.0082661197593359,0.7725480978417658,0.0,10.764536977504434
2024-06-18,0.0,6.608693797594199,0.0,2.375024907619644,0.0,1.0082661197593359,0.7725480978417658,0.0,10.764532922814944
2024-06-20,0.0,6.608693797594199,0.0,2.375024907619644,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.44788325813709
2024-06-21,0.0,6.608693797594199,0.0,2.375023556056481,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.447881906573926
2024-06-25,0.0,6.608693797594199,0.0,2.3749965247932168,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.447854875310663
2024-06-26,0.0,6.608693797594199,0.0,2.3749897669774005,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.447848117494845
2024-06-27,0.0,6.608693797594199,0.0,2.374985712287911,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.447844062805357
2024-07-03,0.0,6.6086735241467505,0.0,2.374985712287911,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.447823789357908
2024-07-08,0.0,6.608660008515119,0.0,2.374985712287911,0.0,1.0082661197593359,0.7725480978417658,0.683350335322145,11.447810273726276
2024-07-16,0.0,6.608660008515119,0.0,2.374985712287911,0.0,1.0082661197593359,0.7725453947154394,0.683350335322145,11.447807570599949
2024-07-19,0.0,6.608660008515119,0.0,2.374985712287911,1.5624827042151457,1.0082661197593359,0.7725453947154394,0.683350335322145,13.010290274815095
2024-07-22,0.0,6.610011571678334,0.0,2.374985712287911,1.5609959847356079,1.0082661197593359,0.7725453947154394,0.683350335322145,13.010155118498773
2024-08-07,8.37563692245121,6.610011571678334,0.0,2.374985712287911,1.5609959847356079,1.0082661197593359,0.7725453947154394,0.683350335322145,21.385792040949987
2024-08-08,8.372933796124778,6.610011571678334,0.0,2.374985712287911,1.5609959847356079,1.0082661197593359,0.7725453947154394,0.683350335322145,21.383088914623553
2024-08-21,8.372933796124778,6.610317024953222,0.0,2.374985712287911,1.5609959847356079,1.0082661197593359,0.7725453947154394,0.683350335322145,21.38339436789844
2024-08-22,8.372933796124778,6.725605362775569,0.0,2.374985712287911,1.5609959847356079,1.0082661197593359,0.7725453947154394,0.683350335322145,21.498682705720785
2024-09-02,8.372933796124778,6.725605362775569,0.0,2.373635500687858,1.5609959847356079,1.0082661197593359,0.7725453947154394,0.683350335322145,21.497332494120734
2024-09-09,8.372933796124778,6.725605362775569,0.0,2.373635500687858,1.5609959847356079,1.0082661197593359,0.7725386368996233,0.683350335322145,21.497325736304916
2024-09-11,8.372933796124778,6.725605362775569,0.0,2.373635500687858,1.5609959847356079,1.0082661197593359,0.7725359337732969,0.683350335322145,21.497323033178592
2024-09-23,8.372933796124778,6.724253799612352,0.0,2.373635500687858,1.5609959847356079,1.0082661197593359,0.783348439079027,0.683350335322145,21.506783975321106
2024-09-24,8.372933796124778,6.724253799612352,0.0,2.373608469424594,1.5609959847356079,1.0082661197593359,0.783348439079027,0.683350335322145,21.50675694405784
2024-09-27,8.372933796124778,6.72155067328592,0.0,2.3735881959771454,1.5609959847356079,1.0082661197593359,0.7860515654054595,0.683350335322145,21.506736670610394
2024-09-30,8.372933796124778,6.7620975681824085,0.0,2.373580086598166,1.5609959847356079,1.0082661197593359,0.7860515654054595,0.683350335322145,21.547275456127903
2024-10-03,8.372933796124778,6.774531949283998,5.25114591269121,2.373498992808373,1.5745116163677704,1.0555708304719054,0.7860515654054595,0.683350335322145,26.87159499847564
2024-10-04,8.372933796124778,6.774531949283998,5.1565364912660705,2.373498992808373,1.5745116163677704,1.0555708304719054,0.7860515654054595,0.683350335322145,26.7769855770505
2024-10-07,8.372933796124778,6.8272429126494325,5.1565364912660705,2.373498992808373,1.5745116163677704,1.0555708304719054,0.7860515654054595,0.683350335322145,26.829696540415938
2024-10-08,8.372933796124778,7.069172718865143,5.1565364912660705,2.373498992808373,1.5745116163677704,1.0934145990419606,0.7860515654054595,0.683350335322145,27.1094701152017
2024-10-09,8.372933796124778,7.217854127761076,5.0754427014730945,2.373498992808373,1.5745116163677704,1.1366646202648811,0.7860515654054595,0.683350335322145,27.22030775552758
2024-10-10,8.372933796124778,7.217854127761076,5.0754427014730945,2.377553682298022,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.278424971545878
2024-10-14,8.372933796124778,7.217854127761076,5.0754427014730945,2.377553682298022,1.5745116163677704,1.1907271467935319,0.7870071205618535,0.683350335322145,27.279380526702273
2024-10-16,8.372933796124778,7.217448658812112,5.0754427014730945,2.377469885381902,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.277935705680793
2024-10-18,9.071691951507589,7.217448658812112,5.0754427014730945,2.377469885381902,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.976693861063605
2024-10-21,9.071691951507589,7.230964290444273,5.0754427014730945,2.377469885381902,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.990209492695765
2024-10-22,9.071691951507589,7.230964290444273,5.0754427014730945,2.3794972301267268,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.992236837440593
2024-10-25,9.071691951507589,7.230964290444273,5.0754427014730945,2.3794688473002994,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.992208454614165
2024-11-06,9.071691951507589,7.164737695446677,5.0754427014730945,2.3794688473002994,1.5745116163677704,1.1907271467935319,0.7860515654054595,0.683350335322145,27.925981859616567
2024-11-07,9.071691951507589,7.1647512110783085,5.0754427014730945,2.3794688473002994,1.5745116163677704,1.1934302731199644,0.7860515654054595,0.683350335322145,27.928698501574633
2024-11-11,9.071691951507589,7.1647512110783085,5.0754427014730945,2.3794688473002994,1.5799178690206355,1.1934302731199644,0.7860515654054595,0.683350335322145,27.934104754227494
2024-11-14,9.071691951507589,7.1647512110783085,5.0754427014730945,2.3794958785635636,1.5799178690206355,1.1934302731199644,0.785997502878931,0.683350335322145,27.934077722964233
2024-11-18,9.071691951507589,7.232329369239123,5.0754427014730945,2.3794958785635636,1.5799178690206355,1.1934302731199644,0.785997502878931,0.683350335322145,28.00165588112505
2024-11-19,9.071691951507589,7.232329369239123,5.0754427014730945,2.3794904723109105,1.5799178690206355,1.1934302731199644,0.785997502878931,0.683350335322145,28.001650474872392
2024-11-22,9.071691951507589,7.232329369239123,5.0754427014730945,2.3871943823412436,1.5799178690206355,1.1934302731199644,0.785997502878931,0.683350335322145,28.009354384902725
2024-11-28,9.071691951507589,7.232329369239123,5.0754427014730945,2.387174108893795,1.5799178690206355,1.1934302731199644,0.785997502878931,0.683350335322145,28.009334111455274
2024-12-02,9.071691951507589,7.232329369239123,5.0754427014730945,2.387171405767469,1.5799178690206355,1.1934302731199644,0.785997502878931,0.683350335322145,28.009331408328954
