date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,1.7092634608747086,0.0,0.0,0.6526511244769886,0.0,0.0,0.0
2024-03-05,1.6861400417678318,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,1.6944054341294388,0.0,0.0,0.6443857321153815,0.0,0.0,0.0
2024-03-11,1.6943070366013244,0.0,0.0,0.0,1.286301341883744,0.0,0.0
2024-03-20,1.687517607161433,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,1.6723643878318202,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,1.6719707977193627,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,1.7014900561536737,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,1.0643396910755978,0.0,0.0,0.0,1.0608740809366457,0.0
2024-04-18,0.0,1.2857341293329287,0.0,0.0,0.0,0.0,0.0
2024-05-06,1.6256255619774946,1.2808142529272102,1.4169440843525405,0.6484200307680706,0.0,1.0805535865595195,0.0
2024-05-07,1.6203120954593186,1.2857341293329287,1.4471521254836517,0.6443857321153815,0.0,0.0,0.0
2024-05-08,1.635465314788932,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,1.6231656237746355,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,1.647076223106427,1.3054136349558025,0.0,0.0,0.0,1.0800615989189477,0.0
2024-05-16,1.6460922478252835,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,1.595023930733926,0.0,1.4717515075122443,0.0,0.0,0.0,0.0
2024-05-22,1.602010155230046,1.3098415237209493,1.4127129906436224,0.0,0.0,0.0,0.0
2024-05-24,1.5840034075851166,1.3049216473152305,0.0,0.0,0.0,1.0704186411637395,0.0
2024-05-27,1.5878409111815772,0.0,1.412614593115508,0.0,1.2922051935706063,0.0,0.0
2024-05-28,1.588332898822149,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,1.5978774590492426,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,1.5928591851154097,1.2949834969756795,0.0,0.0,0.0,0.0,0.0
2024-06-04,1.6083075970293657,0.0,1.407202729069218,0.0,0.0,0.0,0.0
2024-06-05,1.6084059945574805,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,1.609389969838624,1.2939995216945357,0.0,0.0,0.0,0.0,0.0
2024-06-07,1.6161793992785154,0.0,1.4052347785069303,0.0,0.0,0.0,0.0
2024-06-11,1.621099275684234,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,1.5612735785906975,1.2841597688830988,1.4204863953646578,0.0,1.475224595863333,0.0,0.0
2024-06-13,1.6204104929874334,0.0,1.4519736043612559,0.0,1.445705337429022,0.0,0.0
2024-06-14,1.59128482466558,1.2694001396659433,1.4470537279555373,0.0,1.475224595863333,0.0,0.0
2024-06-17,1.5922687999467235,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,1.6633118152452984,0.0,0.0,0.0,1.3414039576277907,0.0,0.0
2024-06-19,1.6572111685022075,0.0,1.4734242654901883,0.0,1.2922051935706063,0.0,0.0
2024-06-20,1.663508610301527,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,1.6585887338958085,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,1.666165343560615,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,1.6563255907491783,0.0,1.4817880553799099,0.0,0.0,0.0,0.0
2024-06-27,1.6372364702949904,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,1.6367444826544186,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,1.6154906165817149,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,1.6092915723105097,1.2691049470816003,0.0,0.6626876723446542,0.0,0.0,0.0
2024-07-04,0.0,1.269006549553486,0.0,0.0,0.0,0.0,0.0
2024-07-08,1.5846921902819173,1.2497206340430695,1.4816896578517955,0.6443857321153815,0.0,0.0,0.0
2024-07-12,0.0,1.244800757637351,0.0,0.0,0.0,0.0,0.0
2024-07-19,1.5847905878100317,0.0,1.476769781446077,0.0,0.0,0.0,0.0
2024-07-24,1.5731796794925361,1.2446039625811223,1.4503992439114262,0.0,0.0,0.0,0.0
2024-07-25,0.0,1.244505565053008,0.0,0.6640652377382553,0.0,0.0,0.0
2024-07-26,1.5759348102797384,1.2300411284201955,0.0,0.0,0.0,0.0,0.0
2024-07-29,1.556944087353665,0.0,0.0,0.6946668689818242,0.0,0.0,0.0
2024-07-31,1.5489738875764012,1.2103616227973217,0.0,0.7320579296652845,0.0,0.0,0.0
2024-08-01,1.5426764457770814,0.0,1.4467585353711943,0.0,0.0,0.0,0.0
2024-08-02,0.0,1.2004234724577705,0.0,0.0,0.0,0.0,0.0
2024-08-05,1.5493674776888586,0.0,1.44666013784308,0.0,0.0,0.0,0.0
2024-08-06,1.5461203592610844,0.0,0.0,0.736977806071003,1.2973218650325533,0.0,0.0
2024-08-07,1.5458251666767413,0.0,1.4510880266082267,0.0,0.0,0.0,0.0
2024-08-08,1.5456283716205126,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,1.542282855664624,1.215183101674926,0.0,0.0,0.0,0.0,0.0
2024-08-15,1.5421844581365096,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,1.556944087353665,0.0,0.0,0.0,1.2721320978352748,0.0,0.0
2024-08-20,1.5568456898255507,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-22,1.5487770925201725,1.2152814992030403,0.0,0.0,0.0,0.0,0.0
2024-08-23,1.5456283716205126,0.0,0.0,0.0,0.0,1.0654987647580212,0.0
2024-08-27,1.5405117001585655,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,0.0,0.0,1.4355412171661563,0.0,0.0,0.0,0.0
2024-08-29,0.0,1.215183101674926,0.0,0.0,0.0,0.0,0.0
2024-09-02,1.5788867361231695,1.1782840286320375,1.491135820550775,0.0,0.0,0.0,0.0
2024-09-04,1.5760332078078527,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,1.575836412751624,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,0.0,1.0753385175694579,0.0
2024-09-13,1.5805594941011136,1.2028834106606296,0.0,0.0,0.0,0.0,0.0
2024-09-27,1.5831178298320874,1.1806455693067823,0.0,0.0,0.0,0.0,0.0
2024-09-30,1.5798707114043131,1.1801535816662105,0.0,0.0,0.0,0.0,0.0
2024-10-02,0.0,0.0,1.4906438329102032,0.7615771880995954,0.0,0.0,0.0
2024-10-07,0.0,1.1777920409914657,0.0,0.0,0.0,0.0,0.0
2024-10-08,1.6899775453642925,1.1776936434633511,1.4807056825706517,0.7527214105693021,0.0,0.0,0.0
2024-10-09,1.6762018914282806,1.1630324117743103,1.4462665477306225,0.7532133982098739,0.0,0.0,0.0
2024-10-10,1.7552151065041193,1.1777920409914657,0.0,0.0,0.0,0.0,0.0
2024-10-14,1.7575766471788639,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,1.7611189581909814,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-18,1.784931159994659,0.0,1.4585662387449188,0.0,0.0,0.0,0.0
2024-10-22,1.784832762466544,0.0,0.0,0.7527214105693021,0.0,0.0,0.0
2024-10-25,1.7727298665084767,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,1.7562974793133772,0.0,1.4415434663811328,0.8019201746264868,0.0,0.0,0.0
2024-10-29,1.7094602559309373,1.1630324117743103,1.4462665477306225,0.8412791858722344,0.0,0.0,19.558531372318814
2024-10-30,1.7044419819971048,0.0,0.0,0.8432471364345218,0.0,0.0,0.0
2024-10-31,1.7042451869408761,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,1.698341335254014,0.0,0.0,0.0,0.0,0.0,19.57329100153597
2024-11-05,1.6667557287293011,0.0,0.0,0.8885099993671317,0.0,0.0,0.0
2024-11-06,1.6706916298538759,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-08,1.6677397040104447,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-12,1.6798425999685123,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,1.7056227523344771,1.1876317938029024,0.0,0.0,0.0,0.0,0.0
2024-11-18,0.0,1.1895013468370754,1.4353050630986817,0.0,0.0,0.0,0.0
2024-11-20,1.6570143734459788,0.0,1.3939781012906467,0.9445965903923221,0.0,1.0660891499267073,0.0
2024-11-26,1.657899951199008,1.1897965394214187,0.0,0.0,0.0,0.0,0.0
2024-11-28,1.6684284867072456,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,0.0,1.1896981418933041,1.3845319385916672,0.9839556016380698,0.0,0.0,0.0
2024-12-03,0.0,1.1895997443651898,0.0,0.0,0.0,0.0,0.0
2024-12-04,0.0,1.1651971573928264,1.3843351435354385,0.0,0.0,0.0,0.0
2024-12-11,1.6832865134525155,1.1654923499771694,0.0,0.0,0.0,0.0,0.0
2024-12-13,1.6980461426696705,1.1904853221182192,0.0,0.0,0.0,1.046016054191376,0.0
2024-12-20,1.7005060808725299,1.1905837196463336,0.0,0.0,0.0,0.0,0.0
2024-12-30,1.7038515968284182,1.1903869245901049,0.0,0.0,0.0,0.0,0.0
2025-01-03,1.7039499943565326,1.1902885270619905,0.0,0.0,0.0,0.0,0.0
2025-01-09,1.704048391884647,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,1.7041467894127618,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,1.7042451869408761,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,0.0,1.1901901295338762,0.0,0.0,0.0,0.0,0.0
2025-01-15,1.7057211498625915,0.0,0.0,0.0,0.0,1.0445400912696605,0.0
2025-01-16,1.7281557862726677,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,1.7454737512207965,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,1.8288164575336674,1.0425938373623223,0.0,0.9913354162466476,0.0,0.0,0.0
2025-02-12,1.8335395388831572,0.0,1.3799072547702917,0.0,0.0,0.0,0.0
2025-02-14,1.833736333939386,1.042495439834208,0.0,0.0,0.0,0.0,0.0
2025-02-18,1.8532190445060308,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,1.8581389209117494,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,0.0,1.0416098620811787,0.0,0.0,0.0,0.0,0.0
2025-02-21,1.858335715967978,1.041511464553064,0.0,0.0,0.0,0.0,0.0
2025-02-24,1.8584341134960924,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,1.8289148550617818,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,1.829013252589896,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,1.8291116501180105,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0.0,1.0421018497217505,1.3676075637559957,0.0,0.0,0.0,0.0
2025-03-10,0.0,1.0499736519709,0.0,0.0,0.0,0.0,0.0
2025-03-12,0.0,1.0498752544427856,0.0,0.0,0.0,0.0,0.0
2025-03-13,1.8320635759614414,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,1.844953652144424,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,1.8710289970947318,1.0499736519709,0.0,0.0,0.0,0.0,0.0
2025-03-27,1.880868749906169,1.0497768569146713,1.328248552510248,0.0,0.0,0.0,0.0
2025-03-28,1.9097976231717932,1.049678459386557,0.0,0.0,0.0,0.0,0.0
2025-03-31,1.8399353782105912,1.0494816643303282,0.0,0.0,0.0,0.0,0.0
