date,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,CITIBANK N.A.,GUOYUAN SECURITIES BROKERAGE (HONG KONG),CMB WING LUNG BANK LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,2.852816268406488,4.303865909534679,0.0,0.0,0.0,0.0,0.0,0.0,7.156682177941167
2024-03-04,6.511319316796952,2.8526900236330217,4.38596709387898,5.644866719184492,4.013636960429838,0.0,2.30287150049488,0.0,0.0,25.711351614418167
2024-03-05,6.509741257128622,2.8632104214218863,4.379191957702951,5.665423576463934,3.9765420378263006,0.0,2.3013144816221276,0.0,2.875866459961891,28.571290192127712
2024-03-06,6.504165446300523,2.8742147575090393,4.380833139758014,5.668726981369638,3.964969600258549,0.0,2.3013144816221276,0.0,2.911993505968853,28.606217912786747
2024-03-07,6.494486680334767,2.8742147575090393,4.386303746608224,5.664098006342537,3.9675996997057656,0.0,2.3013144816221276,0.0,2.911993505968853,28.600010878091314
2024-03-08,6.494381476356879,2.8721106779512664,4.395835227004935,5.665570862032979,3.9675996997057656,0.0,2.3013144816221276,0.0,2.911993505968853,28.608805930642806
2024-03-11,6.5070059537035165,2.8726366978407096,4.394888391203938,5.664729230209869,3.9675996997057656,0.0,2.3013144816221276,0.0,2.911972465173275,28.6201469194592
2024-03-12,6.5070059537035165,2.8726366978407096,4.395940430982824,5.664729230209869,3.9675996997057656,0.0,2.3013144816221276,0.0,2.911972465173275,28.621198959238086
2024-03-13,6.501745754809083,2.875056389332148,4.411573742097078,5.659995051204881,3.9675996997057656,0.0,2.3013144816221276,0.0,2.8909316695955454,28.60821678836663
2024-03-14,6.4954335161357655,2.873288962503619,4.433098475973095,5.666181045104732,3.9548489775856615,0.0,2.3012092776442388,0.0,2.8909316695955454,28.61499192454266
2024-03-15,6.492803416688549,2.8720685963601107,4.452392885517873,5.66064731586779,3.9536496522377305,0.0,2.3012092776442388,0.0,2.8909316695955454,28.623702813911837
2024-03-18,6.498063615582981,2.865903643255836,4.457505798843261,5.649600898189481,3.9536496522377305,0.0,2.3012092776442388,0.0,2.8909316695955454,28.616864555349075
2024-03-19,6.498063615582981,2.8645991139300166,4.46085128534012,5.649600898189481,3.9536496522377305,0.0,2.3012092776442388,0.0,2.8909316695955454,28.618905512520115
2024-03-20,6.505953913924631,2.8645991139300166,4.474043864167357,5.649600898189481,3.9536496522377305,0.0,2.3012092776442388,0.0,2.8909316695955454,28.639988389689
2024-03-21,6.5200302061661315,2.8645991139300166,4.470088194598744,5.649600898189481,3.954175672127174,0.0,2.3012092776442388,0.0,2.8909316695955454,28.65063503225133
