date,HANG SENG SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,MORTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,OCBC SECURITIES BROKERAGE (HK) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-06,65.28087912318587,0.0,34.719120876814124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,58.88701900886891,0.0,31.278358860746007,0.0,0.0,0.0,0.0,9.834622130385078,0.0,0.0
2024-03-11,57.163273418239214,0.0,30.190452338664652,0.0,0.0,0.0,0.0,9.546742274721009,3.0995319683751235,0.0
2024-03-12,46.17731837830915,0.0,24.388283704950712,0.0,19.218554821993017,0.0,0.0,7.711996376939368,2.5038467178077513,0.0
2024-03-13,37.70396650152838,0.0,19.913131904020755,15.339826718456138,15.692027442559,0.0,0.0,6.296876112940648,2.0444009329378905,3.009770387557191
2024-03-14,37.71882878935583,0.0,19.920981335403305,15.345873427624088,15.658794616663963,0.0,0.0,6.299358238666082,2.045206802397243,3.0109567898894922
2024-03-15,37.72912493118859,0.0,19.92641918318014,15.198411916088753,15.663069011587613,0.0,0.0,6.301077780018835,2.1306893576236976,3.05120782031237
2024-03-20,37.72397615773138,0.0,19.92369988824884,15.120522940829506,15.66093152246926,0.0,0.0,6.300217892012294,2.219860167005054,3.050791431703667
2024-03-22,37.727408517213824,0.0,19.92247979728285,15.115832955488056,15.662356450387524,0.0,0.0,6.30079112460402,2.2200621435427883,3.051069011480936
2024-03-28,37.981025428476435,0.0,19.585954140989966,15.133503676342212,15.627528766258116,0.0,0.0,6.4964147503078165,2.0784276216806266,3.0971456159448345
2024-04-02,37.98217872591099,0.0,19.58654887034256,15.13396320661473,15.624966788177655,0.0,0.0,6.4966120145570265,2.07849073333222,3.0972396610648127
2024-04-03,37.98217872591099,0.0,19.58654887034256,15.13396320661473,15.61889376923439,0.0,0.0,6.502685033500291,2.07849073333222,3.0972396610648127
2024-04-05,38.011033942058894,0.0,19.601428851433788,15.145460540210376,15.554789098550334,0.0,0.0,6.50762514985163,2.0800697712227136,3.099592646672268
2024-04-08,38.002950063117986,0.0,19.59726017824944,15.142239526288526,15.57274822229075,0.0,0.0,6.506241160824013,2.07962739882514,3.0989334504041524
2024-04-11,38.00814644766568,0.0,19.59993983600754,15.144310020799118,15.546011020949527,0.0,0.0,6.507130800469765,2.079911759477728,3.1145501146306374
2024-04-12,38.00179550394874,0.0,19.596664798248852,15.141779493279012,15.551008565860208,0.0,0.0,6.50604349615911,2.079564218127906,3.1231439243761687
2024-04-17,37.990253769489044,0.0,19.59071298733051,15.137180700094607,15.576657033823277,0.0,0.0,6.504067509882143,2.0789326222341007,3.1221953771463196
