date,SINOMAX SECURITIES LTD,FORTUNE ORIGIN SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,CHEONG LEE SECURITIES LTD,EMPEROR SECURITIES LTD,GET NICE SECURITIES LTD,KGI ASIA LTD,CNCB (HONG KONG) CAPITAL LTD,KINGSTON SECURITIES LTD,QUAM SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,0.0,7.614348663759986,0.0,0.0,0.0,0.0,7.614348663759986
2024-03-07,0.0,0.0,0.0,0.0,0.0,7.614534619963462,0.0,0.0,0.0,0.0,7.614534619963462
2024-03-08,0.0,0.0,0.0,0.0,0.0,7.614720576166939,0.0,0.0,0.0,0.0,7.614720576166939
2024-03-12,0.0,0.0,0.0,0.0,0.0,7.614906532370417,0.0,0.0,0.0,0.0,7.614906532370417
2024-03-15,0.0,0.0,0.0,0.0,0.0,7.618625656439949,0.0,0.0,0.0,0.0,7.618625656439949
2024-03-19,0.0,0.0,0.0,0.0,0.0,7.624948167358157,0.0,0.0,0.0,0.0,7.624948167358157
2024-03-20,0.0,0.0,0.0,0.0,0.0,7.62866729142769,0.0,0.0,0.0,0.0,7.62866729142769
2024-03-21,0.0,0.0,0.0,0.0,0.0,7.633316196514609,0.0,0.0,0.0,0.0,7.633316196514609
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.06117959094383069,0.0,0.0,0.0,0.0,0.06117959094383069
2024-03-26,0.0,0.0,0.0,0.0,0.0,0.06564253982727122,0.0,0.0,0.0,0.0,0.06564253982727122
2024-03-27,0.0,0.0,0.0,0.0,0.0,0.06675827704813136,0.0,0.0,0.0,0.0,0.06675827704813136
2024-03-28,0.0,0.0,0.0,0.0,0.0,0.07252291935590872,0.0,0.0,0.0,0.0,0.07252291935590872
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.07828756166368607,0.0,0.0,0.0,0.0,0.07828756166368607
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.07940329888454623,0.0,0.0,0.0,0.0,0.07940329888454623
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.08423816017494012,0.5004081435557701,0.0,0.0,0.0,0.5846463037307104
