date,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,EAST ASIA SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-13,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,67.96624187079055,0.0,32.033758129209446,0.0
2024-04-08,0.0,0.0,67.89139905430977,0.0,32.10860094569023,0.0
2024-04-11,0.0,0.0,67.97456792646108,0.0,32.02543207353893,0.0
2024-04-30,0.0,0.0,67.70914199962465,0.0,32.29085800037535,0.0
2024-05-23,0.0,0.0,67.43758384400343,0.0,32.56241615599657,0.0
2024-06-04,0.0,0.0,47.95989145097329,28.88254780611049,23.15756074291622,0.0
2024-06-11,0.0,0.0,47.997228196243775,28.905032851375907,23.09773895238032,0.0
2024-06-12,0.0,0.0,47.98477615691098,28.897533947386922,23.117689895702096,0.0
2024-06-14,0.0,33.186664497336736,32.09353390265326,19.3274629939055,15.392338606104497,0.0
2024-06-19,0.0,33.20202734516883,32.10839071593078,19.33641010797837,15.353171830922019,0.0
2024-07-03,0.0,33.21740442319882,32.123261290679835,19.34536550952536,15.313968776595988,0.0
2024-08-12,0.0,29.302679836855695,28.3374832339114,17.06548304107329,13.509192903067394,11.785160985092226
2024-08-21,79.8171183840483,5.919415450639393,5.724436707528429,3.4473872201578617,2.7289833435475273,2.362658894078489
2024-08-27,79.81711192932899,5.919417343737017,5.724438538269593,3.447388322672225,2.72898421630801,2.3626596496841694
2024-09-05,79.80970171632306,5.918867785599321,5.723907081945471,3.4470682674714337,2.7380148480715203,2.362440300589201
2024-09-20,79.8237504243697,5.914749349887362,5.719924302773484,3.444669746408189,2.736109696860403,2.360796479700856
2024-09-24,79.83115678425557,5.91529814347432,5.720455019730293,3.4449893563450082,2.7270851725596237,2.3610155236351864
2024-09-27,79.83578645715312,5.915641191183998,5.714987436999807,3.445189142675282,2.727243325251145,2.3611524467366514
2024-10-15,79.84360667966469,5.9162206510035436,5.715547242011964,3.445526612209757,2.7177150844049236,2.3613837307051155
2024-11-07,79.84442995010417,5.9162816533777844,5.714575071463998,3.4455621391645908,2.7177431068676468,2.3614080790218135
2024-11-13,79.84854655697782,5.916586684119891,5.71486970264909,3.4457397849289175,2.7127274431868877,2.3615298281373835
2024-11-14,79.87490289613393,5.885531712461176,5.716756061895572,3.4468771517355936,2.7136228579140633,2.3623093198596683
2024-11-18,79.87594079176682,5.885228182613341,5.716461236180184,3.446699388680617,2.713482910399823,2.362187490359221
2024-11-21,79.88125926337156,5.885620045528086,5.710183446914237,3.4469288842289267,2.7136635853523288,2.3623447746048654
2024-11-28,79.9125829865283,5.887927965240569,5.673209716937459,3.448280523488325,2.714727690346065,2.363271117459283
2024-11-29,79.90221336003881,5.890967460749401,5.676138369522391,3.450060612040055,2.7161291005995913,2.364491097049739
2024-12-06,79.90386329485499,5.891089105844145,5.674190635952132,3.4501318538102432,2.716185187105582,2.3645399224329107
2024-12-12,79.92613264289709,5.89364481383563,5.645664671831139,3.4516286109279917,2.7173635390307216,2.365565721477429
2024-12-13,79.91212696686422,5.897756850567118,5.649603691103175,3.4540368360721794,2.719259462358009,2.3672161930353055
2024-12-30,79.90386778450016,5.907482628324961,5.649019785894535,3.4536798499524997,2.7189784179077208,2.3669715334201076
2025-01-02,79.90537349788262,5.9070400070506475,5.648596530086001,3.453421081154954,2.7187746970052853,2.366794186820498
2025-01-03,79.90205024367538,5.908016914760459,5.649530696350877,3.4539922087713877,2.7192243286244344,2.367185607817458
2025-02-11,79.90452798684326,5.905099145222248,5.649705886925361,3.4540993162307214,2.719308651110298,2.3672590136681086
2025-02-14,79.92105020252318,5.916658891946945,5.6508741018130975,3.454813535753951,2.6888547655888924,2.3677485023739364
2025-03-11,79.89709521830203,5.944858783540031,5.64918034779458,3.4537780137791234,2.6880488268115683,2.3670388097726716
2025-03-12,79.97148518771617,5.96073912406211,5.654440142936559,3.4569937306973197,2.5870991206291434,2.3692426939586984
2025-03-19,79.97107077926071,5.960862457255657,5.654557138521508,3.4570652590880124,2.5871526500975413,2.3692917157765723
2025-03-20,79.97934501156038,5.9614791997876395,5.655142189076165,3.457422945445717,2.577073798831802,2.369536855298289
2025-03-24,79.97851751128256,5.962452162270346,5.655083678572836,3.45738717347925,2.577047135331567,2.369512339063432
2025-03-27,79.96982901175488,5.972304251085126,5.6546156381295605,3.457101024393361,2.576833847190822,2.369316227446247
2025-03-28,79.91670707770656,6.034582724410713,5.650932525239359,3.4548492544835163,2.5751554360368436,2.367772982123005
2025-03-31,79.85891173826005,6.102538016692656,5.646845800755478,3.452350725794074,2.573293097259439,2.3660606212383026
2025-04-03,79.7981652785063,6.177773229334902,5.641017866105639,3.4487876615404764,2.570637281156987,2.363618683355691
2025-04-10,79.78581360845631,6.196423270363202,5.640144713305884,3.448253836143374,2.5661117443823684,2.3632528273488647
2025-04-14,79.78910701324399,6.1966790467868815,5.640377527621636,3.4483961734233923,2.5662176685350775,2.3592225703890244
2025-04-17,79.72329053413323,6.384383345728538,5.635724890142415,3.44555165863673,2.4537730776819666,2.357276493677126
2025-04-28,79.72119958573529,6.385041707784326,5.636306050017002,3.445906966322761,2.454026112470196,2.357519577670426
