date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KGI ASIA LTD,CITRUS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DEUTSCHE BANK AG,FUTU SECURITIES INTERNATIONAL
2024-03-05,0.0,98.07073954983923,0.0,0.0,0.0,0.0,0.0,1.929260450160772
2024-03-18,0.0,37.15080236831915,0.0,62.12773186059369,0.0,0.0,0.0,0.7214657710871561
2024-03-26,58.6793255642882,15.350962096867862,0.0,25.671597816407914,0.0,0.0,0.0,0.29811452243602155
2024-04-24,58.66569769692278,15.347396942132766,0.0,13.569641958583317,12.119218114960326,0.0,0.0,0.2980452874008129
2024-05-07,58.01058864106691,15.195063999386832,0.0,13.434954395646509,11.998926956388441,1.0653790143327968,0.0,0.29508699317850845
2024-08-02,58.006142703862665,15.193899448191296,0.0,13.433924739423666,11.998007357449419,1.0652973635806255,0.0,0.302728387492336
2024-11-18,58.003919990803546,15.193317239529447,0.0,13.437241828562671,11.997547610836493,1.0652565428976513,0.0,0.3027167873701958
2024-11-22,57.99587229802238,15.19622872911237,0.0,13.43981680208493,11.999846696305381,1.06546067760233,0.0,0.3027747968726046
2024-11-26,57.9980951285884,15.196811160936722,0.0,13.440331915219808,12.0003066191407,1.061668774673259,0.0,0.30278640144110996
2024-12-20,57.991654847241925,15.199141334764443,0.0,13.442392762678729,12.002146663088894,1.0618315636140607,0.0,0.3028328286119523
2024-12-23,57.99387794219122,15.19972398987963,0.0,13.439074599401978,12.002606762247948,1.0618722686498505,0.0,0.30284443762937974
2025-01-02,50.48988085305209,13.232987351066313,12.939291793211627,11.700153522677969,10.449554450488936,0.9244735173380503,0.0,0.2636585121650035
2025-01-07,50.48651092941765,13.232104121475055,12.951777073252128,11.696035374603705,10.44885699983314,0.9210745870181879,0.0,0.2636409144001335
2025-02-20,50.484858496862905,13.232545721532505,12.955546655987185,11.696425710853024,10.449205713522893,0.92110532639167,0.0,0.2603123748498198
2025-02-21,50.47322519275057,13.233870698574815,12.956843897066186,11.697596875938721,10.450251994259203,0.921197556823871,0.0,0.2670137845866293
2025-02-25,50.46823431241656,13.234312416555408,12.957276368491321,11.697987316421896,10.450600801068092,0.9212283044058744,0.0,0.27036048064085444
2025-03-04,50.471603578343014,13.235195940984044,12.95814139795714,11.69876827558582,10.45129848454503,0.9212898057280192,0.0,0.263702516856933
2025-03-26,50.4699188891485,13.234754164024165,12.961046763910677,11.69837778297006,10.450949631162588,0.921259054040522,0.0,0.26369371474348274
2025-04-08,50.47497329416477,13.236079583388971,12.962344772332754,11.699549339030577,10.45199626118307,0.9213513152623849,0.0,0.2537054346374683
2025-04-09,50.47665832081456,13.236521448839927,12.962777499582707,11.699939909864797,10.452345184443331,0.6776831914538474,0.24036054081121683,0.25371390418961776
2025-04-10,50.43793114950964,13.226366001734604,12.95283207685636,11.690963373140303,10.444325838948561,0.6771632530522383,0.44699446260591097,0.1234238441523784
2025-04-22,50.40430362024135,13.217547836522433,12.944196279751981,11.683168877925194,10.437362490832722,0.6767117807853857,0.446696446429762,0.1900126675111674
2025-04-23,50.40262342078069,13.217107236907896,12.947098236607888,11.682779425980867,10.43701456715224,0.6766892229740991,0.44668155605186843,0.19000633354445148
