date,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA INTERNATIONAL CAPITAL CORPORATION,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,ABN AMRO CLEARING HONG KONG LTD,BOCI SECURITIES LTD,DBS BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-04,0.0,0.0,0.0,0.0,61.915887850467286,38.084112149532714,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,63.084112149532714,36.915887850467286,0.0,0.0,0.0,0.0
2024-03-11,0.0,96.22883636213105,0.0,0.0,2.2353769093844433,1.5357867284844973,0.0,0.0,0.0,0.0
2024-03-13,0.0,96.18503806686527,0.0,0.0,2.234359483614697,1.5806024495200264,0.0,0.0,0.0,0.0
2024-03-15,0.0,95.98645635477745,0.0,0.0,2.2297464695680898,1.783797175654472,0.0,0.0,0.0,0.0
2024-03-18,0.0,96.00231271165441,0.0,0.0,2.230114809614273,1.7675724787313125,0.0,0.0,0.0,0.0
2024-03-20,0.0,95.94287836889677,0.0,0.0,2.228734161541954,1.8283874695612694,0.0,0.0,0.0,0.0
2024-03-21,0.0,96.54055400971802,0.0,0.0,2.2426180489222975,1.216827941359691,0.0,0.0,0.0,0.0
2024-03-25,0.0,96.70119389325679,0.0,0.0,2.0841133158617247,1.2146927908814842,0.0,0.0,0.0,0.0
2024-03-26,0.0,97.5534013177221,0.0,0.0,2.102480171219942,0.3441185110579546,0.0,0.0,0.0,0.0
2024-03-27,0.0,97.43073892451486,0.0,0.0,2.0998365396705645,0.4694245358145773,0.0,0.0,0.0,0.0
2024-04-03,0.0,97.51247955031671,0.0,0.0,2.1015982214019044,0.3859222282813876,0.0,0.0,0.0,0.0
2024-04-11,0.0,97.38991997989024,0.0,0.0,2.098956805898865,0.5111232142109011,0.0,0.0,0.0,0.0
2024-04-12,0.0,97.15384293893928,0.0,0.0,2.093868851088728,0.7522882099719981,0.0,0.0,0.0,0.0
2024-04-16,0.0,97.15384293893928,0.0,0.0,2.135662640531617,0.7104944205291094,0.0,0.0,0.0,0.0
2024-04-17,0.0,95.16518606460065,0.0,0.0,2.091947435215131,2.7428665001842223,0.0,0.0,0.0,0.0
2024-04-18,0.0,95.16518606460065,0.0,0.0,2.3457649322471035,2.4890490031522496,0.0,0.0,0.0,0.0
2024-04-19,0.0,95.26268338660766,0.0,0.0,2.348168182935825,2.3891484304565203,0.0,0.0,0.0,0.0
2024-04-23,0.0,95.26268338660766,0.0,0.0,2.233423489877879,2.503893123514466,0.0,0.0,0.0,0.0
2024-04-24,0.0,95.26268338660766,0.0,0.0,2.1965412671092532,2.5407753462830915,0.0,0.0,0.0,0.0
2024-04-25,0.0,96.8825539718263,0.0,0.0,2.0921897140951904,1.0252563140785198,0.0,0.0,0.0,0.0
2024-04-30,0.0,96.89063021007003,0.0,0.0,2.0923641213737914,1.0170056685561855,0.0,0.0,0.0,0.0
2024-05-03,0.0,96.95124494307045,0.0,0.0,2.0936731033907496,0.955081953538808,0.0,0.0,0.0,0.0
2024-05-06,0.0,96.8825539718263,0.0,0.0,2.0921897140951904,1.0252563140785198,0.0,0.0,0.0,0.0
2024-05-09,0.0,96.85429773759427,0.0,0.0,2.187408857964251,0.9582934044414817,0.0,0.0,0.0,0.0
2024-05-13,0.0,96.85429773759427,0.0,0.0,2.1582434065247282,0.987458855881005,0.0,0.0,0.0,0.0
2024-05-16,0.0,96.85429773759427,0.0,0.00416649306278905,2.1582434065247282,0.983292362818216,0.0,0.0,0.0,0.0
2024-05-17,0.0,96.85429773759427,0.0,0.00416649306278905,2.199908337152619,0.9416274321903254,0.0,0.0,0.0,0.0
2024-05-20,0.0,96.42842327954536,0.0,0.004148172729912474,2.3769029742398473,1.19052557348488,0.0,0.0,0.0,0.0
2024-05-21,0.0,96.30857190205909,0.0,0.004143016944939305,2.3739487094502216,1.3133363715457596,0.0,0.0,0.0,0.0
2024-05-23,0.0,96.41642472003318,0.0,0.004147656574035669,2.3766072169224386,1.2028204064703443,0.0,0.0,0.0,0.0
2024-05-27,0.0,97.20563847429518,0.0,0.0041459369817578775,2.3756218905472637,0.41459369817578773,0.0,0.0,0.0,0.0
2024-05-29,0.0,97.34689640855304,0.0,0.004151961801951422,2.3790741125181647,0.26987751712684244,0.0,0.0,0.0,0.0
2024-05-30,0.0,94.9034718360213,0.0,0.003972352427107333,2.5939461349010884,2.4986096766505126,0.0,0.0,0.0,0.0
2024-05-31,0.0,94.9034718360213,0.0,0.003972352427107333,2.792563756256455,2.299992055295146,0.0,0.0,0.0,0.0
2024-06-03,0.0,94.90051233170499,0.0,0.003971563604591127,2.795980777632154,2.299535327058263,0.0,0.0,0.0,0.0
