date,KINGSTON SECURITIES LTD,VMS SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,66.24915590998968,33.75084409001032,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,0.0,56.08775073981583,28.574083768717713,0.0,0.0,15.33816549146646,0.0,0.0
2024-04-03,0.0,0.0,0.0,44.39616003169993,22.6380801088326,0.0,20.8318387566648,12.133921102802676,0.0,0.0
2024-04-09,0.0,0.0,49.979234570597235,22.207299069118882,11.32374094895944,0.0,10.420245199102713,6.069480212221727,0.0,0.0
2024-04-12,0.0,0.0,49.961359692655044,22.19935671538544,11.319691057258401,0.0,10.416518439126053,6.103074095575062,0.0,0.0
2024-04-15,0.0,0.0,42.84315967414871,19.03652323058106,9.69159366307832,8.540868751486732,8.932434294853671,5.2642131531627205,5.69120723268879,0.0
2024-04-17,0.0,0.0,42.94523420809475,19.081878060885206,9.714684044690628,8.322965864110866,8.953715966760821,5.276755227750322,5.704766627707398,0.0
2024-04-19,0.0,0.0,42.94523420809475,19.081878060885206,9.706998507660847,8.322965864110866,8.953715966760821,5.284440764780104,5.704766627707398,0.0
2024-04-24,0.0,0.0,42.94523420809475,19.081878060885206,9.706998507660847,8.322965864110866,8.953715966760821,5.399723820226835,5.589483572260668,0.0
2024-04-25,0.0,0.0,40.83043323888319,18.16496323994477,9.028390868080754,7.923034016174585,8.523475565568717,5.110993498574395,5.320899929054472,5.097809643719127
2024-04-26,0.0,0.0,40.82610393779048,18.166292328520335,9.029051454672647,7.923613726348266,8.524099208669378,5.111367458211914,5.321289247062665,5.098182638724312
