date,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SPRING SECURITIES LTD
2024-03-01,84.71649990190308,0.0,0.0,0.0,0.0,0.0,15.28350009809692,0.0,0.0
2024-03-04,84.72140474789092,0.0,0.0,0.0,0.0,0.0,15.278595252109085,0.0,0.0
2024-03-05,84.72290338401177,0.0,0.0,0.0,0.0,0.0,15.277096615988228,0.0,0.0
2024-03-06,47.14277917257942,0.0,44.397445693701556,0.0,0.0,0.0,8.459775133719026,0.0,0.0
2024-03-07,45.953619189131814,0.0,43.1675864996816,0.0,0.0,0.0,8.225429845043514,2.6533644661430693,0.0
2024-03-08,19.69112187933917,57.19799370908781,18.440873926719377,0.0,0.0,0.0,3.5365127943551817,1.1334976904984555,0.0
2024-03-11,19.699313737157365,57.19215926284831,18.438992876693696,0.0,0.0,0.0,3.5361520545383454,1.1333820687622902,0.0
2024-03-12,19.679690907957873,57.189392523099755,18.43335202841653,0.0,0.0,0.0,3.5350702765172755,1.1624942640085658,0.0
2024-03-13,17.64971923673044,51.29913357217267,16.53479685951673,10.329039306857739,0.0,0.0,3.1709733973626038,1.0163376273598088,0.0
2024-03-15,17.64953985781581,51.299628532372566,16.53462881186257,10.328934330011636,0.0,0.0,3.170941169894353,1.0163272980430618,0.0
2024-03-18,17.653724396205224,51.297021804194166,16.5337886248266,10.328409477786755,0.0,0.0,3.170780042378695,1.016275654608556,0.0
2024-03-20,17.654319106465326,51.30967437182867,16.52673442333186,10.324002824040917,0.0,0.0,3.1694272174562297,1.0158420568769968,0.0
2024-03-25,17.64923989618094,51.31475358211305,16.52673442333186,10.324002824040917,0.0,0.0,3.1694272174562297,1.0158420568769968,0.0
2024-03-26,17.644758824156686,51.3271145731246,16.522538350996037,10.32138160066216,0.0,0.0,3.1686225124536005,1.0155841386069233,0.0
