date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CAITONG INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CHINA GALAXY INTERNATIONAL SECURITIES
2024-03-01,43.25582183599147,20.20984896892677,15.624071684819516,2.935850646077887,0.0,10.792530392593456,0.0,2.2583908170562363,4.923485654534661,0.0
2024-03-04,43.404478974112244,20.362505432144992,15.566795911917088,2.942563946482043,0.0,10.71679101189231,0.0,2.0202122024729636,4.9866525209783585,0.0
2024-03-05,42.638564782710084,19.824278802601523,15.156762326204515,2.8721766062660086,0.0,10.348774653479364,0.0,1.8066594302443433,4.822962538809692,2.529820859684474
2024-03-06,42.84314004168144,19.84263761302527,15.042924801169836,2.8682671218706686,0.0,10.258505096855407,0.0,1.7813593885919516,4.823952876747606,2.539213060057825
2024-03-07,42.93973702511782,19.87798224518543,15.02121774517545,2.8685430577033357,0.0,10.17665577370349,0.0,1.7143370297114702,4.824416955369727,2.577110168033276
2024-03-08,42.89883053793658,19.94149865022669,15.038037627939218,2.8692522024629077,0.0,10.119665412592846,0.0,1.7145951248774758,4.840373177538633,2.5777472664256442
2024-03-11,43.22448518180647,19.79569892876954,14.97897236538637,2.8612215174494176,0.0,9.940814357485186,0.0,1.7212284504208044,4.869490005967764,2.608089192714446
2024-03-12,43.20461611829049,19.770097563316664,14.984046601710787,2.8546182750665565,0.0,9.836937237696537,0.0,1.931028759402322,4.816585305199701,2.6020701393169423
2024-03-13,43.17645485075049,19.8605452377786,14.909169786459502,2.856870545664674,0.0,9.788449081089974,0.0,1.9460521862019604,4.858335160564494,2.604123151490308
2024-03-14,43.17698516294837,19.688023403192688,14.798692627856408,2.848565542654925,0.0,9.656072998363342,0.0,2.3138007801279303,4.912826489384776,2.6050329954715625
2024-03-15,32.246229981327694,14.607778782572398,10.789530691236973,2.110730249791483,9.461984321145696,7.077684129318184,16.579416978924712,1.6093612131846835,3.5870061626841228,1.9302774898140505
2024-03-18,32.84431076239751,14.197848795945244,10.501941643355753,8.53392851098719,9.495451560820255,7.1027180485318695,10.222326165768035,1.6557237235597408,3.514224764188773,1.9315260244456258
