date,UOB KAY HIAN (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HAO TIAN INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CEPA ALLIANCE SECURITIES LTD,CENTRAL WEALTH SECURITIES INVESTMENT LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,17.071190843412616,46.88692263982466,36.04188651676272,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,17.084652219787355,46.87931174417661,36.03603603603604,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,17.07792207792208,46.883116883116884,36.038961038961034,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,17.084652219787355,46.87931174417661,36.03603603603604,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,15.304733939697773,41.366468523956165,31.798324142376277,0.0,11.530473393969777,0.0,0.0
2024-03-27,0.0,0.0,15.18932874354561,41.422834193918526,31.841652323580032,0.0,11.546184738955825,0.0,0.0
2024-03-28,0.0,0.0,15.193231519323152,41.428264142826414,31.83480318348032,0.0,11.543701154370115,0.0,0.0
2024-04-03,0.0,0.0,15.253994411406463,41.39858135702515,31.811993981514654,0.0,11.535430250053738,0.0,0.0
2024-04-05,0.0,0.0,15.26006591202178,41.39561541768161,31.809714858862304,0.0,11.534603811434303,0.0,0.0
2024-04-09,0.0,0.0,15.308606616067594,41.371903193469855,31.791493627380785,0.0,11.52799656308177,0.0,0.0
2024-04-10,0.0,0.0,15.302542069459363,41.37486573576799,31.793770139634802,0.0,11.528822055137844,0.0,0.0
2024-04-11,0.0,0.0,15.326795046173668,41.36301811153268,31.784666046245256,0.0,11.525520796048392,0.0,0.0
2024-04-12,0.0,0.0,15.32073310423826,41.365979381443296,31.78694158075601,0.0,11.526345933562428,0.0,0.0
2024-04-15,0.0,0.0,15.253994411406463,41.39858135702515,31.811993981514654,0.0,11.535430250053738,0.0,0.0
2024-04-16,0.0,0.0,15.229699706156383,41.4104493657278,31.821113738980866,0.0,11.538737189134952,0.0,0.0
2024-04-17,0.0,0.0,15.03483945118885,41.505638962718194,31.89426046979384,0.0,11.565261116299116,0.0,0.0
2024-04-18,0.0,0.0,15.010418912121864,41.51756844147446,31.90342746281526,0.0,11.568585183588418,0.0,0.0
2024-04-19,0.0,0.0,14.985984331201035,41.529504779702435,31.91259972687415,0.0,11.571911162222381,0.0,0.0
2024-04-22,0.0,0.0,14.942528735632186,41.508620689655174,31.896551724137932,0.0,11.652298850574713,0.0,0.0
2024-04-23,0.0,0.0,14.948638747216435,41.505638962718194,31.89426046979384,0.0,11.651461820271532,0.0,0.0
2024-04-24,0.0,0.0,14.930306078459548,41.51458542894094,31.90113522057767,0.0,11.653973272021842,0.0,0.0
2024-04-25,0.0,0.0,14.777225941121428,41.5892895702872,31.958540272079468,0.0,11.674944216511912,0.0,0.0
2024-04-26,0.0,0.0,14.64205897195588,41.655251964530315,32.009227885516545,0.0,11.69346117799726,0.0,0.0
2024-04-29,0.0,0.0,14.617437080839402,41.667267613759286,32.01846109468522,0.0,11.696834210716087,0.0,0.0
2024-04-30,0.0,0.0,14.668974469926438,41.61257752776576,32.02077022933795,0.0,11.697677772969854,0.0,0.0
2024-05-03,0.0,0.0,14.662820050486838,41.61557879552831,32.02307969707898,0.0,11.698521456905878,0.0,0.0
