date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,52.48892833333333,11.027846666666667,8.61657,7.370255897435897,6.814003974358974,3.875132179487179,2.9744732051282052,5.561670384615384,0.0
2024-03-04,52.50859294871795,10.971072307692307,8.560441794871796,7.378459102564102,6.732970384615385,3.8763629487179485,2.981897564102564,5.56256782051282,0.0
2024-03-05,52.48401102564103,10.914916666666667,8.47830076923077,7.415312692307692,6.64629076923077,3.8794911538461543,2.9778060256410255,5.563654487179487,0.0
2024-03-06,52.40516743589744,10.901709871794871,8.493646923076923,7.435796282051283,6.660236282051282,3.879811666666667,2.952979230769231,5.566601666666666,0.0
2024-03-07,52.411262948717955,10.866090128205128,8.513711025641026,7.474863076923077,6.622502051282051,3.886696282051282,2.948222564102564,5.567163205128205,6.913508333333334
2024-03-08,52.42149038461539,10.89509153846154,8.547800769230768,7.480100897435897,6.619008974358974,3.8850808974358975,2.9484905128205128,5.567115769230769,0.0
2024-03-11,52.40884371794871,10.823353076923077,8.542685384615385,7.510830897435898,6.636200128205129,3.891106538461538,2.953041794871795,5.569274743589744,0.0
2024-03-12,52.238988846153845,10.695228717948718,8.515852051282051,7.522748205128204,6.602823205128205,3.8914911538461534,3.047363333333333,5.570774487179487,0.0
2024-03-13,52.183887948717945,10.617953076923078,8.552775128205129,7.447814871794872,6.5943046153846145,3.8878002564102565,3.052933076923077,5.572271923076923,6.913739102564103
2024-03-14,52.02393974358974,10.630812051282051,8.700493076923077,7.417649230769231,6.551629102564102,3.8802233333333334,3.059097564102564,5.575155,0.0
2024-03-15,52.24673166666667,10.587474230769232,8.837159743589744,7.37606641025641,6.576559871794872,3.895569487179487,3.0647565384615385,5.574937051282052,0.0
2024-03-18,52.301578974358975,10.70619794871795,8.936889487179487,7.377208461538462,6.532656923076923,3.8919284615384617,2.963899230769231,5.57593141025641,0.0
2024-03-19,52.53357653846153,10.814521794871796,8.995992051282052,7.3918956410256405,6.498741923076922,3.8909985897435897,2.949616282051282,5.5763673076923075,0.0
2024-03-20,52.28330538461539,10.886646153846154,9.03896641025641,7.4146010256410255,6.50383423076923,3.8913191025641023,3.092425256410256,5.576744230769231,6.9133288461538465
2024-03-21,51.91280564102564,10.884872564102563,9.126325384615384,7.448451666666667,6.446314999999999,3.8958832051282055,3.0943752564102565,5.577192948717949,6.913226282051283
2024-03-22,51.979092179487175,10.863701153846154,9.159120256410258,7.458919871794873,6.427554615384615,3.896190897435897,3.084303205128205,5.579750512820513,0.0
2024-03-25,51.9553476923077,11.191329230769231,9.144197179487179,7.465896282051282,6.117257179487179,3.896460128205128,3.0818544871794873,5.580444102564103,0.0
2024-03-26,52.01520346153846,11.167856794871794,9.141158717948718,7.486105769230769,6.129856666666667,3.899331923076923,3.086378717948718,5.581931794871795,0.0
2024-03-27,51.76084371794871,11.14395346153846,9.143664102564102,7.605293205128206,5.946595384615384,3.9072934615384614,3.1103808974358977,5.583446153846154,0.0
2024-03-28,51.704880256410256,11.18116423076923,9.140279487179487,7.620602307692308,5.88702782051282,3.9093319230769232,3.0909139743589744,0.0,0.0
2024-04-02,51.85606282051282,11.134761153846155,9.157882051282051,7.654279871794873,5.887519358974359,3.91176782051282,3.0991215384615383,0.0,0.0
2024-04-03,51.86361269230769,11.204894102564102,9.161131923076923,7.685405256410256,5.80234,3.9149729487179483,3.100879743589744,0.0,0.0
2024-04-05,51.63468538461539,10.867331923076923,9.166708846153846,7.686994487179486,5.811293717948718,3.9121139743589746,3.1142173076923076,5.584233333333334,0.0
2024-04-08,51.636021666666664,10.891529358974358,9.181313461538462,7.711488076923077,5.783692564102564,3.9152678205128204,3.099050384615385,5.58565641025641,0.0
2024-04-09,51.58085333333333,10.75337423076923,0.0,7.753740897435897,5.723684743589744,3.9282678205128208,3.169047435897436,5.590644871794872,0.0
2024-04-10,51.55111794871795,10.837385897435897,9.239084230769231,7.769436923076924,5.729978974358974,3.9276011538461537,3.1461071794871796,5.595038461538461,0.0
2024-04-11,51.527551410256414,10.805086666666666,9.34457141025641,7.759746025641026,5.737892564102564,3.9263460256410254,3.145047564102564,5.595692307692308,0.0
