date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD
2024-03-14,0.0,0.0,0.0,0.0,100.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,100.0,0.0
2024-05-14,0.0,0.0,0.0,52.06085753803597,47.93914246196404,0.0
2024-06-26,0.0,0.0,47.0407266334603,27.57105186053326,25.38822150600645,0.0
2024-09-03,51.96002533605461,0.0,22.598353156450138,13.245126328383419,12.196495179111832,0.0
2024-09-17,52.00394449531591,0.0,22.61745439177291,13.17179685849123,12.206804254419948,0.0
2024-09-26,41.4588948787062,20.221248876909254,18.03122192273136,10.500898472596585,9.787735849056604,0.0
2024-09-27,41.45231944288442,20.223520161743235,18.03324722003819,10.502077951252387,9.788835224081769,0.0
2024-09-30,5.121057398096266,2.497738332630613,2.2278438294658054,1.2974363005609018,1.209321642715322,0.0
2024-10-09,41.43602986582833,20.209959018694214,18.071071689215742,10.497950934710605,9.784988491551113,0.0
2024-10-10,41.45464757090705,20.219039595619208,18.034260039314802,10.502667789946644,9.789385004212301,0.0
2024-10-15,41.41340374136285,20.223582944778386,18.038312454356497,10.505027807426549,9.819673052075727,0.0
2024-10-18,41.423275668389124,20.22017524151876,18.03527297236576,10.503257694900023,9.81801842282633,0.0
2024-11-12,41.43587438907927,20.212347620920173,18.038312454356497,10.505027807426549,9.808437728217516,0.0
2024-11-13,41.48518185900315,20.19533004041311,18.02312528064661,10.49618320610687,9.800179613830265,0.0
2024-11-18,41.776040212231216,20.09494554593689,17.93353811784418,10.444010053057804,9.751466070929908,0.0
2024-11-26,42.21409169022673,19.94567326348467,17.800321525583456,10.366428294251344,9.673485226453794,0.0
2024-12-12,42.20768420469036,19.94788490325442,17.802295281920497,10.367577756833176,9.674557853301547,0.0
2024-12-17,42.16600088770528,19.962272525521527,17.815135375055483,10.375055481580116,9.681535730137595,0.0
2025-01-14,42.18004218004218,19.96891996891997,17.82106782106782,10.378510378510379,9.651459651459652,0.0
2025-01-21,42.915068493150685,19.715068493150685,17.594520547945205,10.246575342465754,9.52876712328767,0.0
2025-02-04,42.91194038029481,19.71614883007288,17.59548468409228,10.24713682941531,9.52928927612472,0.0
2025-02-06,42.55624172915748,19.838994265549186,17.705116894574328,10.310983678870754,9.588663431848257,0.0
2025-02-07,42.31131291876626,19.923583808627278,17.780608007087878,10.354947671521126,9.629547593997453,0.0
2025-02-13,42.16720328633286,19.97335405795492,17.825024980570667,10.380814921727545,9.653602753414011,0.0
2025-02-14,42.15435868961688,19.977790116601888,17.828983897834537,10.383120488617434,9.655746807329262,0.0
2025-02-25,42.07395051431749,20.005560189046427,17.853767028078956,10.397553516819572,9.669168751737558,0.0
2025-02-27,42.04172461752434,20.016689847009737,17.863699582753824,10.403337969401948,9.674547983310152,0.0
2025-03-07,42.006234691605435,20.028946782453797,17.874638165219327,10.409708305499889,9.680472055221555,0.0
2025-03-10,41.99008853499638,20.034523080349686,17.879614677877388,10.4126064925664,9.683167214210146,0.0
2025-03-19,41.973933385318034,20.0401024841261,17.884593962348223,10.415506293862093,9.68586387434555,0.0
2025-03-20,41.7337807606264,20.123042505592842,17.9586129753915,10.458612975391498,9.725950782997762,0.0
2025-04-11,41.701175153889196,20.134303301622833,17.968662562954673,10.46446558477896,9.731393396754337,0.0
2025-04-17,41.68812269114519,20.138811149669763,17.972685547968208,10.466808463002351,9.733572148214485,0.0
2025-04-22,41.822981017634504,20.206671908345502,18.03324722003819,10.502077951252387,9.435021902729417,0.0
2025-04-23,41.8066400764002,20.212347620920173,18.038312454356497,10.505027807426549,9.43767204089658,0.0
2025-05-02,38.85574342808014,18.747883177448347,16.731365448245317,9.743897037751088,8.75387541359456,7.167235494880546
