date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),HANG SENG BANK LTD,DAH SING SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HO FUNG SHARES INVESTMENT LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,77.72347037413141,0.0,0.0,0.0,0.0,0.0,22.276529625868587
2024-03-06,0.0,0.0,77.76035957805755,0.0,0.0,0.0,0.0,0.0,22.239640421942447
2024-03-19,57.080195543900714,0.0,33.37459427526197,0.0,0.0,0.0,0.0,0.0,9.545210180837312
2024-03-21,57.04966911533552,0.0,33.39833173588061,0.0,0.0,0.0,0.0,0.0,9.551999148783874
2024-03-25,57.05067206415987,0.0,33.40308328052785,0.0,0.0,0.0,0.0,0.0,9.546244655312279
2024-03-26,57.024157813220356,0.0,33.429240961910125,0.0,0.0,0.0,0.0,0.0,9.546601224869516
2024-03-27,56.818836619257084,0.0,33.66774797522454,0.0,0.0,0.0,0.0,0.0,9.513415405518376
2024-04-02,56.82689952606393,0.0,33.672525614656685,0.0,0.0,0.0,0.0,0.0,9.500574859279387
2024-04-03,56.83899817782901,0.0,33.679694616746545,0.0,0.0,0.0,0.0,0.0,9.481307205424443
2024-04-05,56.80674654816651,0.0,33.717326137302784,0.0,0.0,0.0,0.0,0.0,9.475927314530711
2024-04-10,54.73273873840719,0.0,32.418498212950006,0.0,0.0,0.0,3.7301860009530277,0.0,9.118577047689776
2024-04-12,54.701821453137754,0.0,32.440639865202044,0.0,0.0,0.0,3.7327336970469673,0.0,9.12480498461323
2024-04-16,54.56393406892987,0.0,32.610937365363476,0.0,0.0,0.0,3.7233245609019963,0.0,9.101804004804663
2024-04-23,54.505044569055194,0.0,32.65320426837404,0.0,0.0,0.0,3.728150346690652,0.0,9.113600815880107
2024-04-25,54.4938925724128,0.0,32.666983749627825,0.0,0.0,0.0,3.727387549036281,0.0,9.1117361289231
2024-04-29,54.4938925724128,0.0,32.660163587854676,0.0,0.0,0.0,3.734207710809427,0.0,9.1117361289231
2024-04-30,54.48768454533137,0.0,32.66461914759157,0.0,0.0,0.0,3.7347171383106317,0.0,9.112979168766426
2024-05-09,54.512506496273815,0.0,32.646804198694,0.0,0.0,0.0,3.7326802618154464,0.0,9.10800904321674
2024-05-13,54.48768454533137,0.0,32.66461914759157,0.0,0.0,0.0,3.7347171383106317,0.0,9.112979168766426
2024-05-21,54.462835489547636,0.0,32.682453549890035,0.0,0.0,0.0,3.7367562390151168,0.0,9.117954721547218
2024-06-03,54.531083653631065,0.0,32.6142053858066,0.0,0.0,0.0,3.7367562390151168,0.0,9.117954721547218
2024-06-07,54.534805553988775,0.0,32.6096061151471,0.0,0.0,0.0,3.7370112831743527,0.0,9.118577047689776
2024-06-18,54.53852796244156,0.0,32.605006216618335,0.0,0.0,0.0,3.7372663621509314,0.0,9.119199458789163
2024-06-24,42.44720638476511,0.0,25.37639866272969,22.17023823232495,0.0,0.0,2.9087055062855263,0.0,7.097451213894719
2024-07-12,42.4946141127658,0.0,25.293054299320687,22.194999358282246,0.0,0.0,2.9119541327846674,0.0,7.105378096846601
2024-07-29,42.5036561650877,0.0,25.298436184181394,22.199722035489042,0.0,0.0,2.912573741696934,0.0,7.085611873544936
2024-08-02,42.52627813966157,0.0,25.311900921847595,22.211537526031393,0.0,0.0,2.9141239182011223,0.0,7.036159494258312
2024-08-21,42.53533367345485,0.0,25.29599685888359,22.216267244630497,0.0,0.0,2.9147444509346103,0.0,7.037657772096452
2024-09-03,42.52921476697431,0.0,25.298690406919388,22.218632859369198,0.0,0.0,2.9150548164139574,0.0,7.038407150323148
2024-09-11,32.91457689676457,22.60713705364695,19.57938079384929,17.195636077404966,0.0,0.0,2.2560443788783173,0.0,5.447224799455907
2024-09-13,32.88747470798683,22.6708631039073,19.56325893768536,17.18147702026184,0.0,0.0,2.2541867295808924,0.0,5.442739500577764
2024-09-19,32.85771380412867,22.740840657034553,19.545555533165363,17.16592896464853,0.0,0.0,2.2521468455480482,0.0,5.437814195474835
2024-09-20,32.76068996723811,23.133022331992162,19.48784047717303,17.115240584383564,0.0,0.0,2.245496598075,0.0,5.257710041138136
2024-09-23,32.749944899272826,23.158233672173168,19.481448726247358,17.109627014476906,0.0,0.0,2.244760105235983,0.0,5.255985582593756
2024-09-24,32.71641194500272,23.236912627030364,19.46150150095394,17.092108318124296,0.0,0.0,2.2424616757825055,0.0,5.250603933106175
2024-09-25,32.71239260450497,23.246343275670235,19.45911057858564,17.09000848507199,0.0,0.0,2.242186180503767,0.0,5.249958875663402
2024-09-30,32.69907982112928,23.291275610439452,19.440570794353192,17.080915167377476,0.0,0.0,2.240993149424386,0.0,5.247165457276206
2024-10-03,32.6870390354885,23.3236135178074,19.433412190901663,17.07462546016847,0.0,0.0,2.236076502652245,0.0,5.245233292981723
2024-10-04,32.726614500114394,23.289929058012767,19.432617115938587,17.073926889733492,0.0,0.0,2.2318937403070715,0.0,5.245018695893689
2024-10-07,32.72386204612566,23.290881952796592,19.433412190901663,17.07462546016847,0.0,0.0,2.231985057025894,0.0,5.245233292981723
2024-10-08,32.75137645479387,23.281356512368788,19.42546436777893,17.06764232711333,0.0,0.0,2.2310722259557982,0.0,5.2430881119892865
2024-10-09,32.756735158341336,23.2974370778534,19.400009626444973,17.070434894797057,0.0,0.0,2.2314372687706667,0.0,5.243945973792566
2024-10-16,32.79293720711169,23.28550496682584,19.40982937754837,17.04672715726,0.0,0.0,2.2283382071811735,0.0,5.236663084072923
2024-10-17,32.79561645194778,23.287407436511433,19.411415197226578,17.048119907028646,0.0,0.0,2.2285202666166226,0.0,5.228920740668943
2024-10-18,32.56705464899126,23.40039357032878,19.48989501121356,17.073926889733492,0.0,0.0,2.2318937403070715,0.0,5.2368361394258365
2024-10-21,31.9320830003417,24.13781148115585,19.444549765176582,17.034202642107385,0.0,0.0,2.226701009883209,0.0,5.224652101335279
2024-10-23,31.929304518293357,24.13879676877508,19.445343477322364,17.034897965665603,0.0,0.0,2.2267919021722005,0.0,5.224865367771395
2024-10-28,31.88481793632036,24.154572317321843,19.458051689872207,17.046030867707938,0.0,0.0,2.228247188618031,0.0,5.228280000159626
2024-10-30,31.77334667160953,24.19410154771051,19.48989501121356,17.073926889733492,0.0,0.0,2.2318937403070715,0.0,5.2368361394258365
2024-11-18,31.887600051151725,24.153585741468216,19.457256939971288,17.045334635034745,0.0,0.0,2.2281561774900625,0.0,5.228066454883957
2024-11-19,31.891507807139906,24.144290928468024,19.459641384463776,17.047423503697914,0.0,0.0,2.2284292331804,0.0,5.228707143049981
2024-11-21,28.742776631262444,21.760462543003527,17.538340583347736,15.364287222431766,0.0,9.873259034721835,2.008410642583034,0.0,4.712463342649652
