date,DBS BANK LTD,THE HONGKONG AND SHANGHAI BANKING,PRIME CHINA SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CLSA LTD,GOLDEN RICH SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD
2024-03-01,41.17558431850398,34.466756400830484,0.0,24.357659280665537,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,38.43295177440379,32.31243219646835,0.0,22.582108739543063,0.0,0.0,0.0,0.0,0.0,6.672507289584799
2024-03-05,38.43127184455816,32.318428700565576,0.0,22.584069733245055,0.0,0.0,0.0,0.0,0.0,6.666229721631203
2024-03-06,30.165199090842194,25.151367908015175,0.0,17.553647649455137,13.346281554464372,0.0,0.0,0.0,8.602580095365738,5.180923701857382
2024-03-07,30.170050746357013,25.154088359757836,0.0,17.562554941294692,13.338174645495274,0.0,0.0,0.0,8.59735464485745,5.177776662237738
2024-03-08,30.196658925713805,25.14019949043183,0.0,17.567549783970602,13.329460309334568,0.0,0.0,0.0,8.59173766648827,5.174393824060925
2024-03-11,31.228819779983947,25.168797947191614,0.0,17.580406535617843,12.300853256537597,0.0,0.0,0.0,8.572163056211497,5.14895942445751
2024-03-12,22.872308710043047,18.41011682849753,20.410629058193457,12.885531922469259,9.004819084860861,0.0,0.0,6.380358713382241,6.2748608723673,3.761374810186306
2024-03-13,22.860200043036325,18.441362235061742,20.39847950618594,12.894806648229215,8.999458911125997,0.0,0.0,6.376560765764172,6.270749169261294,3.7583827213353134
2024-03-14,22.831941463007468,18.486895771942763,20.373263975940915,12.980034503501766,8.992847311117862,0.0,0.0,6.368678395865003,6.2404323032117635,3.7259062754124592
2024-03-15,22.756103457295804,18.63680862485999,20.324260310560913,13.055097499337753,8.971548107743477,0.0,0.0,6.35359443283453,6.215896951031633,3.6866906163358983
2024-03-18,21.100496937907405,17.24715258272365,18.845581065888936,12.181471941387105,8.318828560916817,7.271612508666543,0.0,5.8913425194394815,5.760879932644289,3.3826339504257756
2024-03-19,20.957435450672932,17.225334854948215,18.717807920876396,12.672779911414745,8.297326544814174,7.222310935194415,0.0,5.85139918421288,5.714910305166933,3.3406948926993105
2024-03-20,21.030504243449748,16.662635366360384,18.783068178097555,12.879587949692015,8.326255448607371,7.360357652069428,0.0,5.871800281257985,5.731368067137902,3.35442281332761
2024-03-21,21.035901891662608,16.649917040921363,18.78788900375204,12.882199929216137,8.328392449095887,7.362246747112837,0.0,5.87330732606906,5.732145398484905,3.3480002136851685
2024-03-22,20.220924544438667,16.075896230193344,18.060004645901692,12.383781818988036,8.005732112507502,7.077017031055444,3.8028539038951807,5.645762415055389,5.510069412638503,3.217957885326244
2024-03-25,20.224161038354328,16.069799548190023,18.062895270166912,12.390432245550945,8.007013483357566,7.078149754859033,3.794459388161692,5.646666057006352,5.5076168219897195,3.2188063923634296
2024-03-26,20.225037767092605,16.06015874141982,18.063678306820435,12.400973353493567,8.00736059188856,7.078456596625776,3.794623880107019,5.646910843150916,5.503853989973182,3.21894592942812
2024-03-27,20.226656542944543,16.061110675254877,18.065124091326602,12.397963994643776,8.00800148670978,7.079023143632488,3.794927595015987,5.647362811795731,5.5009595831209745,3.218870075555238
2024-03-28,20.238738091271532,16.009972210985616,18.075914538540605,12.410041084962007,8.01278473186742,7.083251502384519,3.797194336483578,5.650736028055467,5.500908434067225,3.220459041382031
