date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD,CMB WING LUNG BANK LTD,DBS VICKERS (HONG KONG) LTD
2024-03-01,54.14904901691807,13.271013742585271,10.829205030125658,8.248049215837822,3.895409728599195,2.5990598379985554,2.516282324642157,1.8131520800952747,1.6750458222271254,1.0037332009708644
2024-03-04,54.357128600066815,13.327948402050533,10.47905316774211,8.273079267915431,3.910982973740671,2.610852328266044,2.5283819539315378,1.825338509935158,1.6804961453267624,1.0067386510249312
2024-03-05,54.34287898985386,13.323505061528106,10.525954152544617,8.270110819181857,3.9191615797862114,2.561195399363973,2.5298443614909623,1.8397817706214743,1.6818533470869816,1.0057145185419594
2024-03-06,54.1749602658773,13.394700276682844,10.499288500793154,8.287417429637625,3.956328302167006,2.5802792006696875,2.5408552556558788,1.8698033052866632,1.6894522803449237,1.0069151828849128
2024-03-07,54.11305349107253,13.469600524135487,10.49888179082443,8.299835107576772,3.9554408303415056,2.492861554195622,2.5509459335282236,1.912925366772894,1.6966592877888813,1.0097961137636564
2024-03-08,54.08953602572082,13.461698396907929,10.520262420241364,8.293554879137309,3.9605701622555154,2.5040508238143047,2.5491163715181373,1.9172787118100842,1.6950635851634828,1.0088686234310584
2024-03-11,54.068471228122775,13.466801616134557,10.55302811806075,8.288407985980765,3.9575206079426195,2.488302117183895,2.5493415877846934,1.9242346445750416,1.6956883533092677,1.008203740905644
2024-03-12,54.082210134285724,13.484414972644302,10.562114995118876,8.278201400802695,3.954525551597125,2.4560762371888334,2.5491387472269014,1.925502206944718,1.700425194308173,1.00739055988265
2024-03-13,54.040665520978,13.487516890319812,10.612522088220059,8.28439959503053,3.9401677781015896,2.4570619711782498,2.551744484954399,1.9196829701904148,1.6984457565626225,1.0077929444643172
2024-03-14,54.06720638888396,13.499391309891132,10.60448997087758,8.286951144026702,3.9012089438557203,2.496091240956684,2.549317815229986,1.912689541582836,1.679945284430629,1.0027083602647764
2024-03-15,54.125501413724976,13.494603789750165,10.51571565359935,8.278066199140623,3.901760100993743,2.5353654579244425,2.5490029691962226,1.9129291067358807,1.6858441562243451,1.001211152710257
2024-03-18,54.096151263895976,13.50251409848159,10.534835171291542,8.272795534836487,3.9112131983379936,2.5135925594415123,2.5484119968475216,1.930794577819069,1.6894964371619476,1.0001951618863643
2024-03-19,54.03078805352784,13.534055670969991,10.627553964176704,8.272501311278045,3.9181225876734054,2.427956507662334,2.55005383341552,1.943240249655825,1.6956130559570424,1.00011476568329
2024-03-20,53.79116082421804,13.545065073195744,10.621025046072544,8.273731320439055,3.9185684806559506,2.428157184643125,2.552753940273185,1.943731443909646,1.69607925068362,1.2297274359090822
2024-03-21,53.79631867451432,13.559345886576683,10.652630963980975,8.273534648233744,3.907201628662485,2.3824422169217594,2.553761027109349,1.9489774386142384,1.6961652483876228,1.2296222669988264
2024-03-22,53.6674772347753,13.553403578150396,10.622482258803402,8.265802459746464,3.899588160362704,2.5714456602475204,2.5514499092048646,1.9466001221734257,1.693277516312952,1.2284731002229765
