date,REALORD ASIA PACIFIC SECURITIES LTD,TUNG WUI SECURITIES CO LTD,THE BANK OF EAST ASIA LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,TUNG TAI SECURITIES CO LTD,HANG SENG SECURITIES LTD
2024-03-04,80.21728666712508,0.0,0.0,0.0,19.782713332874923,0.0,0.0
2024-03-25,65.37405435696273,0.0,18.50378257214906,0.0,16.122163070888202,0.0,0.0
2024-04-24,56.45567169957414,0.0,15.979481223383662,13.642082849399923,13.922764227642276,0.0,0.0
2024-05-10,56.487257604332896,0.0,15.967890130083658,13.63218724309686,13.912665022486582,0.0,0.0
2024-07-30,56.500919028731744,0.0,15.947566992357551,13.635484183031826,13.916029795878881,0.0,0.0
2024-08-07,56.52005612812696,0.0,15.91909807906324,13.640102578990662,13.920743213819131,0.0,0.0
2024-08-20,56.52826171118854,0.0,15.906891211769262,13.642082849399923,13.922764227642276,0.0,0.0
2024-08-29,56.550154918667694,0.0,15.874322230828817,13.647366382649109,13.928156467854377,0.0,0.0
2024-09-03,48.260618079656254,0.0,13.54734754586019,13.609320773425878,11.886465047099653,12.696248553958023,0.0
2024-09-13,49.07158460762897,0.0,13.774995799025374,13.838010418417074,12.086203999327843,11.22920517560074,0.0
2024-09-30,49.06127934814566,0.0,13.793103448275861,13.83510437229619,12.083665840648495,11.226846990633794,0.0
2024-10-02,34.589872668048564,29.49659461060112,9.724607639917087,9.754219721646432,8.51939591353272,7.9153094462540725,0.0
2024-10-03,34.589872668048564,29.511400651465795,9.709801599052414,9.754219721646432,8.51939591353272,7.9153094462540725,0.0
2024-10-04,34.58270420700477,29.50528466115996,9.728513485507891,9.752198241406875,8.517630340172307,7.913669064748201,0.0
2024-10-17,34.57758569652478,29.50091764845184,9.741874370966787,9.750754839855544,8.516369664318276,7.912497779882778,0.0
2024-11-01,34.55201585470465,29.479101961132308,9.808619516668147,9.743544236400746,8.510071878605023,7.90664655248913,0.0
2024-11-29,34.56939923054158,29.44362237348328,9.813554306007696,9.748446285883396,8.514353358981948,7.910624445102102,0.0
2024-12-04,32.293826546128116,27.50546017527854,9.167565176522627,9.10674297088828,7.953885709546321,7.389897984573277,6.582621437062841
2024-12-12,31.610424052174384,29.053121532757824,8.9600303087706,8.914025924823424,7.785565448001515,7.2335128406354015,6.443319892836846
2024-12-13,31.438568160409098,29.43883730318934,8.911317453909298,8.865563181267662,7.743237787646347,7.1941865159467095,6.408289597631543
2024-12-18,31.415738798343284,29.49007584314991,8.904846431068798,8.859125383249959,7.737614974987897,7.188962401161852,6.4036361680382985
2024-12-19,31.210088973201167,29.951639190958403,8.846554626339275,8.80113287199081,7.686963956501991,7.1419029043204105,6.361717476687953
2025-01-06,31.122775231802198,30.147607375039964,8.821805392731536,8.776510710860066,7.665458808483427,7.121922626025791,6.343919855057018
2025-01-07,31.04089713268316,30.35529217932024,8.798596901490791,8.753421381307964,7.645292445058595,7.10318620286466,6.303313757274587
2025-01-08,30.914384014820694,30.707952891359003,8.749503771337833,8.717745136959111,7.614132592298531,7.074235807860261,6.222045785364562
2025-01-09,30.77024392813866,31.03103103103103,8.708708708708707,8.677098150782362,7.57863126284179,7.0412517780938835,6.193035140403561
2025-01-10,30.608180698582398,31.394282420145164,8.662840971621728,8.631396902759217,7.538715509786967,7.004166339124282,6.160417157980243
2025-02-18,32.32957847831502,27.535910990562122,9.150037364036423,9.116824887215964,7.962691317705017,7.398079211757216,6.506877750408237
2025-03-21,32.318844589547076,27.559970118695183,9.146999418974628,9.113797969177988,7.960047588744709,7.39562294220181,6.504717372658606
