date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,DBS BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-01,0.0,89.5990855993684,0.0,10.400914400631596,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,87.87963818186778,0.0,12.120361818132217,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,87.87254867553413,0.0,12.127451324465866,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,59.54307036886792,35.547950935468236,0.0,4.908978695663841,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,59.23614382163605,35.36002512168315,0.0,4.883027162819909,0.0,0.5208038938608887,0.0,0.0,0.0,0.0
2024-03-14,59.2377139268331,35.36002512168315,0.0,4.883027162819909,0.0,0.5192337886638405,0.0,0.0,0.0,0.0
2024-03-18,59.40839217646692,35.18215334624758,0.0,4.858464037992876,0.0,0.516621883396863,0.0,0.034368555895769544,0.0,0.0
2024-03-19,59.41859902136718,35.173306720018246,0.0,4.857242367023229,0.0,0.5164919777410231,0.0,0.03435991385032509,0.0,0.0
2024-03-21,59.418662401879175,35.173251785931825,0.0,4.857234780924656,0.0,0.5164911710777439,0.0,0.03435986018660528,0.0,0.0
2024-03-25,61.14103414652953,33.304632921193274,0.0,4.995799351991814,0.0,0.5312253523163,0.0,0.027308227969087086,0.0,0.0
2024-03-26,61.265477812666624,33.19797669581425,0.0,4.97980058380556,0.0,0.5295241328181668,0.0,0.027220774895400167,0.0,0.0
2024-03-28,61.389126975386375,33.09200141096177,0.0,4.963903958833116,0.0,0.5278337746579136,0.0,0.027133880160824103,0.0,0.0
2024-04-02,62.50234451414691,32.137902384506525,0.0,4.820786113655846,0.0,0.5126154237253981,0.0,0.026351563965321338,0.0,0.0
2024-04-03,62.49285128661343,32.133021088898225,0.0,4.820053904011184,0.0,0.5122275933362367,0.0,0.04184612714093311,0.0,0.0
2024-04-05,62.5510467781146,32.08329658120055,0.0,4.8125950719645445,0.0,0.5112801967128893,0.0,0.04178137200740923,0.0,0.0
2024-04-10,62.51246987093296,32.11634621938298,0.0,4.817552621306285,0.0,0.5118068765529249,0.0,0.04182441182484556,0.0,0.0
2024-04-12,62.4994966624851,32.10968111632517,0.0,4.816552834951757,0.0,0.5324536542303583,0.0,0.04181573200761975,0.0,0.0
2024-04-18,62.499554740580244,32.10963138714958,0.0,4.816545375419512,0.0,0.5324528296042534,0.0,0.04181566724640734,0.0,0.0
2024-04-19,62.508844919338976,32.10167670252117,0.0,4.815352147786409,0.0,0.532320922317996,0.0,0.04180530803544471,0.0,0.0
2024-04-22,62.62343111089157,32.00356265754495,0.0,4.800634733441283,0.0,0.5306939618511618,0.0,0.041677536271033655,0.0,0.0
2024-04-23,61.694139651438874,31.37398215277431,1.664570820678812,4.706195683919186,0.0,0.5202540437721597,0.0,0.04085764741666175,0.0,0.0
2024-04-24,61.69762011770029,31.37398215277431,1.664570820678812,4.706195683919186,0.0,0.5167735775107403,0.0,0.04085764741666175,0.0,0.0
2024-04-25,61.81319220133036,31.279315541970725,1.659548210629859,4.691995395508056,0.0,0.5152142853909971,0.0,0.04073436517000563,0.0,0.0
2024-04-29,61.82507566636188,31.281816837613803,1.6596809187993566,4.692370597696363,0.0,0.5003183569762424,0.0,0.04073762255234785,0.0,0.0
2024-04-30,60.30701047778341,28.02213896757072,3.3685912551371016,4.554921218902776,3.2221307657833145,0.48566298269715774,0.0,0.0395443321255225,0.0,0.0
2024-05-06,60.31681625155456,28.02669529946519,3.3691389799126075,4.555661838055744,3.2226546764381463,0.4694821926356481,0.0,0.03955076193810452,0.0,0.0
2024-05-07,60.31690460635215,28.02673635423472,3.3691439151796043,4.555668511395031,3.2226593971283175,0.4681645196919138,0.0,0.04072269601825783,0.0,0.0
2024-05-08,60.31705109087021,28.025857447126413,3.3691439151796043,4.555668511395031,3.2226593971283175,0.46889694228217016,0.0,0.04072269601825783,0.0,0.0
2024-05-09,60.35490996876886,28.02643220850448,3.369213010435771,4.555761940197934,3.2227254882429115,0.4302338526804287,0.0,0.040723531169614975,0.0,0.0
2024-05-10,60.2967496611174,28.067547663617216,3.3741557275559964,4.562445353347456,3.227453304618779,0.430865016166607,0.0,0.04078327357654639,0.0,0.0
2024-05-13,60.287905279339114,28.063430690339008,3.3736608033419775,4.561776129736327,3.2269798988488483,0.4454699069456342,0.0,0.040777291449089995,0.0,0.0
2024-05-17,59.588663751609275,27.737940593140724,4.4943689905937205,4.508866955079506,3.1895521868729633,0.44030318143332675,0.0,0.04030434127048563,0.0,0.0
2024-05-22,60.46517101875689,26.674954027215886,4.560500183891136,4.575211474806914,3.2364840014711294,0.4467819051121736,0.0,0.040897388745862455,0.0,0.0
2024-05-23,60.46511285783429,26.674993269574504,4.560506892985499,4.575218205543517,3.2364887627639027,0.44678256238699876,0.0,0.04089744891128931,0.0,0.0
2024-05-24,60.539657569758674,26.584594174208142,4.566129336349924,4.580858785822021,3.240478883861237,0.4473333804675716,0.0,0.040947869532428356,0.0,0.0
2024-05-30,60.54144105395262,26.585377350152896,4.566263853455336,4.580993736853579,3.2405743476134647,0.4444005821249919,0.0,0.040949075847115594,0.0,0.0
2024-06-05,60.45239538044278,26.546274996617107,4.559547692868867,4.57425591123296,3.2358080401004865,0.5908291316856207,0.0,0.04088884705217887,0.0,0.0
2024-06-07,60.01106743836985,26.352476010816307,5.256303183567628,4.540861916915367,3.2121852788468837,0.5865158302330878,0.0,0.04059034125088335,0.0,0.0
2024-06-11,60.05318855035755,26.243271459355398,5.234521084941736,4.522044603935779,3.1988739963532837,0.7076781700114286,0.0,0.04042213504482786,0.0,0.0
2024-06-13,60.035729756287594,26.23564195818834,5.232999293545095,4.520729945257012,3.1979440127220022,0.7365446505664721,0.0,0.04041038343348713,0.0,0.0
2024-06-14,60.00171428903494,26.2207771831035,5.230034343892192,4.518168558195755,3.1961320990452284,0.7927860392949914,0.0,0.040387487433389706,0.0,0.0
2024-06-17,59.99735611913153,26.218872660819137,5.229654465108036,4.517840385134997,3.195899950899355,0.7999918649819431,0.0,0.04038455392500095,0.0,0.0
2024-06-21,60.003021863472796,26.22134859374387,5.230148318289393,4.518267019411114,3.19620175006574,0.7906240874480799,0.0,0.04038836756901253,0.0,0.0
2024-06-24,59.83923523727146,26.149773761556418,5.2158718981861805,4.505933778710839,3.187477271113777,0.7884659686091443,0.27296396267174344,0.04027812188043773,0.0,0.0
2024-06-27,59.50178134127451,26.3187128032347,5.27587707792617,4.557771586763997,3.2241471031771036,0.8048643586658479,0.27610423374480286,0.04074149521287431,0.0,0.0
2024-06-28,59.32294204321478,26.43493569598043,5.299175242253268,4.577898612057685,3.238384870265886,0.808418623068193,0.2773235043445877,0.040921408815178015,0.0,0.0
2024-07-02,58.58595109442256,26.10652466866406,6.541677024321955,4.521025676809173,3.1981532118907334,0.732377085522978,0.2738782114182792,0.040413026950255636,0.0,0.0
2024-07-03,58.75678126599183,25.89105944478544,6.560751833001165,4.534208489029694,3.2074786739116803,0.7345126163257749,0.27467681007498207,0.04053086687942942,0.0,0.0
2024-07-05,58.92861059487028,25.674334000587805,6.579938207069193,4.547468405330042,3.2168586790116054,0.7366606374936577,0.2754800796026302,0.040649396034783014,0.0,0.0
2024-07-08,59.058143573315824,25.510956232222593,6.594401792504949,4.557464349931198,3.2239297652246415,0.738279916236443,0.2760856217128739,0.04073874885147502,0.0,0.0
2024-07-10,58.57247289059708,25.813578648778098,6.672627547275566,4.611527038228225,3.262173467556943,0.74703772407054,0.2793606733126037,0.04122201018094683,0.0,0.0
2024-07-11,58.562052550195176,25.808986282035885,6.671440452946332,4.610706624147353,3.261593110329317,0.7646953301399372,0.2793109736300197,0.041214676575979554,0.0,0.0
