date,EAST ASIA SECURITIES CO LTD,EVERBRIGHT SECURITIES INVESTMENT,HSBC BROKING SECURITIES (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,J.P. MORGAN BROKING (HONG KONG) LTD
2024-05-03,0.0,0.0,0.0,100.0,0.0
2024-05-07,0.0,0.0,0.0,100.0,0.0
2024-05-13,0.0,0.0,0.0,100.0,0.0
2024-05-14,0.0,0.0,0.0,100.0,0.0
2024-05-20,0.0,0.0,0.0,100.0,0.0
2024-05-22,0.0,0.0,0.0,100.0,0.0
2024-05-23,0.0,0.0,0.0,100.0,0.0
2024-05-24,0.0,0.0,0.0,100.0,0.0
2024-06-03,0.0,0.0,0.0,100.0,0.0
2024-06-04,0.0,0.0,0.0,100.0,0.0
2024-06-19,8.454621303420783,0.0,0.0,91.54537869657922,0.0
2024-06-20,8.741493338445318,0.0,0.0,91.25850666155469,0.0
2024-06-21,9.217707701637357,0.0,0.0,90.78229229836265,0.0
2024-06-24,9.768637532133676,0.0,0.0,90.23136246786633,0.0
2024-07-02,10.092961487383798,0.0,0.0,89.9070385126162,0.0
2024-07-08,10.43956043956044,0.0,0.0,89.56043956043956,0.0
2024-07-11,15.899581589958158,0.0,0.0,84.10041841004184,0.0
2024-07-19,18.04154302670623,10.247279920870426,0.0,71.71117705242335,0.0
2024-07-22,24.28761651131824,13.794940079893475,0.0,61.91744340878829,0.0
2024-07-26,24.483221476510067,13.906040268456376,0.0,61.61073825503356,0.0
2024-08-01,27.55287009063444,15.64954682779456,0.0,56.797583081571,0.0
2024-08-02,28.41121495327103,16.13707165109034,0.0,55.45171339563863,0.0
2024-08-07,29.94090610636901,17.0059093893631,0.0,53.05318450426789,0.0
2024-08-08,30.1687065828647,16.37446245451538,0.0,53.45683096261992,0.0
2024-08-09,33.56643356643357,18.218623481781375,0.0,48.214942951785055,0.0
2024-08-14,34.58475540386804,18.771331058020476,0.0,46.64391353811149,0.0
2024-08-22,35.66679702776692,19.358623386781385,0.0,44.9745795854517,0.0
2024-09-09,35.625,19.3359375,0.0,44.921875,0.1171875
2024-09-10,35.625,19.3359375,0.0,44.921875,0.1171875
2024-09-17,37.84232365145228,20.539419087136928,0.0,41.49377593360996,0.12448132780082986
2024-10-04,33.716814159292035,21.902654867256636,0.0,44.24778761061947,0.1327433628318584
2024-10-07,35.27777777777778,22.916666666666664,0.0,41.66666666666667,0.1388888888888889
2024-10-09,32.28813559322034,20.97457627118644,8.47457627118644,38.13559322033898,0.1271186440677966
2024-10-10,32.98701298701299,21.428571428571427,8.658008658008658,36.79653679653679,0.12987012987012986
2024-10-15,50.46357615894039,32.78145695364238,13.245033112582782,3.3112582781456954,0.1986754966887417
2024-11-08,50.46357615894039,32.78145695364238,13.245033112582782,3.3112582781456954,0.1986754966887417
