date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,ROCTEC SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD
2024-03-01,37.973356866187416,7.472353786016399,7.437059784069457,11.063691219728652,18.791946590288642,6.444281384352872,3.0853183432221445,0.0,7.731992026134423,0.0
2024-03-04,37.954086929315956,7.528477533130094,7.455463527966923,10.920060390772726,18.80467809882172,6.448922858720213,3.130291503271349,0.0,7.758019158001021,0.0
2024-03-05,37.89479161497324,7.519205976392261,7.454057771055568,11.007987680268428,18.795936042111975,6.4478180661787,3.1151608975676672,0.0,7.765041951452163,0.0
2024-03-06,37.92258472451995,7.535229176890626,7.480218658617957,10.936959157065058,18.78790175997175,6.446198379189834,3.1228897298987057,0.0,7.768018413846114,0.0
2024-03-07,37.96184310484065,7.534624876338823,7.487849897757602,10.92673764387226,18.775035175690235,6.442581405201632,3.112796052880508,0.0,7.758531843418287,0.0
2024-03-08,37.982863891921106,7.532030542280972,7.477678548045359,10.942169384005997,18.756840078170004,6.439414007422271,3.116056069400008,0.0,7.752947478754285,0.0
2024-03-11,38.05593358809176,7.5819550527002715,7.544949553579443,10.801689891806273,18.73417788373391,6.4385294649058284,3.103669324141491,0.0,7.739095241041023,0.0
2024-03-12,38.098891725319376,7.782754163892617,7.692421879627196,10.596769287602735,18.66884773039941,6.423042479713516,3.0943240545033635,0.0,7.6429486789417895,0.0
2024-03-13,37.09295263844149,7.772702866712626,7.489282358161488,10.242214031942314,18.167294363741856,6.258705410566814,3.02440808454304,2.5049740305175954,7.447466215372775,0.0
2024-03-14,37.118286719743985,7.7530599588986355,7.4650808528386445,10.204547835864952,18.157654447128323,6.255183552648237,3.0618320407958226,2.4835501662834845,7.500804425797912,0.0
2024-03-15,37.03187408455111,7.8333361695894945,7.505520713248023,10.020381805403437,18.15088607728367,6.262444177991465,3.161176907596624,2.4864329157866325,7.547947148549543,0.0
2024-03-18,36.92507390651687,7.862329165080963,7.590055649134389,9.990171872089999,18.155342304013967,6.261303338620719,3.1086185359643252,2.4859535151401686,7.621151713438598,0.0
2024-03-19,36.69535617711136,8.059441425182676,7.816392238126067,9.847928873639908,18.108765976445806,6.254077704675982,3.1175953919361095,2.4854111605242077,7.6150310523578835,0.0
2024-03-20,36.7217050077889,7.986870150991695,7.981800849551443,9.668648030191909,18.116758550568886,6.25548005174177,3.1936803518499826,2.4857038117608665,7.589353195554552,0.0
2024-03-21,36.65316349183986,7.996694133607907,7.959682152858449,9.856760668866407,18.106078532301638,6.252985574346866,3.1121290163420245,2.484183674543076,7.578322755293768,0.0
2024-03-22,36.55137833603739,8.067877699197822,7.974988744666489,9.863550927161999,18.080482457571616,6.2430798473150055,3.182807915356051,2.479878806596653,7.555955266096974,0.0
2024-03-25,36.166549494999686,8.156101153881238,8.942017004820322,9.413558627714611,17.936096262494942,6.205009062383101,3.1505166841154955,2.467524733819728,7.562626975770876,0.0
2024-03-26,35.85050026470197,8.032405651205805,10.214086674306639,8.884276275960174,17.835539946923795,6.182165223700293,3.0012312782809683,2.4607216196072383,7.539073065313118,0.0
2024-03-27,35.62562671195486,8.100022591429171,10.390369864286653,8.85866369055954,17.69673437987036,6.163596985714672,3.213418120100192,2.455216145531635,7.496351510552919,0.0
2024-03-28,35.74083334222267,8.11475398738577,10.434401676975916,8.708294207377001,17.6644657340583,6.1545143889040785,3.248437853924309,2.4522525167266482,7.482046292425302,0.0
2024-04-02,35.84836697746869,8.154142173469312,10.447751714442305,8.565448409384505,17.652505668691163,6.154910565929272,3.2439291539600603,2.447485430973262,7.48545990568143,0.0
2024-04-03,35.674299497338765,8.47559070007336,10.413341332648198,8.744713267068574,17.62683215877519,6.154485707741938,2.9140969024105656,2.446584626132714,7.550055807810693,0.0
2024-04-05,34.62568946073375,8.276558597813901,10.1699226748339,8.731117660288385,17.196341582910623,6.006601996293003,2.8100053373549705,2.387465125737069,7.277975764040427,2.5183217999939664
2024-04-08,34.9446524998229,8.373999167167824,10.096237510977666,8.952874164403966,16.65086587479126,6.017503910288931,2.840443895839926,2.394252838342886,7.203688592059388,2.525481546305254
2024-04-09,34.82121436360578,8.376960143488985,10.099807456425,9.075720475391684,16.672132670374925,6.02104730701342,2.8192723003151086,2.395035078126469,7.192435669724586,2.526374535534039
2024-04-10,35.04253732578243,8.255896865088706,10.247618565776309,9.323138720469471,16.223200480032855,6.028794926918417,2.7389407077756935,2.3981681636939873,7.212024810529018,2.5296794339331132
2024-04-11,35.14816935953229,8.260639116864596,10.282704326805115,9.14111067910272,16.217378645419522,6.040720871972419,2.7382385573732524,2.4025269814938994,7.23423417989938,2.534277281536809
2024-04-12,35.05782567808036,8.374410564065498,10.295116011465739,9.126338762398928,16.16823655222338,6.028875638753217,2.775700434026913,2.3986360685088366,7.244687292662598,2.5301729978145304
2024-04-15,34.99555960436963,8.524848524102218,10.356699806253372,9.343120377498911,15.865269875657875,6.026634725351324,2.7261792910056157,2.398755739389704,7.232292868234722,2.5306391881366306
2024-04-16,35.034534282059354,8.522006722744656,10.575176661199686,9.28314160419179,15.72277798498996,6.029132637724986,2.713206723924312,2.400006660816551,7.188057837199131,2.5319588851495767
2024-04-17,34.59837057151825,8.56787736448931,10.642855549702208,9.677948876559663,15.50528518219679,6.017522484756905,2.984660076820372,2.3951800674524284,7.083432900536449,2.526866925967623
2024-04-18,34.54260443802037,8.346636043678854,10.669584626507618,9.960168455490006,15.491689656654946,6.024771089326338,2.9558483306077665,2.392384762167245,7.092394662583745,2.5239179349631073
2024-04-19,34.51463791139703,8.329121161561996,10.670209203048836,9.99562082611605,15.453047815770715,6.018986699984042,3.0483202651846226,2.390623507847676,7.057372762103867,2.5220598469851665
2024-04-22,34.52995418703495,8.226321286810872,10.74586478228418,10.115211791062995,15.434485561280193,6.017545993367195,2.9668300068633258,2.390076795733175,7.052226518892183,2.5214830766709295
2024-04-23,34.54837565657722,8.311654327608188,10.700259616395149,10.08548509500481,15.438164405702457,6.02130758451974,2.95279985145845,2.3902188069078028,7.030101760214645,2.521632895611543
2024-04-24,34.42420229633767,8.135287924236122,10.70884196383784,10.477612715447329,15.424864993328349,6.0158373811951185,2.885233297540925,2.3869779881141575,7.023889646349693,2.517251793612798
2024-04-25,34.19884952891577,8.162031160102385,10.743085731391417,10.589689096688737,15.44756920916143,6.031017537486876,2.8929461083367976,2.389587217955617,7.025220982889015,2.5200034270719534
2024-04-26,34.02129276871561,8.262030355604955,10.782104753298148,10.555243041463537,15.428953167326508,6.024700515546922,2.9971106992306322,2.3877198434740348,7.022810718217801,2.5180341371218504
2024-04-29,34.11699147423326,8.220229800765061,11.104204257954189,10.15918502027508,15.542038749918193,5.983533551585454,2.9834740862976115,2.3826706651152074,6.994963003482201,2.512709390373738
2024-04-30,34.147775365203145,8.186710730340895,11.565900050039424,10.142630579492783,15.135453719547936,5.977362295396548,2.961322759870361,2.3814873513244255,6.989895653773457,2.51146149501103
2024-05-02,34.01796720611292,8.202248739116422,11.631303985719182,9.4451323560799,15.614232602668645,5.9752550977927505,3.153776658980165,2.3791450325891277,7.071946981108078,2.5089913398328085
2024-05-03,33.98699379630103,8.138536655484419,11.748862433124067,9.653221287582364,15.417632500294525,5.970147748795645,3.0245319813125273,2.3802183283995113,7.169732055928646,2.510123212777267
2024-05-06,33.94472594235054,8.125897967019483,11.730617112325573,9.780010494265126,15.38213126225193,5.959599261022421,3.039623438760239,2.3765219835644857,7.154647405457604,2.5062251329826015
2024-05-07,33.78555107923442,8.11979697823651,11.72180967175591,9.98355727552005,15.362851496375363,5.954678067400106,3.056926677371834,2.3616563546844582,7.1488289601895145,2.5043434392318313
2024-05-08,33.806849275496106,8.14434529883353,11.696481226010407,10.031727745442437,15.360860065674025,5.951642937827989,3.0137262842743384,2.3512133374713455,7.139738115116116,2.503415713853701
2024-05-09,33.90149754695014,8.129352614724237,12.639634152634699,10.1172134213343,14.217285975819175,5.959217694857267,3.0271483054283075,2.308504416132245,7.1906661742240905,2.5094796978955425
2024-05-10,33.75603167447905,8.112573324520929,13.111943319504727,10.077201210212168,14.031699592006719,5.9461664141512784,3.0026729936779595,2.288532904773548,7.170295968636122,2.5028825980375005
2024-05-13,33.99831381353323,8.247311993644242,13.798951415180905,10.518049183689731,12.45987949282407,5.9579715576505405,2.9994156839339823,2.2947746426809825,7.215687212213454,2.5096450046488674
2024-05-14,33.95494424814501,8.376854610200004,13.927997826939237,10.61754832957072,12.128050673577382,5.953005048187976,3.044720802591452,2.292984795129005,7.196206100265759,2.5076875653934576
2024-05-16,33.826766038660836,8.508845767693648,14.104380049666588,10.172961200658651,12.507243661834789,5.959255747853759,2.9272917023903453,2.278658056805298,7.203333682496141,2.511264091939943
2024-05-17,33.81738315377263,8.626859302929057,14.282860376229062,10.232341700514818,12.07824594305412,5.967252266354474,2.937330829148533,2.2805402860845376,7.263847682216045,2.513338459696718
2024-05-20,33.91634523275809,8.558297433653847,14.545952590376668,10.53120909788392,11.54546301390818,5.969277042050497,2.904767521445533,2.205505719487601,7.3092338995977375,2.5139484488379287
2024-05-21,33.83955530470859,8.433538629251602,14.617207822000378,10.716388146123345,11.473608283363744,5.971812432307311,2.9166451557152886,2.2050936740973017,7.312671774047249,2.513478778385188
2024-05-22,34.06779197873829,8.607078140559256,15.265908749886423,11.454139743811453,9.609445611787203,6.002719579995628,2.93544948897173,2.219505384179207,7.356403552824477,2.481557769246333
2024-05-23,34.1397862432016,8.875081336085028,15.265928739753488,11.335874107451785,9.296973730048663,6.007713255084969,2.9440065519006695,2.2193021156783685,7.434003419539118,2.4813305012563136
2024-05-24,34.108839021965885,8.811125946425943,15.219848716952361,11.43925706204986,9.277726067499263,6.010565699998072,2.9949460592184547,2.2204034805378527,7.43472604337793,2.482561901974379
2024-05-27,34.15427159310419,8.591770825904092,15.227727543884859,11.302492459478252,9.275747980475495,6.008665001709403,3.298385097464021,2.2196060697428814,7.439663085691678,2.481670342545126
2024-05-28,33.92386126991238,8.621235624079835,15.468113386917413,11.174935733962519,9.28488656828109,6.014149245856851,3.363273656416004,2.2221326226680844,7.44291669158579,2.4844952003200347
2024-05-29,33.821742400749585,8.777453941804099,15.617253376372664,10.865962255867274,9.283583888202278,6.015721470650429,3.4627879303463236,2.2242172877779014,7.444451450725312,2.4868259975041362
2024-05-30,34.3215990786577,8.953335986454073,15.674588988289164,10.892179329193361,8.63634943788786,6.0082785758323505,3.468756803983275,2.1327080911162826,7.425115996222818,2.487087712363116
2024-05-31,34.6981954186926,9.16723230367981,15.864605128859354,11.054951622769524,7.499103790740208,6.032439273214876,3.5162838166089685,2.1423936377454225,7.624491530817871,2.4003034768713647
2024-06-03,34.737777715454165,9.265606820334801,15.957279777216064,10.64695839263193,7.327341688231083,6.047710471414902,3.546185468565657,2.145805006677203,7.920480837368285,2.4048538221059115
2024-06-04,34.70437699114674,9.229238892392504,15.950345006928663,11.098624635232811,7.30193857315654,6.040172732134184,3.5132027042798093,2.1420713995582825,7.6193595838234955,2.4006694813469713
2024-06-05,35.027801128156725,9.131074598547084,15.90056497510584,10.879882494890015,7.375582262911433,6.085769437610466,3.36570647600352,2.1575463213021813,7.658059717652063,2.418012587820673
2024-06-06,35.01408741532535,9.017084826128116,16.354724357678414,10.875749888476369,7.27925657829034,6.017516420765128,3.3001413519212917,2.1367913747751364,7.609895752470537,2.394752034169315
2024-06-07,35.09307190373479,9.070385567925387,16.311331640979905,10.762563807684375,7.288064048885504,6.030809356299409,3.2716785582339543,2.1307195247382955,7.653790067387653,2.3875855241307264
2024-06-11,35.09285026032212,9.079585475339345,16.267848443680247,10.849144574502091,7.2853146681083185,6.020749839264147,3.2727080921360105,2.1314050792454227,7.611678080520043,2.388715486882252
2024-06-12,35.08907663469419,9.143838950102406,16.430939951774658,10.72409219256383,7.276845839418618,6.012689075476489,3.270713728888999,2.1301734604798317,7.534294983654356,2.3873351829466225
2024-06-13,34.91740267038179,9.08855590174652,16.550992029677403,11.011686225902551,7.254137019914205,5.994485737704188,3.0668646867259457,2.121606765623372,7.616534674521308,2.3777342878027192
2024-06-14,35.20146315828609,9.290284286384951,16.760368629830996,10.384892988923479,7.288771183707299,6.016974076244033,3.084382911107049,2.132652873942129,7.450095972012033,2.3901139195619407
2024-06-17,35.172707790889305,9.17308769284607,16.605581327994592,10.641767436842137,7.269382382985791,5.997074788412425,3.0789039032122147,2.1253031204722825,7.5541215264291415,2.38207002991604
2024-06-18,35.21019542616473,9.073419195138737,16.646529500956593,10.5737492434793,7.25985195332793,5.995311836909193,3.10062812347005,2.126207731602603,7.629928070666186,2.3841789182846798
