date,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,25.55818267582482,20.67329459230559,14.952321423675139,13.003405837802681,1.810419267920504,4.240411227081746,6.307964694065406,9.4604319269931,0.0,3.9935683543310154
2024-03-04,24.133053656888467,19.468657843469106,14.11133426620665,12.33086288374405,1.9310420606144783,4.004893848997554,5.964053112326587,8.884212053498821,5.395918675662066,3.775971598592217
2024-03-05,24.144561102286886,19.4764076588318,14.128254784256741,12.3083787639725,1.9567436142559822,4.000333444419953,5.965005450264873,8.844059892009708,5.398486659759914,3.777768629941642
2024-03-06,24.0771512228543,19.61051376487474,14.088503917584557,12.266739545921814,1.9454564879312481,3.965022996999069,5.933468102791222,8.836678477838518,5.382373826959017,3.894091656245517
2024-03-07,23.71782826665965,19.103883166360326,15.253220361364281,12.08679267901364,2.028682917785787,3.8640219362203942,5.837139682888065,8.95085015675761,5.313394792744488,3.844186040205757
2024-03-08,23.76355545172429,19.081173127763368,15.289396275855266,12.112135367675366,2.0647109246342814,3.846444629705528,5.81899013912138,8.848322115417728,5.323659510808352,3.851612457294439
2024-03-11,23.67511487493788,19.370791182406997,15.252320848116993,12.079555375883459,2.096410348379395,3.790999215155191,5.872431181507542,8.715413063823755,5.307206863037682,3.839757046751106
2024-03-12,23.685662421299224,19.37346745048705,15.285570445182572,12.07814634657095,2.114875373442467,3.8111936040062404,5.810304369223221,8.68976812977818,5.309555545005565,3.841456315004538
2024-03-13,23.683942437350687,19.405377266459308,15.305731421852856,12.125642355886066,2.1529767595509073,3.8143231075463273,5.818160675957511,8.531975455620437,5.315855903703904,3.846014616071996
2024-03-14,23.64528325722364,19.36333577894483,15.316233078438307,12.09067178309322,2.1995146091658615,3.8360957814015335,5.8221006939144715,8.56699176413243,5.314639038184671,3.845134215501035
2024-03-15,23.681389237786572,19.449665287037206,15.365001480693682,12.124889875422612,2.0183002742808616,3.8246793525135914,5.833456754945325,8.51922540616259,5.3283431843137565,3.8550491468437995
2024-03-18,23.630460936008813,19.44498405918862,15.366354291036641,12.12372627706474,2.0567462328136212,3.8181707512303618,5.864460195103056,8.51536491575651,5.326219603107886,3.8535127386897514
2024-03-19,23.61015811477427,19.371871093817507,15.317399155864905,12.08144127107234,2.0580739002815926,3.811348995131443,5.855289629809239,8.748835502431616,5.30640525349494,3.8391770833221464
2024-03-20,23.617889685138785,19.3705593534128,15.297802502336275,12.072720334783241,2.1343892611808317,3.779043964348433,5.920458976778501,8.644306152274469,5.323361497406293,3.839468272340375
2024-03-21,23.630494103016233,19.249044038313606,15.309664996820818,12.094431969455803,2.124007101414149,3.78215101586633,5.922123462443881,8.720370506301405,5.326198412397888,3.8415143939698875
2024-03-22,23.618634283184395,19.26769276018929,15.278863330525741,12.08768614503645,2.3055325025378277,3.7893556310002836,5.917691284707134,8.571437312083575,5.323522416027228,3.839584334708074
2024-03-25,23.56828076381257,19.29140484286934,15.284718389981029,12.087139777392848,2.3057627974304573,3.7784868040444253,5.926269364101002,8.586012433989097,5.328645484505386,3.843279341873847
2024-03-26,23.603097063653653,19.32599729038859,15.318333378606116,12.112105092364974,2.339199725621505,3.79386035341664,5.910752178534577,8.408204499685757,5.338246415540836,3.850204002187354
2024-03-27,23.726243764289343,19.364692171257598,15.351110912374066,12.125711576564804,2.411094231251734,3.7878230134326203,5.919069303339427,8.445044782460512,5.013458607855379,3.8557516371745155
2024-03-28,23.730551822409144,19.33501332908526,15.350087616530503,12.12888852606658,2.412430113852722,3.814435334712262,5.931166945003199,8.426482511999817,5.014438526873433,3.856505273467082
2024-04-02,23.67552243457519,19.468611314497345,15.368135517665552,12.138602834404367,2.296460428705325,3.8142129741637874,5.932605436639779,8.431012222051312,5.016639126374709,3.8581977109226373
2024-04-03,23.69665397584647,19.45782500036018,15.359444289326921,12.138614491690602,2.3231201120128633,3.8163036685506775,5.919495205159437,8.418744657676482,5.013791184272141,3.8560074151042274
2024-04-05,23.665710289696957,19.490174693481325,15.312889353017042,12.12928540104315,2.3100197405208234,3.8114727193645885,5.956483628389725,8.5050802156332,4.921966382023066,3.8969175768301225
