date,CITRUS SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HUATAI FINANCIAL HOLDINGS (HONG KONG),GF SECURITIES (HONG KONG) BROKERAGE LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SPDB INTERNATIONAL SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,ZHESHANG INTERNATIONAL FINANCIAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,39.54445,0.0,0.0,0.0,0.0,0.0,0.0,1.51545,0.0,0.0,41.0599
2024-03-04,39.54455,0.0,0.0,0.0,0.0,0.0,0.0,1.5155,0.0,0.0,41.06005
2024-03-05,39.5445,0.0,0.0,0.0,0.0,0.0,0.0,1.51655,0.0,0.0,41.06105
2024-03-06,39.54565,0.0,0.0026,30.000549999999997,0.0,0.007600000000000001,0.0,1.5185,0.0,3.08235,74.15724999999999
2024-03-07,39.4982,0.0,0.0104,30.00005,3.8052500000000005,0.03705,0.0,1.5185,0.0,3.08235,77.9518
2024-03-08,39.4517,0.0,0.023049999999999998,30.00005,3.80535,0.06515,0.0,1.51845,0.0,3.0831,77.94685
2024-03-11,39.4372,0.0,0.02945,30.000300000000003,3.8055,0.10975,0.0,1.5197,0.0,3.0835999999999997,77.9855
2024-03-12,39.4454,0.0,0.03345,30.000549999999997,3.80575,0.106,0.0,1.5197,0.0,3.0835999999999997,77.99445
2024-03-13,39.4454,0.0,0.0314,30.00045,3.80575,0.0991,0.0,1.52295,0.0,3.08385,77.9889
2024-03-14,39.4326,0.0,0.04045,30.0004,3.8055,0.1295,0.0,1.5317,0.0,3.08435,78.0245
2024-03-15,39.434799999999996,0.0,0.048,30.000500000000002,3.8055,0.1275,0.0,1.5152999999999999,0.0,3.0845000000000002,78.0161
2024-03-18,39.41955,0.0,0.0453,30.00025,3.8055,0.13929999999999998,0.0,1.513,0.0,3.08475,78.00765
2024-03-19,39.40085,0.0,0.0364,30.000349999999997,3.8055,0.15385,0.0,1.51495,0.0,3.08475,77.99665
